VPHAS-OB1,RAJ2000,DEJ2000,umag,gmag,rmag,rmag,imag,Hamag,Jmag,Hmag,Kmag,logTeff,A0,Rv,mu,chi2,goodOB,EM,SUB,LUM,W1mag,W2mag,W3mag,W4mag,e_W1mag,e_W2mag,e_W3mag,e_W4mag
99,151.627249,-58.019875,20.729,19.711,17.715,17.727,16.583,17.33,14.465,13.881,13.6,4.307,6.398,3.647,13.84,2.66,1,0,0,0,13.216,13.327,12.363,9.139,0.032,0.041,,
100,153.09436,-56.915779,19.706,18.899,16.894,16.921,15.759,16.488,13.638,12.992,12.65,4.399,6.676,3.761,13.71,0.3,1,0,0,0,12.401,12.41,10.824,7.076,0.028,0.033,0.182,0.181
111,153.641581,-56.530187,13.365,13.435,12.413,12.414,11.876,12.156,10.944,10.763,10.642,4.361,3.28,3.355,11.72,2.25,1,0,0,1,10.545,10.561,8.591,5.065,0.023,0.021,0.033,0.029
114,152.949997,-57.093217,18.026,17.343,15.585,15.551,14.52,15.174,12.871,12.379,12.159,4.411,5.587,3.378,13.48,5.78,1,0,0,0,12.103,12.225,11.624,7.096,0.028,0.033,,
125,152.315828,-57.633082,21.075,19.693,17.314,17.313,15.973,16.86,13.546,12.873,12.551,4.388,7.453,3.502,13.43,5.4,1,0,0,0,12.099,12.044,9.859,7.207,0.026,0.023,,
132,153.088199,-57.10978,18.139,17.189,15.092,15.091,13.853,14.676,11.711,11.102,10.802,4.441,6.821,3.549,12.26,4.92,1,0,0,0,10.507,10.471,8.822,5.499,0.022,0.021,0.062,0.068
135,153.211798,-57.036171,18.115,17.403,15.7,15.698,14.688,15.335,12.918,12.445,12.176,4.309,5.515,3.592,12.56,3.39,1,0,0,0,12.068,12.115,12.332,9.18,0.026,0.027,,
143,153.259883,-57.020519,13.657,13.559,12.466,12.454,11.836,12.161,10.714,10.429,10.251,4.296,3.7,3.667,10.73,1.02,1,0,0,1,10.116,10.086,9.574,5.56,0.023,0.021,0.198,0.06
146,152.547535,-57.578092,15.751,15.6,14.376,14.381,13.647,14.091,12.37,12.007,11.788,4.332,4.253,3.769,12.5,0.7,1,0,0,0,11.776,11.87,11.476,8.739,0.027,0.039,,
150,152.692895,-57.474232,13.044,13.347,12.485,12.472,11.95,12.223,11.131,10.881,10.789,4.426,3.234,3.654,12.47,1.82,1,0,0,0,10.691,10.758,9.486,8.008,0.023,0.026,,
151,152.924193,-57.296353,20.523,19.113,16.474,16.488,14.901,16.015,11.949,11.05,10.603,4.508,9.045,3.834,12.52,4.8,1,0,0,0,10.312,10.203,7.994,3.296,0.024,0.024,0.092,0.039
153,153.053679,-57.199327,19.373,18.046,15.677,15.703,14.28,15.263,11.673,10.928,10.516,4.338,7.818,3.749,10.89,3.97,1,0,0,1,10.239,10.172,8.509,9.037,0.024,0.023,0.024,
156,152.384894,-57.719477,13.721,13.762,12.652,12.646,11.982,12.351,10.826,10.542,10.373,4.404,3.98,3.691,11.77,2.6,1,0,0,1,10.194,10.2,9.592,5.986,0.024,0.023,0.095,0.076
157,153.389629,-56.957887,17.728,16.367,13.978,13.955,12.543,13.478,10.023,9.224,8.802,4.343,7.826,3.698,9.24,3.14,1,0,0,1,8.542,8.418,8.455,8.412,0.023,0.019,0.037,0.272
161,152.560034,-57.633054,21.207,19.847,17.423,17.42,16.088,16.954,13.453,12.442,12.081,4.324,8.076,3.941,12.29,6.88,1,0,0,0,11.607,11.614,9.885,7.026,0.028,0.03,,
163,151.925824,-58.109959,16.405,15.521,13.586,13.576,12.517,13.184,10.684,10.146,9.879,4.345,5.896,3.409,10.56,0.94,1,0,0,1,9.602,9.613,9.305,7.831,0.021,0.02,0.093,0.159
167,153.315795,-57.077087,20.44,18.606,15.728,15.741,14.032,15.224,10.888,9.968,9.43,4.409,9.512,3.738,10.3,2.96,1,0,0,1,9.059,8.901,8.694,8.754,0.023,0.02,0.032,0.485
169,153.192687,-57.176815,18.943,17.959,15.905,15.899,14.691,15.504,12.575,12.008,11.706,4.391,6.619,3.535,12.7,5.94,1,0,0,0,11.534,11.507,9.884,5.677,0.025,0.025,0.212,0.075
175,152.342042,-57.872056,21.237,19.676,17.182,17.173,15.762,16.732,13.176,12.459,12.102,4.374,7.858,3.535,12.8,6.59,1,0,0,0,11.828,11.846,10.382,8.152,0.024,0.025,0.229,0.221
176,153.353074,-57.094644,15.704,14.967,13.022,13.01,11.924,12.578,9.962,9.381,9.06,4.422,6.328,3.624,10.4,0.23,1,0,0,1,8.725,8.615,8.543,7.668,0.021,0.018,0.041,0.173
191,152.181901,-58.080999,16.456,15.973,14.35,14.33,13.415,13.971,11.866,11.427,11.249,4.416,5.186,3.425,12.64,4.0,1,0,0,0,11.093,11.108,10.895,9.348,0.022,0.021,,
192,152.610086,-57.761667,19.762,18.837,16.735,16.74,15.466,16.325,13.263,12.492,12.16,4.426,7.145,3.776,13.43,4.75,1,0,0,0,11.65,11.651,8.474,5.65,0.025,0.026,0.075,0.074
194,153.365983,-57.187975,18.142,17.227,15.206,15.221,14.009,14.818,11.882,11.322,11.009,4.402,6.621,3.592,12.11,6.28,1,0,0,0,10.805,10.783,12.201,8.389,0.023,0.022,,
197,153.926509,-56.753691,19.917,19.229,17.439,17.436,16.491,17.083,14.941,14.287,14.112,4.344,5.402,3.423,14.82,6.16,1,0,0,0,13.81,14.039,10.784,9.114,0.037,0.052,0.121,0.479
207,154.023498,-56.707249,13.385,13.586,12.79,12.781,12.27,12.548,11.612,11.456,11.4,4.356,2.715,3.225,12.48,4.73,1,0,0,0,11.262,11.296,12.042,9.33,0.023,0.022,,
209,153.489254,-57.137613,13.577,13.75,12.906,12.912,12.396,12.667,11.635,11.419,11.278,4.324,2.946,3.555,12.08,0.98,1,0,0,0,11.287,11.307,11.969,7.933,0.024,0.022,,0.187
210,153.96234,-56.759278,14.247,14.221,13.159,13.163,12.508,12.891,11.552,11.306,11.218,4.367,3.502,3.319,12.31,4.84,1,0,0,1,11.078,11.125,10.721,8.617,0.023,0.022,0.123,0.266
212,153.433725,-57.195809,18.039,17.105,14.96,14.962,13.687,14.545,11.442,10.782,10.459,4.493,7.162,3.638,12.43,4.31,1,0,0,0,10.285,10.27,11.18,8.938,0.022,0.019,,
213,154.158599,-56.619813,19.21,18.247,16.312,16.31,15.164,15.915,13.173,12.644,12.391,4.318,6.124,3.513,12.77,6.77,1,0,0,0,12.097,12.089,11.693,8.664,0.027,0.026,,
214,153.853686,-56.869989,17.744,16.909,15.005,14.98,13.858,14.565,12.022,11.532,11.254,4.409,6.017,3.388,12.51,5.56,1,0,0,1,10.571,10.467,9.873,6.533,0.023,0.022,0.121,0.195
215,153.556531,-57.111108,17.571,16.578,14.494,14.496,13.285,14.091,11.205,10.603,10.238,4.368,6.626,3.553,11.06,1.33,1,0,0,1,10.023,9.96,9.677,7.506,0.023,0.02,0.061,0.135
221,154.008635,-56.760399,13.657,13.586,12.498,12.492,11.893,12.219,10.852,10.593,10.467,4.318,3.537,3.467,11.13,1.88,1,0,0,1,10.36,10.36,10.093,8.535,0.023,0.021,0.055,
228,153.8078,-56.972087,20.71,19.477,17.281,17.268,15.993,16.787,13.798,13.1,12.719,4.341,6.992,3.583,13.26,2.3,1,0,0,0,12.554,12.53,11.835,8.934,0.029,0.031,,
231,153.735127,-57.037964,18.934,17.65,15.285,15.304,13.905,14.944,11.597,10.928,10.596,4.438,7.395,3.423,12.0,4.34,1,0,0,1,10.36,10.311,9.707,7.976,0.022,0.02,0.069,0.206
240,153.481891,-57.296756,20.992,19.178,16.385,16.427,14.752,15.94,11.746,10.85,10.373,4.359,9.058,3.679,10.82,3.51,1,0,0,1,10.114,10.004,10.453,8.684,0.023,0.022,,
242,153.084757,-57.609251,18.629,18.003,16.248,16.229,15.258,15.884,13.361,12.863,12.565,4.35,5.829,3.748,13.26,1.69,1,0,0,0,12.209,12.624,12.389,4.11,0.032,0.034,,0.065
243,153.800287,-57.045743,15.946,15.211,13.274,13.276,12.152,12.932,10.072,9.528,9.193,4.427,6.492,3.708,10.55,2.35,1,0,0,1,8.797,8.741,8.608,8.104,0.022,0.021,0.043,0.253
250,153.803853,-57.069068,20.142,18.956,16.833,16.851,15.603,16.449,13.491,12.888,12.569,4.309,6.564,3.476,12.86,2.49,1,0,0,0,12.279,12.269,10.363,7.915,0.028,0.029,0.217,0.227
251,153.723707,-57.134502,20.336,18.968,16.543,16.544,15.125,16.115,12.577,11.824,11.404,4.374,7.86,3.652,12.12,1.87,1,0,0,1,11.102,11.06,10.265,6.918,0.024,0.022,0.102,0.079
252,152.333012,-58.207384,19.354,17.836,15.343,15.333,13.932,14.875,11.364,10.584,10.167,4.299,7.798,3.606,10.26,0.63,1,0,0,1,9.851,9.739,10.025,9.29,0.023,0.021,0.08,
255,153.780548,-57.096632,19.465,18.221,15.963,15.956,14.65,15.538,12.372,11.726,11.372,4.355,7.096,3.508,12.01,2.92,1,0,0,1,11.19,11.161,11.676,8.554,0.025,0.026,0.38,
256,153.758582,-57.114667,17.819,17.025,15.01,15.017,13.831,14.621,11.785,11.18,10.851,4.473,6.656,3.615,12.68,1.3,1,0,0,0,10.633,10.604,9.494,6.456,0.035,0.035,,
261,153.926987,-57.016295,16.304,15.184,12.878,12.88,11.698,12.404,9.383,8.702,8.27,4.352,7.143,3.638,8.89,3.6,1,0,0,1,8.051,7.918,7.776,8.186,0.023,0.02,0.025,0.284
262,153.87195,-57.077162,18.977,17.931,15.751,15.757,14.487,15.341,12.348,11.773,11.412,4.44,6.879,3.456,12.9,2.57,1,0,0,0,11.191,11.182,10.789,8.592,0.024,0.024,0.127,0.394
263,152.943618,-57.806063,13.338,13.336,12.316,12.293,11.705,11.68,10.859,10.613,10.472,4.337,3.281,3.306,11.36,1.66,1,1,0,1,9.416,9.079,7.997,6.426,0.023,0.021,0.097,0.103
266,152.835796,-57.894767,14.701,14.574,13.25,13.243,12.467,12.915,11.1,10.671,10.488,4.413,4.663,3.762,11.89,1.34,1,0,0,0,10.125,10.094,9.322,5.793,0.022,0.02,0.188,0.099
270,153.689283,-57.237805,13.873,13.879,12.858,12.841,12.185,12.549,11.189,10.911,10.755,4.351,3.623,3.582,11.71,4.16,1,0,0,1,10.524,10.364,9.078,5.167,0.024,0.023,0.063,0.043
277,153.825819,-57.1453,20.562,19.882,17.862,17.872,16.678,17.457,14.579,13.871,13.496,4.521,6.937,3.806,15.83,1.61,1,0,0,0,13.477,13.567,11.612,8.367,0.039,0.042,,
281,153.665623,-57.27852,13.737,13.752,12.649,12.635,12.015,12.342,10.902,10.614,10.408,4.357,3.842,3.717,11.4,0.65,1,0,0,1,10.054,9.791,7.618,3.425,0.025,0.023,0.037,0.028
283,154.058687,-56.965495,18.693,17.494,15.225,15.216,13.869,14.772,11.652,11.03,10.685,4.434,7.145,3.419,12.08,5.43,1,0,0,1,10.489,10.417,9.963,8.406,0.024,0.021,0.095,
286,153.914474,-57.087998,19.149,18.174,16.023,16.041,14.747,15.614,12.429,11.668,11.302,4.409,7.318,3.818,12.39,2.09,1,0,0,0,10.833,10.626,6.423,3.014,0.027,0.026,0.017,0.028
293,153.883547,-57.142619,20.766,19.4,16.952,16.955,15.586,16.53,13.166,12.422,12.093,4.454,7.688,3.502,13.61,3.47,1,0,0,0,11.83,11.763,10.113,7.547,0.034,0.032,0.421,0.248
300,153.916264,-57.137688,19.025,18.099,16.136,16.117,14.985,15.738,12.996,12.405,12.114,4.339,6.276,3.566,12.68,2.51,1,0,0,0,11.767,11.756,12.048,8.927,0.026,0.027,,
301,153.911906,-57.146072,18.765,17.777,15.687,15.693,14.479,15.281,12.302,11.702,11.356,4.372,6.753,3.614,12.17,2.26,1,0,0,0,11.077,11.054,11.857,8.701,0.024,0.024,,
307,152.872502,-57.966286,17.798,16.801,14.55,14.548,13.252,14.083,10.838,10.113,9.73,4.467,7.557,3.759,11.38,1.06,1,0,0,1,9.352,8.859,6.859,5.991,0.021,0.02,0.026,0.098
308,153.942424,-57.131906,19.121,18.207,16.317,16.31,15.22,15.937,13.341,12.745,12.496,4.303,5.95,3.536,12.78,3.56,1,0,0,0,12.31,12.308,10.871,7.938,0.031,0.035,0.3,0.191
309,152.794965,-58.030742,15.766,15.546,14.256,14.258,13.509,13.938,12.208,11.765,11.582,4.324,4.392,3.749,12.2,1.49,1,0,0,0,11.371,11.423,11.275,8.81,0.024,0.021,,0.536
311,152.726076,-58.083471,19.794,18.623,16.26,16.206,14.732,15.755,11.637,10.567,9.967,4.328,9.145,4.55,10.07,3.25,1,0,0,0,9.408,9.268,5.97,3.715,0.024,0.021,0.021,0.037
