VPHAS-OB1,RAJ2000,DEJ2000,umag,gmag,rmag,rmag,imag,Hamag,Jmag,Hmag,Kmag,logTeff,A0,Rv,mu,chi2,goodOB,EM,SUB,LUM,W1mag,W2mag,W3mag,W4mag,e_W1mag,e_W2mag,e_W3mag,e_W4mag
1357,156.739454,-57.376745,16.77,16.592,15.317,15.33,14.569,14.892,13.159,12.688,12.405,4.311,4.614,4.079,12.91,0.64,1,0,0,0,11.69,11.627,10.884,7.942,0.025,0.024,0.399,
1361,155.470159,-58.453988,16.273,16.153,14.882,14.878,14.135,14.558,12.79,12.418,12.217,4.381,4.47,3.774,13.34,1.23,1,0,0,0,12.138,12.033,10.854,4.951,0.035,0.031,,0.055
1370,155.39739,-58.527276,13.698,13.692,12.576,12.579,11.915,12.278,10.727,10.435,10.225,4.357,3.983,3.792,11.18,1.36,1,0,0,1,10.031,10.039,10.515,7.517,0.023,0.021,,
1372,155.525101,-58.426954,16.119,15.933,14.682,14.673,13.938,14.371,12.624,12.267,12.073,4.342,4.32,3.703,12.86,1.93,1,0,0,0,11.952,12.027,11.303,8.237,0.025,0.028,,
1373,155.562421,-58.400412,17.868,17.21,15.48,15.47,14.435,15.097,12.508,11.943,11.665,4.338,5.951,3.829,12.22,4.18,1,0,0,0,11.484,11.476,9.665,7.438,0.026,0.028,0.159,0.208
1374,155.636051,-58.342219,15.854,15.532,13.931,13.93,12.97,13.555,11.326,10.782,10.542,4.499,5.61,3.749,12.75,2.14,1,0,0,0,10.393,10.344,9.696,7.56,0.025,0.027,0.384,
1377,155.857991,-58.16764,17.721,17.257,15.787,15.781,14.917,15.445,13.45,13.021,12.869,4.318,4.764,3.535,13.37,4.72,1,0,0,0,12.737,12.751,9.963,7.418,0.035,0.053,0.202,0.213
1378,155.846735,-58.179456,13.849,13.988,12.953,12.924,12.293,12.628,11.285,11.042,10.899,4.467,3.752,3.536,12.96,3.9,1,0,0,0,10.697,10.735,10.295,6.89,0.023,0.023,0.519,0.267
1379,156.129163,-57.943391,15.741,15.798,14.597,14.585,13.872,14.257,12.647,12.294,12.103,4.485,4.368,3.738,14.29,1.04,1,0,0,0,11.708,11.598,7.106,4.479,0.042,0.073,0.135,0.193
1380,156.137824,-57.939641,15.083,15.182,14.034,14.037,13.349,13.717,12.162,11.812,11.7,4.479,4.192,3.724,13.8,4.18,1,0,0,0,11.465,11.52,7.781,4.96,0.034,0.051,0.232,0.076
1382,155.437388,-58.52268,15.912,15.497,13.906,13.92,12.98,13.537,11.162,10.689,10.398,4.378,5.602,3.907,11.36,3.37,1,0,0,1,10.153,10.139,10.206,7.718,0.023,0.021,0.304,
1386,155.442852,-58.524899,17.662,17.24,15.631,15.639,14.67,15.255,12.836,12.327,12.085,4.396,5.713,3.904,13.17,3.46,1,0,0,0,11.637,11.623,10.236,6.926,0.025,0.026,0.119,0.147
1389,155.631434,-58.382449,17.548,16.91,15.183,15.183,14.134,14.784,12.3,11.776,11.524,4.371,5.812,3.672,12.4,5.0,1,0,0,0,11.257,11.265,8.772,4.716,0.025,0.025,0.035,0.044
1392,155.984732,-58.092904,19.28,18.619,16.879,16.888,15.866,16.498,13.899,13.27,12.97,4.302,6.017,3.985,13.21,0.81,1,0,0,0,12.745,12.755,9.988,5.931,0.037,0.056,0.228,0.107
1395,155.418742,-58.561215,15.054,15.113,14.014,14.021,13.386,13.739,12.218,11.972,11.774,4.388,3.906,3.736,13.03,3.02,1,0,0,0,11.672,11.723,9.789,6.739,0.027,0.029,0.223,0.168
1402,156.263868,-57.880922,15.912,15.977,14.861,14.876,14.211,14.575,13.113,12.815,12.687,4.424,3.906,3.602,14.27,1.88,1,0,0,0,12.384,12.469,8.025,4.942,0.051,0.112,0.098,
1408,156.613943,-57.609825,15.229,14.975,13.46,13.479,12.621,13.123,11.168,10.82,10.615,4.499,4.926,3.443,12.9,2.43,1,0,0,0,10.422,10.468,11.165,6.975,0.024,0.025,,0.236
1414,155.563405,-58.514873,17.42,16.727,14.849,14.83,13.714,14.417,11.597,10.972,10.63,4.395,6.583,3.911,11.65,1.86,1,0,0,0,10.387,10.36,9.882,8.512,0.024,0.022,0.155,0.369
1423,155.600903,-58.497763,19.051,18.215,16.1,16.088,14.832,15.657,12.407,11.697,11.285,4.481,7.508,3.948,13.09,2.01,1,0,0,0,11.046,11.039,8.526,5.778,0.024,0.024,0.047,0.073
1428,156.270357,-57.948541,20.845,19.706,17.531,17.547,16.242,17.126,13.808,13.122,12.673,4.308,7.296,3.856,12.86,1.36,1,0,0,0,12.44,12.617,10.627,7.034,0.034,0.033,,
1430,156.64278,-57.632952,21.142,19.509,16.863,16.855,15.299,16.368,12.359,11.504,11.037,4.389,8.833,3.776,11.77,4.34,1,0,0,1,10.74,10.706,9.682,8.083,0.026,0.03,,
1431,156.609872,-57.669978,17.441,16.84,15.146,15.168,14.176,14.798,12.47,12.008,11.738,4.358,5.462,3.562,12.56,1.38,1,0,0,0,11.678,11.828,8.914,6.904,0.043,0.082,,
1435,156.385227,-57.87668,18.995,18.341,16.589,16.596,15.544,16.168,13.572,13.022,12.717,4.342,6.039,3.86,13.3,2.88,1,0,0,0,12.469,12.476,11.714,8.196,0.039,0.068,,
1440,155.565126,-58.569296,15.013,15.054,13.958,13.944,13.317,13.663,12.173,11.862,11.692,4.371,3.915,3.776,12.78,0.74,1,0,0,0,11.447,11.481,10.514,8.782,0.025,0.025,0.339,
1444,156.33579,-57.949388,15.251,15.233,14.21,14.214,13.598,13.935,12.605,12.287,12.168,4.311,3.507,3.621,12.77,1.82,1,0,0,0,12.072,12.049,9.834,7.424,0.037,0.051,0.186,0.206
1457,155.648113,-58.557466,14.264,14.517,13.532,13.562,12.969,13.285,12.004,11.692,11.6,4.453,3.617,3.717,13.51,2.0,1,0,0,0,11.468,11.533,10.452,8.76,0.024,0.023,,
1462,156.630977,-57.743662,16.869,16.316,14.657,14.673,13.684,14.294,11.901,11.418,11.101,4.347,5.603,3.767,11.81,1.61,1,0,0,1,10.903,10.855,9.221,3.232,0.033,0.058,0.042,0.033
1463,155.649998,-58.567718,14.195,14.439,13.584,13.563,13.07,13.325,12.18,11.948,11.881,4.375,3.198,3.717,13.05,4.43,1,0,0,0,11.799,11.888,11.303,8.698,0.024,0.026,,
1464,155.676349,-58.546729,15.749,15.779,14.703,14.687,14.074,14.416,12.983,12.65,12.504,4.359,3.81,3.739,13.48,1.13,1,0,0,0,12.411,12.521,11.364,8.376,0.023,0.023,0.377,
1466,155.533803,-58.66877,14.877,14.949,13.899,13.89,13.294,13.596,12.205,11.923,11.764,4.367,3.736,3.743,12.83,1.06,1,0,0,0,11.63,11.668,12.269,9.191,0.023,0.024,,
1467,157.691829,-56.81002,13.742,14.072,13.278,13.29,12.795,13.007,11.934,11.805,11.699,4.4,3.04,3.683,13.13,6.67,1,0,0,0,11.669,11.719,12.049,8.773,0.023,0.023,,
1469,155.959652,-58.333661,16.056,15.966,14.735,14.719,14.016,14.426,12.822,12.483,12.315,4.39,4.171,3.577,13.56,1.04,1,0,0,0,12.304,12.364,10.891,7.94,0.032,0.034,,
1470,156.274646,-58.07117,16.643,16.342,15.034,15.022,14.282,14.715,12.908,12.563,12.366,4.302,4.349,3.656,12.81,2.35,1,0,0,0,12.361,12.348,10.777,7.865,0.053,0.121,0.102,0.243
1471,157.1039,-57.354512,13.288,13.488,12.302,12.309,11.641,11.988,10.429,10.132,9.94,4.575,4.282,3.747,13.17,1.67,1,0,0,0,9.854,9.817,8.045,4.047,0.026,0.021,0.034,0.073
1496,156.361103,-58.043241,15.957,15.854,14.683,14.681,14.003,14.392,12.693,12.366,12.208,4.326,4.141,3.835,12.84,3.83,1,0,0,0,11.957,11.911,8.557,6.028,0.035,0.055,,
1498,156.461971,-57.967119,14.99,15.092,14.171,14.174,13.62,13.901,12.697,12.415,12.24,4.307,3.307,3.805,12.85,0.53,1,0,0,0,12.083,12.09,9.188,6.325,0.032,0.046,0.118,
1507,155.593458,-58.700469,20.495,19.502,17.425,17.42,16.235,17.026,13.897,13.279,12.882,4.354,6.998,3.838,13.49,2.78,1,0,0,0,12.538,12.553,9.978,7.353,0.032,0.034,0.126,0.136
1512,155.555782,-58.743117,14.291,14.502,13.575,13.569,13.037,13.306,12.114,11.863,11.706,4.377,3.375,3.747,12.92,0.27,1,0,0,0,11.686,11.715,10.898,7.738,0.023,0.022,,
1513,155.830083,-58.519497,13.072,13.144,11.957,11.925,11.28,11.62,10.045,9.729,9.557,4.474,4.263,3.724,11.62,1.76,1,0,0,1,9.347,9.324,8.827,7.869,0.023,0.02,0.081,0.327
1517,155.64549,-58.687369,15.102,15.277,14.413,14.388,13.875,14.125,13.02,12.731,12.62,4.33,3.197,3.782,13.41,1.69,1,0,0,0,12.482,12.605,11.628,9.235,0.029,0.034,0.241,
1518,156.258226,-58.182987,19.775,18.588,16.322,16.325,15.005,15.839,12.381,11.566,11.161,4.313,7.756,3.979,11.3,2.57,1,0,0,1,10.748,10.601,10.242,8.169,0.024,0.024,,
1521,155.511769,-58.806754,15.907,15.598,14.243,14.241,13.451,13.902,12.057,11.653,11.453,4.319,4.539,3.68,12.02,0.96,1,0,0,0,11.011,10.982,10.332,8.285,0.026,0.024,0.207,0.393
1524,156.766816,-57.761872,20.333,19.257,17.201,17.202,15.961,16.789,13.709,13.026,12.688,4.312,6.866,3.77,12.93,3.53,1,0,0,0,12.146,11.874,7.372,6.576,0.046,0.059,0.053,0.074
1527,155.836804,-58.558067,15.323,15.249,14.009,14.016,13.276,13.711,12.018,11.66,11.525,4.422,4.32,3.625,13.04,4.36,1,0,0,0,11.319,11.354,9.444,7.267,0.025,0.025,0.241,0.524
1528,156.014758,-58.413035,15.835,15.53,14.047,14.106,13.223,13.733,11.781,11.323,11.123,4.39,4.878,3.613,12.29,1.0,1,0,0,0,10.836,10.831,10.573,7.442,0.023,0.022,,0.447
1530,156.021697,-58.410726,20.439,19.167,16.801,16.788,15.435,16.374,12.86,12.046,11.64,4.361,7.871,3.805,12.22,1.4,1,0,0,0,11.302,11.301,11.678,6.479,0.023,0.023,,0.118
1534,156.14979,-58.305739,15.96,15.79,14.492,14.525,13.783,14.215,12.49,12.072,11.863,4.34,4.362,3.745,12.64,0.39,1,0,0,0,11.659,11.348,8.083,3.468,0.032,0.029,0.118,0.037
1536,156.036081,-58.403315,14.941,14.691,13.504,13.463,12.753,13.043,11.723,11.399,11.207,4.301,3.789,3.359,11.75,4.77,1,0,0,1,10.816,10.763,10.696,8.997,0.05,0.05,,
1539,155.55805,-58.800327,15.979,15.939,14.791,14.788,14.128,14.487,12.962,12.637,12.475,4.361,3.976,3.681,13.46,1.11,1,0,0,0,12.456,12.489,10.251,8.312,0.028,0.03,,
1540,155.917345,-58.510617,14.861,14.983,14.002,14.009,13.435,13.729,12.443,12.124,11.996,4.347,3.528,3.799,12.9,0.57,1,0,0,0,11.666,11.683,11.931,9.088,0.025,0.026,,
1543,155.4933,-58.858301,18.274,17.638,16.017,16.017,15.072,15.654,13.393,12.891,12.678,4.298,5.266,3.63,12.98,3.82,1,0,0,0,12.474,12.482,10.222,7.767,0.029,0.03,0.137,0.183
1544,156.804355,-57.763436,19.426,18.404,16.422,16.409,15.239,16.011,13.191,12.575,12.26,4.298,6.363,3.608,12.47,3.06,1,0,0,0,12.16,12.375,11.887,8.622,0.038,0.048,,
1547,155.584223,-58.789883,15.054,15.187,14.208,14.199,13.62,13.924,12.598,12.283,12.155,4.363,3.613,3.838,13.19,1.29,1,0,0,0,11.93,11.959,12.168,9.32,0.026,0.026,,
1550,156.423968,-58.097999,17.712,16.914,14.924,14.927,13.774,14.538,11.572,10.881,10.43,4.358,6.865,3.975,11.11,1.0,1,0,0,1,9.541,9.336,7.224,2.98,0.024,0.025,0.167,0.041
1552,155.806177,-58.614716,14.784,14.932,14.011,13.989,13.44,13.715,12.456,12.184,12.073,4.352,3.438,3.801,13.01,2.99,1,0,0,0,11.836,11.863,11.615,9.181,0.026,0.026,,
1554,155.912578,-58.532092,13.929,13.997,13.029,13.028,12.476,12.753,11.474,11.213,11.07,4.318,3.405,3.727,11.74,1.03,1,0,0,1,10.987,11.006,9.78,8.687,0.025,0.024,0.074,0.378
1560,157.266308,-57.386157,15.478,15.088,13.733,13.707,12.924,13.372,11.562,11.247,11.035,4.302,4.374,3.493,11.49,3.34,1,0,0,1,11.052,11.038,10.027,6.775,0.034,0.033,,
1561,155.86407,-58.586631,12.91,13.273,12.469,12.468,11.978,12.215,11.187,10.937,10.847,4.416,3.118,3.775,12.44,1.41,1,0,0,0,10.799,10.826,10.975,8.496,0.024,0.022,,
1563,156.218133,-58.298513,16.195,16.123,15.018,15.037,14.373,14.749,13.259,12.905,12.678,4.301,3.841,3.816,13.19,0.99,1,0,0,0,12.679,12.705,11.904,8.463,0.054,0.072,,
1566,156.494032,-58.074278,14.285,13.915,12.519,12.535,11.74,12.192,10.346,9.97,9.732,4.3,4.493,3.601,10.17,0.37,1,0,0,1,9.544,9.596,7.577,4.925,0.024,0.022,0.04,0.049
1567,156.176524,-58.342205,15.227,14.882,13.262,13.258,12.316,12.893,10.681,10.175,9.892,4.475,5.548,3.707,11.86,0.62,1,0,0,0,9.635,9.605,10.901,6.62,0.023,0.021,,0.343
1569,156.216999,-58.319263,15.207,15.178,14.031,14.03,13.356,13.744,12.225,11.872,11.684,4.36,3.991,3.71,12.68,0.53,1,0,0,0,11.594,11.668,9.611,8.185,0.026,0.03,,
1578,155.833088,-58.660212,14.197,14.46,13.711,13.689,13.247,13.448,12.459,12.262,12.187,4.329,2.846,3.739,12.99,3.2,1,0,0,0,12.124,12.251,12.057,8.879,0.03,0.038,,
1580,155.82608,-58.669829,16.951,16.672,15.295,15.272,14.489,14.923,12.999,12.562,12.349,4.334,4.774,3.837,13.01,0.78,1,0,0,0,12.112,12.169,12.71,8.413,0.025,0.026,,
1583,157.817586,-56.948656,15.336,15.515,14.524,14.529,13.943,14.24,12.864,12.629,12.467,4.4,3.682,3.82,13.84,2.48,1,0,0,0,12.124,12.221,10.82,8.251,0.025,0.024,,
1584,155.494283,-58.946124,17.346,16.771,15.122,15.125,14.149,14.767,12.428,11.989,11.756,4.362,5.416,3.577,12.6,5.66,1,0,0,0,11.468,11.488,9.708,8.347,0.027,0.026,0.153,0.33
1588,156.718704,-57.930379,17.655,17.048,15.398,15.391,14.417,14.895,12.751,12.201,11.824,4.297,5.469,3.78,12.17,6.46,1,0,0,0,11.465,11.23,8.362,6.02,0.033,0.041,0.141,0.289
1595,156.853587,-57.831341,21.1,19.905,17.759,17.776,16.516,17.382,14.168,13.403,13.047,4.305,7.141,3.839,13.21,2.25,1,0,0,0,12.633,12.921,9.166,7.052,0.036,0.043,0.061,0.166
1596,155.820384,-58.707272,15.267,15.367,14.451,14.431,13.89,14.148,12.957,12.691,12.582,4.322,3.294,3.706,13.29,2.16,1,0,0,0,12.486,12.596,11.413,7.652,0.027,0.033,0.309,0.174
1599,156.697394,-57.978061,19.911,18.779,16.484,16.49,15.17,16.033,12.562,11.768,11.346,4.366,7.829,3.934,11.96,1.02,1,0,0,0,10.97,10.898,9.835,5.765,0.024,0.025,,0.107
1617,155.926375,-58.648799,19.549,18.857,17.057,17.072,16.041,16.692,14.03,13.457,13.128,4.321,6.089,3.888,13.53,1.01,1,0,0,0,12.988,13.118,11.99,9.068,0.031,0.038,0.307,0.518
1626,156.400035,-58.268023,20.687,18.803,15.954,15.966,14.313,15.465,11.109,10.16,9.627,4.308,9.374,3.826,9.6,2.27,1,0,0,1,9.255,9.125,9.595,8.117,0.022,0.02,0.25,
1639,155.964364,-58.666025,14.124,14.525,13.686,13.676,13.193,13.399,12.243,12.011,11.911,4.455,3.395,3.98,13.83,2.69,1,0,0,0,11.78,11.862,11.652,9.013,0.026,0.025,,
1640,156.007873,-58.638082,15.24,15.471,14.548,14.547,14.024,14.276,13.093,12.809,12.726,4.385,3.373,3.765,13.97,1.54,1,0,0,0,12.635,12.717,11.415,8.513,0.031,0.032,,
1653,157.900723,-57.022551,16.052,15.998,14.837,14.848,14.149,14.341,12.922,12.529,12.199,4.321,4.217,4.039,12.87,5.59,1,1,0,0,11.702,11.499,12.267,9.269,0.025,0.023,,
1657,157.388937,-57.493835,17.759,17.627,16.09,16.067,15.193,15.762,13.46,13.056,12.774,4.583,5.571,3.892,15.95,4.72,1,0,0,0,12.433,12.542,10.695,7.553,0.031,0.037,,
1665,155.955499,-58.747126,13.968,14.268,13.533,13.509,13.07,13.254,12.356,12.121,12.044,4.336,2.8,3.751,12.92,1.62,1,0,0,0,11.896,11.98,10.097,8.042,0.025,0.027,0.075,0.185
1670,155.989472,-58.735044,19.007,18.379,16.661,16.671,15.703,16.289,13.861,13.337,13.082,4.325,5.661,3.745,13.56,2.05,1,0,0,0,12.899,12.997,12.435,9.226,0.03,0.034,,
1671,156.446139,-58.357683,12.952,13.529,12.634,12.656,12.092,12.107,10.907,10.585,10.294,4.552,4.121,4.769,13.26,4.39,1,1,0,0,9.573,9.256,8.428,8.497,0.022,0.018,0.031,0.501
1693,157.858431,-57.165661,15.676,15.518,14.051,14.082,13.255,13.727,11.685,11.283,11.044,4.469,5.092,3.788,12.97,2.58,1,0,0,0,10.861,10.842,10.825,7.153,0.024,0.022,0.197,0.118
1695,156.417343,-58.433156,17.887,17.312,15.627,15.606,14.604,15.25,12.834,12.345,12.044,4.375,5.694,3.69,12.99,2.68,1,0,0,0,11.691,11.583,10.771,7.875,0.127,0.132,,0.389
1698,156.503581,-58.367716,18.442,17.983,16.475,16.463,15.583,16.129,13.9,13.417,13.165,4.307,5.209,3.879,13.54,1.53,1,0,0,0,13.067,13.255,11.261,8.356,0.027,0.029,,
1701,156.519017,-58.361924,15.807,15.583,14.264,14.258,13.478,13.94,12.094,11.708,11.527,4.361,4.548,3.699,12.44,2.79,1,0,0,0,11.276,11.292,11.269,8.31,0.024,0.023,0.276,
1708,156.961572,-57.99851,15.342,15.056,13.527,13.529,12.653,13.158,11.069,10.635,10.415,4.458,5.221,3.67,12.21,2.25,1,0,0,0,10.318,10.309,8.499,3.067,0.024,0.023,0.076,0.027
1717,155.677551,-59.082694,15.669,15.287,13.879,13.881,13.062,13.547,11.598,11.216,10.981,4.311,4.658,3.652,11.48,1.48,1,0,0,1,10.851,10.865,11.534,8.554,0.023,0.022,0.477,
1721,156.037488,-58.801003,15.121,15.294,14.336,14.322,13.767,14.036,12.773,12.521,12.389,4.38,3.5,3.742,13.6,1.51,1,0,0,0,12.314,12.396,10.769,8.339,0.027,0.029,,0.271
1747,156.829845,-58.187577,17.684,17.252,15.593,15.594,14.606,15.21,12.771,12.244,11.941,4.426,5.859,3.871,13.35,1.39,1,0,0,0,11.666,11.67,10.146,7.312,0.027,0.026,0.149,0.192
1752,155.985101,-58.898606,14.329,14.229,13.091,13.081,12.435,12.768,11.253,10.941,10.794,4.323,3.887,3.666,11.45,2.76,1,0,0,1,10.704,10.667,10.997,8.701,0.038,0.037,0.459,
1762,156.051845,-58.860842,15.282,15.36,14.435,14.394,13.858,14.1,12.914,12.618,12.498,4.313,3.354,3.76,13.13,2.03,1,0,0,0,12.499,12.56,11.776,9.24,0.028,0.025,,
1766,158.4021,-56.805614,13.097,13.55,13.011,13.025,12.692,12.818,12.207,12.116,12.07,4.327,2.063,3.501,12.96,1.42,1,0,0,0,12.043,12.101,11.116,8.191,0.025,0.026,0.164,0.196
1772,156.707366,-58.3339,14.84,14.634,13.235,13.218,12.406,12.88,10.938,10.477,10.279,4.418,4.931,3.776,11.69,2.21,1,0,0,1,10.012,10.026,10.292,6.744,0.021,0.02,0.323,0.122
1774,155.737097,-59.143564,16.939,16.634,15.269,15.26,14.455,14.927,13.09,12.639,12.403,4.326,4.616,3.714,13.03,1.34,1,0,0,0,12.259,12.241,10.955,8.806,0.028,0.026,,
1781,155.770059,-59.126803,17.504,16.803,15.08,15.074,14.055,14.687,12.242,11.707,11.441,4.314,5.684,3.687,11.84,2.07,1,0,0,1,11.298,11.269,11.036,7.962,0.032,0.03,,
1784,157.88082,-57.32672,15.069,14.722,13.095,13.094,12.191,12.721,10.465,9.969,9.716,4.447,5.573,3.778,11.36,1.33,1,0,0,1,9.528,9.486,9.432,5.908,0.023,0.019,0.078,0.067
1786,156.890183,-58.206531,20.533,19.65,17.716,17.691,16.552,17.284,14.353,13.722,13.278,4.309,6.674,3.955,13.55,2.17,1,0,0,0,13.051,13.289,12.031,8.703,0.036,0.05,,
1789,156.420225,-58.610256,13.579,13.772,12.855,12.851,12.312,12.58,11.375,11.13,11.053,4.383,3.338,3.655,12.29,4.39,1,0,0,0,10.956,10.977,11.676,8.928,0.024,0.024,,
1790,157.317835,-57.840166,16.719,16.263,14.725,14.695,13.858,14.336,12.183,11.758,11.513,4.329,5.147,3.74,12.09,3.89,1,0,0,0,11.393,11.411,11.987,9.142,0.025,0.026,,
1805,156.362182,-58.684282,13.763,14.08,13.427,13.408,13.036,13.194,12.42,12.249,12.146,4.298,2.432,3.703,12.76,0.3,1,0,0,0,12.044,12.11,12.148,9.162,0.026,0.028,,
1808,157.04516,-58.109658,13.17,13.371,12.351,12.379,11.78,12.1,10.809,10.565,10.394,4.436,3.599,3.621,12.16,0.54,1,0,0,0,10.243,10.272,9.106,7.859,0.023,0.021,0.063,0.209
1811,156.473323,-58.60122,13.572,13.69,12.756,12.736,12.183,12.469,11.297,11.142,10.98,4.362,3.219,3.439,12.09,4.19,1,0,0,1,10.899,10.958,10.821,7.509,0.023,0.024,0.486,
1812,156.791063,-58.332643,18.511,17.851,16.077,16.059,15.01,15.669,13.064,12.464,12.15,4.35,6.112,3.858,12.81,1.54,1,0,0,0,12.037,11.986,9.825,8.593,0.124,0.124,,
1814,157.272414,-57.921254,16.321,15.86,14.365,14.364,13.535,14.03,11.928,11.528,11.267,4.297,4.916,3.722,11.61,2.2,1,0,0,1,10.919,10.979,11.934,9.148,0.021,0.02,,
1816,156.236752,-58.806044,18.103,17.759,16.239,16.237,15.386,15.877,13.82,13.337,13.157,4.382,5.097,3.709,14.2,1.17,1,0,0,0,13.058,13.144,11.431,8.862,0.031,0.035,,
1817,156.824381,-58.314837,18.683,18.047,16.364,16.377,15.342,15.989,13.362,12.813,12.471,4.3,5.94,4.011,12.72,2.24,1,0,0,0,12.109,12.11,9.735,7.592,0.024,0.026,,
1821,156.287924,-58.77511,14.512,14.677,13.859,13.855,13.375,13.596,12.518,12.295,12.169,4.296,2.987,3.797,12.7,0.77,1,0,0,0,12.101,12.176,10.981,8.822,0.027,0.028,0.341,0.514
1825,155.92744,-59.080925,14.292,14.5,13.618,13.609,13.084,13.335,12.062,11.798,11.613,4.336,3.464,4.118,12.42,0.73,1,0,0,0,11.346,11.364,11.353,8.723,0.025,0.024,,
1827,156.787279,-58.36745,15.762,15.312,13.806,13.802,12.914,13.448,11.274,10.823,10.507,4.309,5.153,3.844,10.94,1.53,1,0,0,1,10.343,10.315,11.505,8.343,0.023,0.021,0.268,
1828,155.885585,-59.11653,14.741,14.763,13.79,13.781,13.204,13.503,12.121,11.839,11.746,4.31,3.528,3.785,12.31,6.97,1,0,0,0,11.561,11.595,10.456,7.627,0.026,0.025,0.469,
1830,156.166265,-58.889413,20.436,19.64,17.629,17.602,16.448,17.196,14.19,13.548,13.127,4.432,7.01,3.917,14.49,1.27,1,0,0,0,12.882,12.832,12.533,8.695,0.025,0.022,0.525,
1832,156.863463,-58.309851,13.809,14.323,13.563,13.568,13.118,13.318,12.425,12.261,12.149,4.515,2.945,3.622,14.82,0.52,1,0,0,0,12.018,11.969,10.36,7.401,0.048,0.046,,0.305
1837,156.746653,-58.419626,16.16,16.162,15.119,15.126,14.513,14.836,13.458,13.088,12.984,4.318,3.67,3.782,13.61,1.83,1,0,0,0,12.483,12.09,9.194,5.771,0.028,0.026,0.107,0.057
1846,157.41108,-57.852296,16.407,15.695,13.96,13.952,12.977,13.479,11.052,10.572,10.274,4.297,5.721,3.753,10.52,4.95,1,0,0,1,9.389,9.236,10.62,8.685,0.023,0.021,0.225,
1854,156.961012,-58.255032,14.654,14.716,13.642,13.639,12.984,13.328,11.849,11.497,11.358,4.383,3.959,3.827,12.53,2.21,1,0,0,0,11.179,11.197,12.01,8.266,0.027,0.027,,0.445
1856,156.221999,-58.87981,15.211,15.033,13.541,13.545,12.709,13.17,11.116,10.667,10.394,4.468,5.249,3.851,12.3,0.51,1,0,0,0,10.142,10.125,10.362,9.296,0.023,0.02,0.086,
1860,156.0235,-59.046179,17.771,17.204,15.549,15.552,14.622,15.193,12.812,12.241,12.021,4.32,5.579,3.838,12.45,5.04,1,0,0,0,11.823,11.836,12.611,9.088,0.026,0.026,,
1861,156.273581,-58.842155,17.887,17.558,16.082,16.08,15.242,15.719,13.61,13.17,12.932,4.358,5.112,3.848,13.75,2.03,1,0,0,0,12.818,12.902,12.439,9.126,0.027,0.028,,
1863,156.557881,-58.605448,14.308,14.462,13.6,13.592,13.075,13.33,12.191,11.996,11.82,4.317,3.128,3.74,12.53,1.38,1,0,0,0,11.616,11.699,11.805,8.984,0.024,0.024,,
1864,157.216379,-58.041834,14.7,14.545,13.276,13.316,12.64,13.003,11.416,11.102,10.971,4.345,4.012,3.492,11.81,3.98,1,0,0,1,10.821,10.838,10.546,8.618,0.024,0.022,,
1867,156.834735,-58.377695,13.147,13.399,12.561,12.557,12.055,12.309,11.239,11.039,10.888,4.365,3.079,3.679,12.02,0.97,1,0,0,0,10.75,10.782,11.845,8.89,0.023,0.021,,
1869,156.621046,-58.56237,15.914,15.697,14.232,14.257,13.383,13.676,12.24,11.853,11.608,4.513,4.568,3.25,14.17,6.37,1,1,0,0,10.287,10.023,9.481,6.534,0.023,0.018,0.31,0.215
1874,158.363209,-57.02108,16.203,15.749,14.145,14.143,13.243,13.768,11.347,10.895,10.594,4.342,5.621,3.977,11.21,6.18,1,0,0,1,10.243,10.245,9.258,6.788,0.023,0.02,0.067,0.09
1875,158.125067,-57.242415,19.976,19.171,17.434,17.422,16.401,16.886,14.72,14.274,14.114,4.304,5.346,3.376,14.43,5.33,1,1,0,0,13.32,13.414,10.615,8.586,0.029,0.03,,
1876,156.614954,-58.573653,14.584,14.904,14.251,14.245,13.864,14.035,13.251,13.087,13.014,4.305,2.409,3.631,13.68,0.55,1,0,0,0,12.974,13.121,10.287,8.278,0.058,0.036,,
1889,155.776097,-59.288467,14.861,14.925,13.827,13.822,13.193,13.52,12.041,11.668,11.525,4.376,3.984,3.874,12.63,0.86,1,0,0,0,11.164,11.137,9.52,6.689,0.025,0.023,0.04,0.067
1893,158.392825,-57.033094,16.311,16.023,14.548,14.54,13.69,14.195,12.198,11.694,11.479,4.4,5.061,3.742,12.72,1.7,1,0,0,0,11.222,11.196,10.546,7.406,0.023,0.022,0.103,0.161
1910,157.438961,-57.927237,19.026,18.212,16.29,16.233,15.122,15.577,13.212,12.593,12.158,4.371,6.368,3.677,13.06,6.07,1,1,0,0,11.052,10.779,9.29,7.722,0.029,0.029,0.254,0.341
1913,157.248932,-58.101359,17.58,17.043,15.389,15.383,14.413,15.014,12.581,12.017,11.789,4.355,5.727,3.854,12.5,4.81,1,0,0,0,11.564,11.563,10.51,4.922,0.027,0.03,0.368,0.052
1920,156.542253,-58.715858,14.421,14.546,13.642,13.641,13.105,13.361,12.175,11.927,11.845,4.33,3.24,3.681,12.61,3.36,1,0,0,0,11.675,11.72,9.854,7.241,0.024,0.025,0.108,0.11
1921,156.456903,-58.791625,13.431,13.779,13.013,13.004,12.546,12.738,11.779,11.571,11.487,4.383,2.942,3.742,12.78,1.56,1,0,0,0,11.389,11.431,11.997,9.094,0.023,0.022,,
