col1,Unnamed: 0,_RAJ2000_1,_DEJ2000_1,LAMOST_sep,umag,gmag,rmag,Hamag,imag,Jmag,Hmag,Kmag,original_index,model_prob,H_alfa,AllWISE,RAJ2000,DEJ2000,eeMaj,eeMin,eePA,W1mag,W2mag,W3mag,W4mag,e_W1mag,e_W2mag,e_W3mag,e_W4mag,e_Jmag,e_Hmag,e_Kmag,ID,ccf,ex,var,qph,pmRA,e_pmRA,pmDE,e_pmDE,d2M,angDist
302,303,55.4238473,49.3262792,2.0,14.21,12.7,11.88,11.7,11.64,11.15,11.05,11.0,302.00,0.1,0.0,J034141.72+491934.5,55.4238555,49.3262564,0.0404,0.037,12.3,10.935,10.942,11.053,9.116,0.023,0.021,0.158,,0.023,0.029,0.026,557149901351008124,0000,0,00nn,AABU,-1,43,28,42,0.078,0.084348
959,961,55.606424,49.940849,2.0,13.57,13.35,12.86,12.68,12.56,12.09,12.03,11.98,959.00,0.0,0.0,J034225.53+495626.9,55.6063923,49.9408252,0.0421,0.0394,16.5,11.887,11.902,11.849,8.896,0.023,0.023,0.249,,0.025,0.031,0.027,557149901351031232,0000,0,01nn,AABU,5,49,27,49,0.119,0.112839
805,807,55.6064297,49.9408311,2.0,13.57,13.35,12.86,12.68,12.56,12.09,12.03,11.98,805.00,0.0,0.0,J034225.53+495626.9,55.6063923,49.9408252,0.0421,0.0394,16.5,11.887,11.902,11.849,8.896,0.023,0.023,0.249,,0.025,0.031,0.027,557149901351031232,0000,0,01nn,AABU,5,49,27,49,0.119,0.089276
603,605,55.7009784,49.0606376,2.0,14.18,14.49,13.37,13.14,13.03,12.63,12.55,12.48,603.00,0.01,0.0,J034248.23+490338.2,55.7009827,49.0606246,0.0442,0.0424,11.0,12.438,12.449,12.192,9.22,0.024,0.024,0.44,,0.025,0.032,0.025,562148401351059884,0000,0,00nn,AACU,25,55,-11,56,0.105,0.047883
602,604,55.701026,49.06063,2.0,14.63,14.37,13.37,13.14,13.03,12.63,12.55,12.48,602.00,0.11,0.0,J034248.23+490338.2,55.7009827,49.0606246,0.0442,0.0424,11.0,12.438,12.449,12.192,9.22,0.024,0.024,0.44,,0.025,0.032,0.025,562148401351059884,0000,0,00nn,AACU,25,55,-11,56,0.105,0.103999
485,486,55.7225861,50.3167342,2.0,13.57,12.7,12.4,12.06,11.93,11.49,11.48,11.42,485.00,0.03,0.0,J034253.41+501900.1,55.7225596,50.3167042,0.0422,0.0391,8.5,11.321,11.341,11.451,9.03,0.023,0.023,0.176,,0.023,0.029,0.025,557149901351044087,0h00,0,00nn,AABU,-105,42,34,41,0.089,0.123985
522,523,55.78912,49.298736,2.0,14.81,16.72,13.42,13.26,13.09,12.68,12.55,12.5,522.00,0.01,0.0,J034309.37+491755.3,55.7890794,49.2987014,0.0437,0.0414,12.7,12.456,12.458,12.04,8.922,0.023,0.024,0.353,,0.023,0.032,0.026,557149901351005723,0000,0,00nn,AABU,17,55,22,56,0.17,0.156788
1019,1021,56.010493,49.124884,2.0,14.55,14.08,13.25,13.03,12.81,12.23,12.07,11.94,1.019.00,0.0,0.0,J034402.51+490729.5,56.0104856,49.1248878,0.0432,0.04,172.7,11.891,11.881,11.86,9.095,0.023,0.024,0.26,,0.024,0.029,0.023,562148401351057361,0000,0,00nn,AABU,-27,49,107,48,0.131,0.022123
83,83,56.368509,50.057241,2.0,14.84,14.83,12.98,12.43,12.29,11.34,10.98,10.64,83.00,0.84,1.0,J034528.43+500326.0,56.368492,50.0572341,0.0366,0.0347,178.5,10.056,9.749,8.901,7.876,0.023,0.021,0.028,0.205,0.021,0.024,0.023,557149901351028719,0000,0,110n,AAAB,59,36,125,35,0.056,0.046455
303,304,56.368536,50.057221,2.0,14.84,14.83,12.98,12.43,12.29,11.34,10.98,10.64,303.00,0.84,1.0,J034528.43+500326.0,56.368492,50.0572341,0.0366,0.0347,178.5,10.056,9.749,8.901,7.876,0.023,0.021,0.028,0.205,0.021,0.024,0.023,557149901351028719,0000,0,110n,AAAB,59,36,125,35,0.056,0.112097
500,501,56.463593,49.815753,2.0,15.25,14.4,13.02,12.61,12.42,11.53,11.29,11.12,500.00,0.7,1.0,J034551.25+494856.6,56.4635781,49.8157479,0.0382,0.0361,17.3,11.003,10.921,10.468,8.72,0.024,0.02,0.077,,0.025,0.027,0.025,557149901351020769,dd00,0,000n,AAAU,-75,40,35,42,0.058,0.039141
499,500,56.573439,49.782361,2.0,15.07,15.29,13.51,13.26,13.0,12.31,12.13,12.03,499.00,0.01,0.0,J034617.62+494656.3,56.573451,49.7823309,0.0412,0.0392,4.8,11.93,11.945,12.192,8.976,0.023,0.023,0.398,,0.024,0.031,0.025,557149901351023167,0000,0,00nn,AACU,-20,48,51,48,0.163,0.112019
