VPHAS-OB1,RAJ2000,DEJ2000,umag,gmag,rmag,r2mag,imag,Hamag,Jmag,Hmag,Kmag,logTeff,A0,Rv,mu,chi2,OB,Halpha,SUB,LUM
8,151.434351,-57.400807,15.0,14.887,13.802,13.807,13.105,13.529,12.04,11.674,11.478,4.296,3.794,3.721,11.95,3.52,1,0,0,0
9,152.450956,-56.706351,20.634,18.906,16.35,16.361,14.889,15.928,12.405,11.696,11.343,4.317,7.655,3.356,11.6,5.04,1,0,0,1
10,152.383993,-56.782603,21.15,19.893,17.621,17.636,16.329,17.234,14.263,13.576,13.247,4.464,6.986,3.373,14.99,3.38,1,0,0,0
12,151.901426,-57.220617,20.373,19.856,18.235,18.21,17.275,17.853,15.715,15.32,14.92,4.395,5.295,3.541,16.18,2.09,1,0,0,0
16,151.684472,-57.42752,13.85,13.872,12.901,12.903,12.349,12.653,11.463,11.225,11.076,4.306,3.196,3.476,11.7,0.26,1,0,0,1
17,151.800381,-57.342498,12.876,13.25,12.661,12.653,12.276,12.462,11.735,11.598,11.514,4.311,2.274,3.614,12.26,1.32,1,0,0,0
19,152.787124,-56.605924,19.762,18.752,16.703,16.705,15.437,16.303,13.272,12.643,12.312,4.373,6.805,3.647,13.12,6.14,1,0,0,0
22,151.71809,-57.441604,14.56,14.639,13.697,13.707,13.15,13.478,12.33,12.063,11.957,4.325,3.136,3.456,12.73,0.93,1,0,0,0
24,151.696111,-57.481615,13.882,14.12,13.333,13.345,12.874,13.122,12.178,11.93,11.862,4.326,2.778,3.565,12.67,1.12,1,0,0,0
26,151.989085,-57.294752,20.672,19.842,17.938,17.937,16.871,17.568,15.048,14.225,13.983,4.332,6.172,3.719,14.5,5.36,1,0,0,0
27,151.654351,-57.547096,18.352,18.583,17.251,17.244,16.526,16.92,15.128,14.684,14.429,4.624,4.903,4.062,18.21,2.68,1,0,1,0
28,152.088628,-57.249467,20.696,19.219,16.671,16.661,15.222,16.228,12.618,11.839,11.47,4.394,8.049,3.554,12.35,2.21,1,0,0,1
34,152.128612,-57.270224,20.006,18.795,16.547,16.542,15.262,16.129,12.994,12.404,12.027,4.362,7.011,3.486,12.74,3.12,1,0,0,0
36,152.188854,-57.230152,19.931,18.143,15.261,15.275,13.63,14.75,10.746,9.936,9.459,4.457,8.973,3.476,10.91,1.65,1,0,0,1
37,151.629353,-57.651919,13.902,14.009,13.076,13.046,12.526,12.783,11.569,11.314,11.187,4.328,3.331,3.71,11.95,1.26,1,0,0,0
39,152.082659,-57.346029,19.702,18.327,15.907,15.909,14.456,15.464,11.945,11.197,10.82,4.423,7.879,3.583,12.01,5.71,1,0,0,1
41,152.947634,-56.683829,14.458,14.196,12.884,12.878,12.072,12.549,10.859,10.6,10.426,4.389,4.215,3.288,11.68,6.8,1,0,0,1
45,152.17626,-57.306947,19.76,18.341,15.857,15.861,14.423,15.421,11.938,11.172,10.841,4.413,7.823,3.493,11.93,6.12,1,0,0,1
46,152.228729,-57.276443,17.129,15.965,13.61,13.608,12.248,13.113,9.942,9.267,8.845,4.474,7.491,3.515,10.63,2.08,1,0,0,1
48,152.235614,-57.276102,18.074,16.93,14.57,14.574,13.22,14.125,10.858,10.174,9.857,4.522,7.54,3.5,12.13,4.33,1,0,0,1
49,152.241679,-57.27591,18.141,16.995,14.678,14.683,13.354,14.233,11.061,10.394,10.024,4.454,7.35,3.512,11.6,1.11,1,0,0,1
50,152.24284,-57.278397,18.725,17.785,15.63,15.636,14.351,15.204,12.055,11.424,11.054,4.464,7.212,3.691,12.72,2.32,1,0,0,0
57,152.434632,-57.189686,20.691,19.632,17.59,17.589,16.416,17.224,14.451,13.87,13.541,4.386,6.397,3.461,14.56,1.74,1,0,0,0
59,152.433362,-57.209326,20.523,19.814,18.102,18.09,17.153,17.779,15.531,15.093,14.578,4.304,5.301,3.511,15.14,3.78,1,0,0,0
60,152.847148,-56.898983,20.401,19.239,17.022,17.008,15.725,16.582,13.506,12.84,12.515,4.38,7.031,3.518,13.38,2.99,1,0,0,0
61,152.767317,-56.976748,19.527,18.211,15.869,15.863,14.479,15.443,12.175,11.509,11.157,4.388,7.322,3.444,12.09,4.52,1,0,0,1
63,152.490571,-57.194279,19.096,17.796,15.308,15.326,13.892,14.894,11.52,10.846,10.459,4.527,7.714,3.395,12.82,1.33,1,0,0,1
68,151.952639,-57.62927,20.99,19.571,17.088,17.109,15.603,16.215,12.746,11.892,11.261,4.321,8.57,4.025,11.46,6.94,1,1,0,0
71,152.297933,-57.375235,19.755,18.543,16.2,16.224,14.827,15.786,12.431,11.777,11.379,4.446,7.541,3.544,12.85,3.6,1,0,0,0
72,152.068957,-57.55002,17.63,16.641,14.633,14.645,13.513,14.24,11.595,10.983,10.718,4.322,6.138,3.455,11.17,2.08,1,0,0,1
73,152.641887,-57.114394,20.618,19.911,18.173,18.145,17.145,17.752,15.47,14.886,14.62,4.346,5.616,3.568,15.33,2.26,1,0,0,0
75,151.513362,-57.966408,13.323,13.644,12.951,12.929,12.55,12.732,11.92,11.753,11.73,4.333,2.489,3.486,12.61,3.21,1,0,0,0
76,151.547991,-57.941273,18.818,17.903,15.995,15.979,14.89,15.609,12.964,12.429,12.182,4.323,5.988,3.492,12.63,4.76,1,0,0,0
85,152.448798,-57.33116,17.23,15.975,13.523,13.512,12.1,13.031,9.67,8.93,8.536,4.507,7.852,3.525,10.64,1.6,1,0,0,1
88,152.552562,-57.280377,20.218,19.736,18.235,18.22,17.329,17.892,15.869,15.456,15.403,4.342,4.859,3.492,15.99,3.39,1,0,0,0
94,151.5347,-58.073888,15.784,15.36,13.738,13.738,12.802,13.355,11.142,10.788,10.468,4.436,5.37,3.568,12.07,6.06,1,0,0,1
98,152.067236,-57.689588,19.507,17.831,15.192,15.202,13.665,14.714,10.926,10.098,9.693,4.329,8.321,3.576,9.96,4.23,1,0,0,1
99,151.627249,-58.019875,20.729,19.711,17.715,17.727,16.583,17.33,14.465,13.881,13.6,4.307,6.398,3.647,13.84,2.66,1,0,0,0
100,153.09436,-56.915779,19.706,18.899,16.894,16.921,15.759,16.488,13.638,12.992,12.65,4.399,6.676,3.761,13.71,0.3,1,0,0,0
108,151.813139,-57.925694,19.621,18.66,16.595,16.587,15.39,16.2,13.255,12.674,12.373,4.381,6.649,3.582,13.27,2.16,1,0,0,0
109,152.325021,-57.545887,17.566,15.969,13.405,13.394,11.925,12.928,9.317,8.56,8.115,4.324,7.995,3.538,8.41,1.57,1,0,0,1
111,153.641581,-56.530187,13.365,13.435,12.413,12.414,11.876,12.156,10.944,10.763,10.642,4.361,3.28,3.355,11.72,2.25,1,0,0,1
114,152.949997,-57.093217,18.026,17.343,15.585,15.551,14.52,15.174,12.871,12.379,12.159,4.411,5.587,3.378,13.48,5.78,1,0,0,0
115,153.527121,-56.636936,15.215,15.053,13.897,13.907,13.18,13.62,12.124,11.933,11.796,4.353,3.689,3.238,12.75,7.3,1,0,0,0
125,152.315828,-57.633082,21.075,19.693,17.314,17.313,15.973,16.86,13.546,12.873,12.551,4.388,7.453,3.502,13.43,5.4,1,0,0,0
127,153.312393,-56.894998,20.087,18.998,16.868,16.852,15.576,16.4,13.359,12.709,12.422,4.397,6.97,3.584,13.42,7.59,1,0,0,0
130,152.598693,-57.463467,17.929,16.214,13.487,13.506,11.917,12.97,9.144,8.367,7.875,4.366,8.524,3.528,8.49,2.09,1,0,0,1
132,153.088199,-57.10978,18.139,17.189,15.092,15.091,13.853,14.676,11.711,11.102,10.802,4.441,6.821,3.549,12.26,4.92,1,0,0,0
135,153.211798,-57.036171,18.115,17.403,15.7,15.698,14.688,15.335,12.918,12.445,12.176,4.309,5.515,3.592,12.56,3.39,1,0,0,0
143,153.259883,-57.020519,13.657,13.559,12.466,12.454,11.836,12.161,10.714,10.429,10.251,4.296,3.7,3.667,10.73,1.02,1,0,0,1
145,153.058283,-57.183747,20.353,19.78,18.223,18.222,17.351,17.936,15.984,15.276,15.27,4.297,4.892,3.543,15.52,5.12,1,0,0,0
146,152.547535,-57.578092,15.751,15.6,14.376,14.381,13.647,14.091,12.37,12.007,11.788,4.332,4.253,3.769,12.5,0.7,1,0,0,0
147,151.712626,-58.201524,19.648,19.504,18.12,18.061,17.278,17.806,15.95,15.425,15.381,4.484,4.836,3.66,17.41,2.84,1,0,1,0
150,152.692895,-57.474232,13.044,13.347,12.485,12.472,11.95,12.223,11.131,10.881,10.789,4.426,3.234,3.654,12.47,1.82,1,0,0,0
151,152.924193,-57.296353,20.523,19.113,16.474,16.488,14.901,16.015,11.949,11.05,10.603,4.508,9.045,3.834,12.52,4.8,1,0,0,0
153,153.053679,-57.199327,19.373,18.046,15.677,15.703,14.28,15.263,11.673,10.928,10.516,4.338,7.818,3.749,10.89,3.97,1,0,0,1
156,152.384894,-57.719477,13.721,13.762,12.652,12.646,11.982,12.351,10.826,10.542,10.373,4.404,3.98,3.691,11.77,2.6,1,0,0,1
157,153.389629,-56.957887,17.728,16.367,13.978,13.955,12.543,13.478,10.023,9.224,8.802,4.343,7.826,3.698,9.24,3.14,1,0,0,1
161,152.560034,-57.633054,21.207,19.847,17.423,17.42,16.088,16.954,13.453,12.442,12.081,4.324,8.076,3.941,12.29,6.88,1,0,0,0
163,151.925824,-58.109959,16.405,15.521,13.586,13.576,12.517,13.184,10.684,10.146,9.879,4.345,5.896,3.409,10.56,0.94,1,0,0,1
167,153.315795,-57.077087,20.44,18.606,15.728,15.741,14.032,15.224,10.888,9.968,9.43,4.409,9.512,3.738,10.3,2.96,1,0,0,1
169,153.192687,-57.176815,18.943,17.959,15.905,15.899,14.691,15.504,12.575,12.008,11.706,4.391,6.619,3.535,12.7,5.94,1,0,0,0
175,152.342042,-57.872056,21.237,19.676,17.182,17.173,15.762,16.732,13.176,12.459,12.102,4.374,7.858,3.535,12.8,6.59,1,0,0,0
176,153.353074,-57.094644,15.704,14.967,13.022,13.01,11.924,12.578,9.962,9.381,9.06,4.422,6.328,3.624,10.4,0.23,1,0,0,1
178,153.770917,-56.78148,20.639,19.887,18.155,18.154,17.14,17.791,15.625,15.031,14.728,4.331,5.38,3.424,15.39,3.6,1,0,0,0
191,152.181901,-58.080999,16.456,15.973,14.35,14.33,13.415,13.971,11.866,11.427,11.249,4.416,5.186,3.425,12.64,4.0,1,0,0,0
192,152.610086,-57.761667,19.762,18.837,16.735,16.74,15.466,16.325,13.263,12.492,12.16,4.426,7.145,3.776,13.43,4.75,1,0,0,0
194,153.365983,-57.187975,18.142,17.227,15.206,15.221,14.009,14.818,11.882,11.322,11.009,4.402,6.621,3.592,12.11,6.28,1,0,0,0
195,152.064026,-58.188055,19.955,19.715,18.144,18.128,17.241,17.766,15.934,15.364,15.255,4.577,5.07,3.412,18.42,3.19,1,0,1,0
197,153.926509,-56.753691,19.917,19.229,17.439,17.436,16.491,17.083,14.941,14.287,14.112,4.344,5.402,3.423,14.82,6.16,1,0,0,0
207,154.023498,-56.707249,13.385,13.586,12.79,12.781,12.27,12.548,11.612,11.456,11.4,4.356,2.715,3.225,12.48,4.73,1,0,0,0
209,153.489254,-57.137613,13.577,13.75,12.906,12.912,12.396,12.667,11.635,11.419,11.278,4.324,2.946,3.555,12.08,0.98,1,0,0,0
210,153.96234,-56.759278,14.247,14.221,13.159,13.163,12.508,12.891,11.552,11.306,11.218,4.367,3.502,3.319,12.31,4.84,1,0,0,1
212,153.433725,-57.195809,18.039,17.105,14.96,14.962,13.687,14.545,11.442,10.782,10.459,4.493,7.162,3.638,12.43,4.31,1,0,0,0
213,154.158599,-56.619813,19.21,18.247,16.312,16.31,15.164,15.915,13.173,12.644,12.391,4.318,6.124,3.513,12.77,6.77,1,0,0,0
214,153.853686,-56.869989,17.744,16.909,15.005,14.98,13.858,14.565,12.022,11.532,11.254,4.409,6.017,3.388,12.51,5.56,1,0,0,1
215,153.556531,-57.111108,17.571,16.578,14.494,14.496,13.285,14.091,11.205,10.603,10.238,4.368,6.626,3.553,11.06,1.33,1,0,0,1
218,152.492292,-57.945973,20.896,19.639,17.228,17.207,15.811,16.766,13.24,12.467,12.06,4.49,8.062,3.711,13.91,2.13,1,0,0,0
219,153.591926,-57.09502,20.831,19.908,17.985,17.999,16.879,17.617,14.951,14.375,14.127,4.348,6.121,3.55,14.76,1.64,1,0,0,0
221,154.008635,-56.760399,13.657,13.586,12.498,12.492,11.893,12.219,10.852,10.593,10.467,4.318,3.537,3.467,11.13,1.88,1,0,0,1
226,152.818379,-57.736846,20.842,19.447,16.74,16.708,15.134,16.253,11.989,11.004,10.483,4.521,9.551,4.013,12.49,1.28,1,0,0,0
228,153.8078,-56.972087,20.71,19.477,17.281,17.268,15.993,16.787,13.798,13.1,12.719,4.341,6.992,3.583,13.26,2.3,1,0,0,0
231,153.735127,-57.037964,18.934,17.65,15.285,15.304,13.905,14.944,11.597,10.928,10.596,4.438,7.395,3.423,12.0,4.34,1,0,0,1
235,154.124298,-56.76003,20.517,19.971,18.384,18.379,17.508,18.032,15.948,15.414,15.372,4.325,5.048,3.568,15.83,1.01,1,0,0,0
238,153.452234,-57.316912,19.694,19.421,18.038,18.143,17.34,17.831,15.98,15.765,15.329,4.327,4.312,3.533,16.15,1.35,1,0,0,0
240,153.481891,-57.296756,20.992,19.178,16.385,16.427,14.752,15.94,11.746,10.85,10.373,4.359,9.058,3.679,10.82,3.51,1,0,0,1
242,153.084757,-57.609251,18.629,18.003,16.248,16.229,15.258,15.884,13.361,12.863,12.565,4.35,5.829,3.748,13.26,1.69,1,0,0,0
243,153.800287,-57.045743,15.946,15.211,13.274,13.276,12.152,12.932,10.072,9.528,9.193,4.427,6.492,3.708,10.55,2.35,1,0,0,1
248,153.835012,-57.041266,20.426,19.522,17.44,17.445,16.23,17.039,14.16,13.633,13.301,4.481,6.662,3.484,15.23,3.27,1,0,0,0
249,153.722273,-57.132842,17.82,17.562,16.264,16.273,15.518,15.956,14.327,13.811,13.622,4.306,4.266,3.651,14.15,2.73,1,0,0,0
250,153.803853,-57.069068,20.142,18.956,16.833,16.851,15.603,16.449,13.491,12.888,12.569,4.309,6.564,3.476,12.86,2.49,1,0,0,0
251,153.723707,-57.134502,20.336,18.968,16.543,16.544,15.125,16.115,12.577,11.824,11.404,4.374,7.86,3.652,12.12,1.87,1,0,0,1
252,152.333012,-58.207384,19.354,17.836,15.343,15.333,13.932,14.875,11.364,10.584,10.167,4.299,7.798,3.606,10.26,0.63,1,0,0,1
253,153.764811,-57.105586,20.602,19.531,17.421,17.436,16.198,17.047,13.953,13.304,12.957,4.353,6.906,3.703,13.57,1.27,1,0,0,0
255,153.780548,-57.096632,19.465,18.221,15.963,15.956,14.65,15.538,12.372,11.726,11.372,4.355,7.096,3.508,12.01,2.92,1,0,0,1
256,153.758582,-57.114667,17.819,17.025,15.01,15.017,13.831,14.621,11.785,11.18,10.851,4.473,6.656,3.615,12.68,1.3,1,0,0,0
258,154.478607,-56.530812,18.625,18.183,16.75,16.731,15.961,16.469,14.83,14.239,14.1,4.303,4.26,3.285,14.68,5.25,1,0,0,0
259,154.1798,-56.777798,20.777,19.969,18.214,18.196,17.232,17.853,15.584,15.108,14.953,4.312,5.314,3.383,15.33,1.17,1,0,0,0
261,153.926987,-57.016295,16.304,15.184,12.878,12.88,11.698,12.404,9.383,8.702,8.27,4.352,7.143,3.638,8.89,3.6,1,0,0,1
262,153.87195,-57.077162,18.977,17.931,15.751,15.757,14.487,15.341,12.348,11.773,11.412,4.44,6.879,3.456,12.9,2.57,1,0,0,0
263,152.943618,-57.806063,13.338,13.336,12.316,12.293,11.705,11.68,10.859,10.613,10.472,4.337,3.281,3.306,11.36,1.66,1,1,0,1
264,152.830701,-57.895142,16.798,16.533,15.17,15.155,14.353,14.828,12.907,12.494,12.247,4.344,4.73,3.795,13.01,0.99,1,0,0,0
266,152.835796,-57.894767,14.701,14.574,13.25,13.243,12.467,12.915,11.1,10.671,10.488,4.413,4.663,3.762,11.89,1.34,1,0,0,0
267,152.837763,-57.893974,17.06,16.713,15.284,15.284,14.455,14.946,12.951,12.513,12.266,4.329,4.853,3.771,12.89,0.47,1,0,0,0
270,153.689283,-57.237805,13.873,13.879,12.858,12.841,12.185,12.549,11.189,10.911,10.755,4.351,3.623,3.582,11.71,4.16,1,0,0,1
277,153.825819,-57.1453,20.562,19.882,17.862,17.872,16.678,17.457,14.579,13.871,13.496,4.521,6.937,3.806,15.83,1.61,1,0,0,0
281,153.665623,-57.27852,13.737,13.752,12.649,12.635,12.015,12.342,10.902,10.614,10.408,4.357,3.842,3.717,11.4,0.65,1,0,0,1
283,154.058687,-56.965495,18.693,17.494,15.225,15.216,13.869,14.772,11.652,11.03,10.685,4.434,7.145,3.419,12.08,5.43,1,0,0,1
286,153.914474,-57.087998,19.149,18.174,16.023,16.041,14.747,15.614,12.429,11.668,11.302,4.409,7.318,3.818,12.39,2.09,1,0,0,0
288,153.463928,-57.454001,20.037,19.121,17.153,17.156,16.025,16.742,13.793,13.179,12.785,4.299,6.632,3.902,12.96,1.36,1,0,0,0
292,153.093622,-57.762903,19.153,19.09,17.613,17.588,16.799,17.288,15.3,14.819,14.674,4.563,5.151,3.787,17.6,1.41,1,0,1,0
293,153.883547,-57.142619,20.766,19.4,16.952,16.955,15.586,16.53,13.166,12.422,12.093,4.454,7.688,3.502,13.61,3.47,1,0,0,0
300,153.916264,-57.137688,19.025,18.099,16.136,16.117,14.985,15.738,12.996,12.405,12.114,4.339,6.276,3.566,12.68,2.51,1,0,0,0
301,153.911906,-57.146072,18.765,17.777,15.687,15.693,14.479,15.281,12.302,11.702,11.356,4.372,6.753,3.614,12.17,2.26,1,0,0,0
302,153.51622,-57.461883,19.62,18.793,16.87,16.875,15.752,16.459,13.608,13.002,12.651,4.332,6.492,3.846,13.12,1.17,1,0,0,0
306,153.872114,-57.183648,19.209,18.224,16.044,16.041,14.818,15.641,12.654,12.002,11.626,4.427,6.964,3.58,12.97,0.25,1,0,0,0
307,152.872502,-57.966286,17.798,16.801,14.55,14.548,13.252,14.083,10.838,10.113,9.73,4.467,7.557,3.759,11.38,1.06,1,0,0,1
308,153.942424,-57.131906,19.121,18.207,16.317,16.31,15.22,15.937,13.341,12.745,12.496,4.303,5.95,3.536,12.78,3.56,1,0,0,0
309,152.794965,-58.030742,15.766,15.546,14.256,14.258,13.509,13.938,12.208,11.765,11.582,4.324,4.392,3.749,12.2,1.49,1,0,0,0
311,152.726076,-58.083471,19.794,18.623,16.26,16.206,14.732,15.755,11.637,10.567,9.967,4.328,9.145,4.55,10.07,3.25,1,0,0,0
312,152.944902,-57.91943,16.57,16.34,15.102,15.091,14.37,14.79,12.98,12.598,12.432,4.295,4.338,3.858,12.79,3.87,1,0,0,0
314,153.951795,-57.145765,16.485,15.815,13.823,13.832,12.668,13.414,10.732,10.14,9.812,4.571,6.53,3.565,12.79,1.16,1,0,0,1
315,153.876703,-57.209975,19.289,17.84,15.275,15.27,13.794,14.798,11.002,10.183,9.696,4.372,8.449,3.768,10.33,0.94,1,0,0,1
317,152.758847,-58.083649,12.813,13.096,12.255,12.26,11.738,12.011,10.805,10.593,10.366,4.362,3.321,4.039,11.45,3.26,1,0,0,1
318,154.297184,-56.874674,20.781,19.547,17.346,17.344,16.04,16.936,13.92,13.302,12.944,4.398,6.89,3.429,14.03,3.94,1,0,0,0
319,153.081041,-57.841641,14.218,14.318,13.313,13.31,12.736,13.059,11.752,11.496,11.333,4.358,3.5,3.65,12.36,0.42,1,0,0,0
320,153.166555,-57.777724,17.54,17.113,15.673,15.658,14.862,15.34,13.401,13.006,12.821,4.307,4.635,3.569,13.27,2.02,1,0,0,0
321,153.330275,-57.651605,17.477,16.962,15.454,15.444,14.594,15.11,13.021,12.585,12.427,4.297,4.884,3.607,12.73,6.82,1,0,0,0
326,153.558772,-57.479273,20.631,19.726,17.629,17.637,16.419,17.213,14.113,13.476,13.069,4.414,7.1,3.815,14.25,1.6,1,0,0,0
327,153.662563,-57.404127,20.472,19.38,16.946,16.96,15.487,16.507,12.9,12.083,11.656,4.577,8.267,3.762,14.5,2.09,1,0,0,0
328,153.664271,-57.403109,20.476,19.034,16.631,16.642,15.186,16.189,12.608,11.868,11.474,4.335,7.826,3.669,11.82,4.22,1,0,0,1
331,153.668178,-57.407289,16.936,15.48,12.953,12.942,11.486,12.341,8.693,7.87,7.414,4.341,8.35,3.794,7.76,1.83,1,0,0,1
335,153.671128,-57.416305,20.839,19.721,17.401,17.397,16.08,16.943,13.606,12.853,12.491,4.455,7.696,3.727,13.99,2.47,1,0,0,0
337,154.104518,-57.08418,20.847,19.514,16.878,16.88,15.352,16.319,12.682,11.893,11.405,4.539,8.523,3.602,13.82,1.82,1,0,0,0
340,153.998076,-57.173581,19.842,18.846,16.659,16.667,15.399,16.239,13.264,12.586,12.34,4.516,6.997,3.481,14.59,6.81,1,0,0,0
345,154.024659,-57.163141,18.004,17.252,15.225,15.267,14.093,14.825,11.937,11.347,11.034,4.471,6.732,3.7,12.81,2.68,1,0,0,0
348,154.141455,-57.080181,20.623,19.561,17.442,17.439,16.214,17.025,14.096,13.549,13.245,4.432,6.709,3.457,14.64,4.74,1,0,0,0
349,154.321321,-56.935518,20.876,19.641,17.434,17.449,16.132,17.009,13.898,13.31,12.867,4.362,7.02,3.542,13.6,3.87,1,0,0,0
350,153.448778,-57.638184,20.117,18.934,16.76,16.747,15.513,16.322,13.201,12.512,12.168,4.299,6.988,3.686,12.31,1.9,1,0,0,0
351,154.586743,-56.726152,17.81,18.122,16.923,16.929,16.286,16.592,15.346,14.849,14.755,4.629,4.064,3.619,18.71,6.8,1,0,1,0
352,153.253025,-57.799363,18.189,17.515,15.733,15.728,14.683,15.335,12.745,12.184,11.888,4.352,6.025,3.781,12.57,2.2,1,0,0,0
354,153.620899,-57.51636,17.507,16.611,14.499,14.499,13.282,14.076,11.17,10.545,10.233,4.482,6.842,3.549,12.14,1.89,1,0,0,1
355,154.103302,-57.13514,16.622,16.088,14.227,14.216,13.144,13.813,11.347,10.79,10.575,4.598,6.105,3.519,13.89,4.63,1,0,0,0
357,153.919392,-57.286169,19.772,18.29,15.611,15.593,14.02,15.122,11.212,10.387,9.993,4.567,8.796,3.604,12.64,7.51,1,0,0,1
361,154.209593,-57.062754,20.226,19.098,16.988,16.996,15.762,16.561,13.688,13.046,12.78,4.332,6.564,3.471,13.24,4.61,1,0,0,0
362,154.244536,-57.037452,20.328,18.981,16.724,16.718,15.391,16.291,13.193,12.539,12.195,4.319,6.941,3.422,12.55,3.84,1,0,0,1
366,152.910232,-58.093689,20.496,19.943,18.158,18.258,17.291,17.948,15.561,14.956,14.735,4.372,5.581,3.641,15.68,4.88,1,0,0,0
367,154.091158,-57.17482,18.326,17.427,15.399,15.377,14.21,14.975,12.166,11.534,11.237,4.403,6.582,3.585,12.35,2.8,1,0,0,0
368,152.9359,-58.082098,19.589,19.165,17.649,,16.833,,15.282,14.778,14.51,4.307,4.964,3.762,14.97,0.52,1,0,0,0
369,154.116989,-57.161758,19.04,18.332,16.54,16.53,15.485,16.142,13.697,13.076,12.82,4.351,5.878,3.652,13.52,3.2,1,0,0,0
371,152.991415,-58.047742,18.753,18.573,17.273,17.285,16.557,16.954,15.28,14.759,14.664,4.334,4.395,3.776,15.33,2.5,1,0,0,0
373,153.420283,-57.720938,17.392,18.125,17.183,17.227,16.606,16.944,15.383,15.004,14.86,4.639,4.313,4.975,18.74,5.66,1,0,1,0
374,154.107755,-57.175893,20.341,19.304,16.849,16.822,15.399,16.391,12.725,11.881,11.51,4.592,8.393,3.814,14.47,5.56,1,0,0,0
376,154.220685,-57.090546,20.597,18.508,15.374,15.327,13.514,14.826,10.056,9.057,8.424,4.417,10.406,3.769,9.29,4.29,1,0,0,1
380,152.900929,-58.131658,14.918,14.611,13.234,13.193,12.435,12.869,11.12,10.691,10.451,4.329,4.523,3.618,11.14,1.34,1,0,0,1
382,154.076172,-57.215173,18.769,17.936,15.938,15.939,14.805,15.543,12.849,12.286,11.976,4.425,6.349,3.504,13.36,0.73,1,0,0,0
383,153.268448,-57.854284,18.269,18.585,17.571,17.574,17.023,17.273,16.064,15.362,15.071,4.433,4.074,4.373,16.9,7.24,1,0,1,0
384,154.072293,-57.221221,16.046,15.517,13.638,13.638,12.56,13.248,10.706,10.16,9.914,4.594,6.191,3.562,13.18,2.68,1,0,0,0
386,153.099961,-57.991639,14.596,14.563,13.413,13.409,12.755,13.107,11.565,11.254,11.106,4.368,3.986,3.671,12.15,2.64,1,0,0,0
390,153.531055,-57.664835,17.008,16.044,14.039,14.034,12.819,13.582,10.654,10.022,9.701,4.35,6.696,3.7,10.31,5.57,1,0,0,1
396,154.167902,-57.164575,20.701,19.696,17.449,17.435,16.148,16.967,13.863,13.282,12.927,4.547,7.25,3.522,15.53,4.09,1,0,0,0
398,153.438055,-57.745855,15.533,15.329,14.116,14.072,13.388,13.769,12.138,11.843,11.625,4.314,4.094,3.63,12.2,2.44,1,0,0,0
399,153.347965,-57.821383,14.651,14.508,13.258,13.264,12.556,12.955,11.266,10.918,10.727,4.344,4.244,3.71,11.54,0.88,1,0,0,1
400,153.421567,-57.765881,15.088,14.904,13.647,13.665,12.938,13.345,11.614,11.283,10.98,4.307,4.3,3.834,11.5,1.31,1,0,0,1
401,154.100351,-57.228229,18.782,18.042,15.924,15.949,14.752,15.533,12.492,11.855,11.566,4.569,7.078,3.721,14.4,4.98,1,0,0,0
403,154.327687,-57.051395,14.461,14.402,13.351,13.341,12.678,12.768,11.767,11.424,11.233,4.313,3.55,3.538,11.89,6.44,1,1,0,1
404,154.112113,-57.228089,17.443,16.849,14.892,14.863,13.739,14.457,11.761,11.219,10.941,4.617,6.496,3.587,14.46,4.09,1,0,0,0
405,154.009332,-57.311851,19.622,18.012,15.232,15.244,13.597,14.716,10.619,9.703,9.21,4.481,9.236,3.723,10.85,1.85,1,0,0,1
406,154.255997,-57.112696,17.161,16.305,14.243,14.243,13.046,13.829,11.019,10.426,10.116,4.49,6.654,3.505,12.15,1.84,1,0,0,1
412,152.899481,-58.199536,15.183,15.036,13.84,13.853,13.164,13.554,11.97,11.616,11.507,4.33,3.983,3.586,12.21,4.64,1,0,0,0
414,154.085038,-57.277031,20.09,18.4,15.772,15.751,14.225,15.28,11.453,10.566,10.182,4.316,8.417,3.644,10.3,6.91,1,0,0,1
416,154.116771,-57.255932,17.348,16.683,14.947,14.931,13.942,14.561,12.21,11.633,11.442,4.35,5.624,3.587,12.14,6.69,1,0,0,1
421,154.629185,-56.848672,13.05,13.302,12.538,12.525,12.098,12.289,11.353,11.239,11.146,4.334,2.685,3.466,12.04,3.53,1,0,0,1
422,154.035724,-57.336358,18.605,17.657,15.637,15.64,14.462,15.226,12.492,11.855,11.59,4.368,6.389,3.508,12.4,4.14,1,0,0,1
423,153.291616,-57.923679,14.663,14.27,12.747,12.754,11.906,12.407,10.43,10.049,9.793,4.369,4.864,3.515,10.79,0.76,1,0,0,1
429,154.348355,-57.099931,17.46,16.645,14.783,14.786,13.695,14.417,11.896,11.386,11.155,4.37,5.821,3.41,12.05,4.61,1,0,0,1
430,154.069793,-57.3306,18.608,17.675,15.535,15.524,14.254,15.105,12.052,11.374,11.055,4.489,7.123,3.629,13.0,3.72,1,0,0,0
432,153.984033,-57.403526,18.048,16.823,14.367,14.404,12.978,13.932,10.415,9.661,9.292,4.473,7.984,3.645,10.96,1.91,1,0,0,1
433,154.062785,-57.344438,19.305,18.213,16.007,16.011,14.702,15.581,12.326,11.618,11.251,4.376,7.334,3.738,12.02,2.0,1,0,0,0
434,153.024938,-58.155605,18.68,17.521,15.147,15.148,13.816,14.654,11.299,10.53,10.157,4.433,7.794,3.717,11.42,2.02,1,0,0,1
