VPHAS-OB1,RAJ2000,DEJ2000,umag,gmag,rmag,r2mag,imag,Hamag,Jmag,Hmag,Kmag,logTeff,A0,Rv,mu,chi2,OB,Halpha,SUB,LUM
1189,155.984104,-57.758334,15.577,15.331,13.621,13.625,12.595,13.211,10.633,10.048,9.731,4.604,6.33,4.06,13.07,1.8,1,0,0,0
1192,155.988092,-57.757371,18.22,17.721,15.917,15.924,14.84,15.537,12.706,12.055,11.762,4.455,6.605,4.081,13.33,1.59,1,0,0,0
1193,156.002094,-57.745684,16.687,16.373,14.762,14.768,13.798,14.376,11.943,11.297,11.024,4.441,5.996,4.129,12.53,1.7,1,0,0,0
1195,155.993475,-57.753607,17.716,17.189,15.226,15.251,14.087,14.86,11.865,11.232,10.869,4.582,6.992,3.967,13.87,1.97,1,0,0,0
1196,156.012941,-57.738185,18.08,17.572,15.951,15.959,14.984,15.618,13.109,12.524,12.234,4.327,5.784,4.047,12.7,0.78,1,0,0,0
1197,155.940186,-57.800763,17.611,17.188,15.293,15.307,14.19,14.875,12.051,11.439,11.077,4.603,6.792,3.99,14.37,1.75,1,0,0,0
1198,155.998679,-57.751811,18.636,18.178,16.482,16.482,15.451,16.044,13.294,12.638,12.246,4.361,6.499,4.408,12.93,0.39,1,0,0,0
1199,155.99051,-57.759515,18.207,17.792,16.023,16.029,14.977,15.603,12.856,12.195,11.85,4.469,6.621,4.208,13.58,0.23,1,0,0,0
1201,155.993898,-57.758655,17.987,17.523,15.602,15.624,14.523,15.242,12.394,11.745,11.361,4.564,6.803,3.993,14.19,1.03,1,0,0,0
1203,156.004089,-57.75151,17.178,16.889,15.287,15.373,14.435,14.961,12.433,11.884,11.513,4.371,5.943,4.377,12.36,3.92,1,0,0,0
1204,155.995005,-57.760355,17.394,16.99,15.151,15.156,14.061,14.762,11.898,11.223,10.859,4.557,6.846,4.155,13.56,0.72,1,0,0,0
1205,155.996357,-57.75944,19.165,18.483,16.493,16.526,15.333,16.116,12.758,11.953,11.457,4.354,7.556,4.521,11.97,0.67,1,0,0,0
1207,156.006671,-57.751005,18.153,17.843,16.279,16.305,15.412,15.873,13.409,12.949,12.705,4.369,5.759,4.245,13.48,4.61,1,0,0,0
1208,156.016615,-57.743492,16.521,16.326,14.77,14.771,13.84,14.378,11.993,11.224,10.829,4.427,6.141,4.494,12.23,3.79,1,0,0,0
1209,155.996658,-57.761209,17.207,16.746,14.847,14.968,13.842,14.581,11.476,10.818,10.441,4.448,6.972,4.322,11.9,6.32,1,0,0,0
1210,156.816034,-57.053632,15.78,15.528,14.254,14.255,13.541,13.928,12.262,11.892,11.723,4.306,4.184,3.621,12.21,1.38,1,0,0,0
1211,156.000824,-57.759051,17.22,16.864,15.106,15.112,14.073,14.728,11.841,11.203,10.79,4.471,6.781,4.394,12.53,0.58,1,0,0,0
1212,156.00316,-57.757125,15.366,15.119,13.447,13.437,12.419,13.044,10.148,9.642,9.226,4.496,6.714,4.508,11.18,3.51,1,0,0,0
1213,156.005154,-57.755561,18.425,17.997,16.348,16.344,15.403,15.926,13.251,12.574,11.997,4.295,6.334,4.639,12.27,1.5,1,0,0,0
1215,155.997395,-57.764515,17.664,17.257,15.423,15.433,14.33,15.007,12.215,11.614,11.321,4.609,6.658,3.971,14.68,5.71,1,0,0,0
1216,156.00499,-57.75862,14.6,14.32,12.575,12.582,11.566,12.225,9.273,8.673,8.371,4.53,6.772,4.4,10.69,4.69,1,0,0,1
1217,156.001466,-57.761858,17.046,16.593,14.755,14.761,13.664,14.344,11.578,10.944,10.581,4.551,6.686,4.011,13.26,0.63,1,0,0,0
1218,156.010031,-57.754782,16.818,16.443,14.784,14.794,13.805,14.434,11.8,11.328,11.018,4.428,6.084,4.089,12.35,2.7,1,0,0,0
1220,156.039305,-57.731272,17.471,17.06,15.301,15.3,14.24,14.88,12.3,11.725,11.417,4.555,6.308,3.88,14.18,1.56,1,0,0,0
1221,156.008515,-57.75776,15.847,15.38,13.352,13.384,12.288,13.006,9.96,9.357,8.982,4.59,7.056,4.033,12.07,5.91,1,0,0,0
1222,155.172582,-58.448299,18.218,17.526,15.822,15.817,14.739,15.432,12.812,12.195,11.854,4.297,6.006,3.961,12.08,3.34,1,0,0,0
1223,156.004471,-57.762684,17.378,17.026,15.291,15.297,14.266,14.907,12.295,11.816,11.351,4.563,6.223,3.91,14.34,5.13,1,0,0,0
1224,156.005769,-57.761776,17.105,16.619,14.85,14.843,13.765,14.451,11.663,11.032,10.604,4.432,6.612,4.179,11.99,0.83,1,0,0,0
1225,156.007873,-57.761107,17.879,17.378,15.53,15.523,14.437,15.145,12.312,11.611,11.185,4.475,6.801,4.128,13.03,0.34,1,0,0,0
1226,156.009539,-57.759795,14.593,14.293,12.563,12.569,11.542,12.169,9.45,8.95,8.52,4.562,6.496,4.159,11.33,2.25,1,0,0,1
1227,155.642225,-58.068527,13.782,13.993,13.018,13.036,12.445,12.748,11.485,11.232,11.084,4.423,3.545,3.679,12.71,0.67,1,0,0,0
1228,156.752254,-57.120756,18.883,18.494,16.977,16.962,16.178,16.639,14.652,14.195,14.063,4.339,4.875,3.636,14.71,2.06,1,0,0,0
1230,155.788282,-57.948261,17.159,16.677,15.183,15.182,14.313,14.827,12.772,12.327,12.113,4.306,4.899,3.639,12.53,2.1,1,0,0,0
1231,156.006343,-57.765833,16.685,16.076,14.052,14.057,12.841,13.632,10.563,9.893,9.552,4.602,7.196,3.918,12.77,3.36,1,0,0,0
1232,156.010058,-57.763067,18.176,17.593,15.652,15.658,14.501,15.266,12.329,11.82,11.384,4.571,6.772,3.811,14.36,6.96,1,0,0,0
1233,156.028336,-57.749058,19.652,18.809,16.915,16.894,15.725,16.491,13.63,13.049,12.701,4.346,6.485,3.784,13.29,5.7,1,0,0,0
1234,156.014785,-57.761236,18.7,18.062,16.185,16.192,15.073,15.816,12.819,12.059,11.736,4.376,6.872,4.204,12.51,0.64,1,0,0,0
1235,156.055561,-57.727099,20.787,19.893,17.862,17.857,16.631,18.291,14.262,13.663,13.32,4.44,7.141,3.881,14.69,5.71,1,0,0,0
1236,156.181127,-57.621095,17.99,16.887,14.628,14.645,13.31,14.185,11.014,10.338,10.042,4.463,7.292,3.533,11.68,6.49,1,0,0,1
1237,155.704981,-58.022088,15.716,15.705,14.56,14.57,13.893,14.267,12.741,12.402,12.234,4.375,4.006,3.708,13.35,0.66,1,0,0,0
1238,156.020427,-57.757876,15.876,15.452,13.613,13.611,12.534,13.205,10.53,9.964,9.591,4.593,6.505,3.885,12.82,1.53,1,0,0,0
1240,155.474981,-58.214351,14.754,14.625,13.316,13.311,12.541,12.986,11.27,10.908,10.772,4.449,4.445,3.511,12.55,4.12,1,0,0,0
1241,156.024183,-57.75791,20.033,19.217,17.338,17.344,16.233,16.704,14.065,13.447,13.065,4.299,6.475,3.982,13.24,0.54,1,1,0,0
1243,155.597242,-58.119391,13.031,13.236,12.171,12.171,11.557,11.871,10.488,10.182,10.011,4.473,3.913,3.769,12.11,0.21,1,0,0,0
1246,156.003679,-57.781379,20.245,19.34,17.04,17.05,15.662,16.199,12.828,11.958,11.434,4.511,8.573,4.271,13.42,0.75,1,1,0,0
1248,156.067719,-57.72882,16.484,15.918,13.879,13.879,12.646,13.432,10.316,9.624,9.236,4.621,7.363,4.017,12.69,2.52,1,0,0,0
1250,156.025413,-57.766024,19.783,18.998,16.932,16.942,15.724,16.503,13.526,12.846,12.556,4.526,7.032,3.731,14.89,4.66,1,0,0,0
1254,155.466553,-58.233674,16.522,16.335,15.092,15.088,14.348,14.77,13.102,12.72,12.586,4.34,4.216,3.627,13.35,2.77,1,0,0,0
1256,155.59548,-58.12991,13.647,13.978,13.137,13.125,12.609,12.861,11.746,11.557,11.426,4.431,3.245,3.731,13.15,2.24,1,0,0,0
1258,156.012708,-57.781747,18.458,17.86,15.932,15.929,14.812,15.199,12.509,11.853,11.497,4.455,7.0,4.109,13.02,1.77,1,1,0,0
1260,157.209808,-56.746253,15.693,15.473,14.07,14.085,13.272,13.731,11.745,11.413,11.226,4.413,4.809,3.67,12.6,7.56,1,0,0,0
1263,155.501387,-58.218729,14.148,14.08,12.815,12.814,12.079,12.491,10.869,10.512,10.36,4.442,4.304,3.543,12.1,1.67,1,0,0,0
1264,155.721497,-58.037046,19.541,18.789,16.981,16.992,15.94,16.612,13.975,13.33,13.111,4.304,6.03,3.82,13.35,1.85,1,0,0,0
1265,155.938232,-57.858205,19.949,19.174,17.133,17.152,15.975,16.797,13.67,12.982,12.604,4.417,7.069,3.952,13.79,0.59,1,0,0,0
