_RAJ2000,_DEJ2000,Cluster,MG,ymag,e_ymag,b-y,e_b-y,y-Ha,e_y-Ha,WHa05,WHa06,WHa07,vsini,e_vsini,Teff,e_Teff,logg,e_logg,loggP,Mass,e_Mass,Rad,e_Rad,Vc,SB?,Code,clean,umag,e_umag,gmag,e_gmag,Hamag,e_Hamag,rmag,e_rmag,imag,e_imag,W1mag,W2mag,W3mag,W4mag,Jmag,Hmag,Kmag,e_W1mag,e_W2mag,e_W3mag,e_W4mag,e_Jmag,e_Hmag,e_Kmag
117.658625,-25.5459722,Haffner 16,1161,12.677,0.016,0.712,0.026,0.887,0.044,,,,,,,,,,,,,,,,,O,false,15.58,0.0,14.01,0.0,,,,,,,9.748,9.851,9.634,8.634,10.564,9.997,9.862,0.022,0.019,0.035,0.269,0.026,0.026,0.023
117.664125,-25.5418056,Haffner 16,1137,14.365,0.018,0.401,0.026,0.554,0.046,,,,,,,,,,,,,,,,,O,false,15.96,0.0,15.42,0.0,,,14.05,0.0,13.69,0.0,12.73,12.793,12.23,9.523,13.187,12.881,12.861,0.023,0.024,0.235,,0.028,0.029,0.034
117.665,-25.4509722,Haffner 16,628,14.996,0.023,0.449,0.033,0.661,0.049,,,,,,,,,,,,,,,,,O,false,17.0,0.0,16.17,0.0,,,14.64,0.0,14.25,0.01,13.208,13.317,12.907,9.07,13.642,13.323,13.27,0.024,0.029,,,0.028,0.03,0.042
117.66575,-25.4641667,Haffner 16,715,15.537,0.028,0.461,0.039,0.608,0.053,,,,,,,,,,,,,,,,,O,false,17.18,0.01,16.65,0.0,,,15.18,0.0,14.76,0.01,13.808,13.899,12.839,9.208,14.11,13.859,13.812,0.025,0.031,,,0.028,0.032,0.055
117.6667917,-25.4748333,Haffner 16,785,14.432,0.02,0.651,0.03,0.828,0.047,,,,,,,,,,,,,,,,,O,false,16.76,0.0,15.69,0.0,,,13.92,0.0,13.38,0.01,11.708,11.776,11.831,8.911,12.46,11.979,11.829,0.022,0.022,0.239,,0.026,0.024,0.026
117.6706667,-25.5100833,Haffner 16,966,15.186,0.028,0.944,0.044,1.093,0.051,,,,,,,,,,,,,,,,,O,false,18.78,0.01,16.68,0.01,,,14.48,0.0,13.75,0.0,11.411,11.521,11.266,8.686,12.39,11.732,11.52,0.022,0.021,0.119,,0.026,0.026,0.026
117.6723333,-25.4794167,Haffner 16,802,13.607,0.021,0.992,0.034,1.151,0.046,,,,,,,,,,,,,,,,,O,false,17.55,0.01,15.15,0.01,,,12.84,0.0,,,9.535,9.655,9.478,9.021,10.665,9.881,9.647,0.022,0.021,0.036,,0.026,0.026,0.024
117.6811667,-25.5385833,Haffner 16,1118,13.895,0.016,0.392,0.023,0.54,0.045,,,,,,,,,,,,,,,,,O,false,15.42,0.0,14.95,0.0,,,13.59,0.0,13.23,0.0,12.283,12.356,12.082,9.258,12.741,12.471,12.425,0.023,0.023,,,0.028,0.029,0.027
117.6822083,-25.4669444,Haffner 16,729,17.042,0.052,0.443,0.07,0.583,0.076,,,,,,,,,,,,,,,,,O,false,18.56,0.01,18.11,0.01,,,16.68,0.01,16.24,0.01,15.224,15.974,12.856,8.861,15.565,15.304,15.269,0.031,0.109,,,0.045,0.072,0.181
117.6867083,-25.5445556,Haffner 16,1152,11.452,0.014,0.262,0.022,0.375,0.043,,,,,,,,,,,,,,,,,O,false,12.73,0.0,,,,,,,,,10.357,10.387,10.229,9.054,10.61,10.481,10.379,0.022,0.02,0.049,0.38,0.024,0.023,0.023
117.6880833,-25.4729444,Haffner 16,772,13.258,0.016,0.722,0.026,0.893,0.044,,,,,,,,,,,,,,,,,O,false,15.89,0.0,14.59,0.01,,,12.71,0.0,,,10.374,10.44,10.318,8.777,11.111,10.574,10.467,0.022,0.021,0.057,,0.024,0.027,0.023
117.6892083,-25.4680833,Haffner 16,733,16.74,0.057,0.541,0.079,0.756,0.079,,,,,,,,,,,,,,,,,O,false,18.9,0.01,17.96,0.01,,,16.31,0.01,15.81,0.01,14.21,14.568,12.6,9.459,15.075,14.502,14.431,0.026,0.04,,,0.047,0.051,0.078
117.6925,-25.5400833,Haffner 16,1130,14.365,0.018,0.188,0.024,0.261,0.046,,,,,,,,,,,,,,,,,O,false,15.21,0.0,15.22,0.0,,,14.25,0.0,14.03,0.0,13.737,13.833,12.611,9.123,13.851,13.792,13.757,0.025,0.033,0.374,,0.03,0.029,0.052
117.6935833,-25.4404167,Haffner 16,553,14.528,0.023,0.886,0.036,1.056,0.048,,,,,,,,,,,,,,,,,O,false,17.94,0.01,15.97,0.01,,,13.85,0.0,,,10.848,10.963,10.883,9.45,11.865,11.163,11.012,0.022,0.02,0.081,,0.023,0.024,0.023
