_RAJ2000,_DEJ2000,Cluster,MG,ymag,e_ymag,b-y,e_b-y,y-Ha,e_y-Ha,WHa05,WHa06,WHa07,vsini,e_vsini,Teff,e_Teff,logg,e_logg,loggP,Mass,e_Mass,Rad,e_Rad,Vc,SB?,Code,clean,umag,e_umag,gmag,e_gmag,Hamag,e_Hamag,rmag,e_rmag,imag,e_imag,W1mag,W2mag,W3mag,W4mag,Jmag,Hmag,Kmag,e_W1mag,e_W2mag,e_W3mag,e_W4mag,e_Jmag,e_Hmag,e_Kmag
189.7747917,-60.5366944,Trumpler 20,153,15.469,0.028,1.022,0.045,1.124,0.074,,,,,,,,,,,,,,,,,O,true,17.81,0.02,16.2,0.01,14.32,0.0,14.7,0.0,13.83,0.0,11.409,11.486,12.712,9.217,12.458,11.776,11.601,0.024,0.024,,,0.029,0.028,0.027
189.7774167,-60.6076944,Trumpler 20,531,15.172,0.028,1.479,0.048,1.515,0.07,,,,,,,,,,,,,,,,,O,false,19.22,0.04,16.22,0.01,13.6,0.0,14.09,0.0,12.94,0.01,9.677,9.815,9.633,8.788,11.078,10.178,9.861,0.023,0.02,0.041,,0.024,0.022,0.021
189.7784583,-60.6115,Trumpler 20,557,12.291,0.012,0.797,0.021,0.943,0.062,,,,,,,,,,,,,,,,,O,false,13.96,0.0,,,,,,,,,8.964,9.048,8.955,9.286,9.949,9.319,9.163,0.021,0.019,0.029,0.481,0.024,0.022,0.021
189.7797917,-60.5452222,Trumpler 20,184,13.315,0.015,1.027,0.026,1.146,0.063,,,,,,,,,,,,,,,,,O,false,16.16,0.01,14.1,0.0,12.17,0.0,12.54,0.0,,,9.317,9.448,9.287,8.85,10.39,9.671,9.454,0.023,0.021,0.033,0.346,0.024,0.024,0.021
189.7830417,-60.5327778,Trumpler 20,140,15.898,0.035,1.526,0.06,1.584,0.076,,,,,,,,,,,,,,,,,O,false,20.02,0.07,16.89,0.01,14.29,0.01,14.78,0.0,13.59,0.01,10.213,10.362,10.646,9.178,11.671,10.74,10.41,0.023,0.021,0.088,,0.024,0.024,0.021
189.7835417,-60.6681111,Trumpler 20,924,15.962,0.033,0.654,0.047,0.743,0.082,,,,,,,,,,,,,,,,,O,true,16.89,0.01,16.48,0.0,15.2,0.01,15.52,0.0,14.89,0.01,13.514,13.65,12.559,8.751,14.081,13.675,13.568,0.038,0.042,,,0.024,0.022,0.041
189.7938333,-60.4989444,Trumpler 20,31,13.207,0.015,0.89,0.025,1.016,0.063,,,,,,,,,,,,,,,,,O,false,15.42,0.01,13.89,0.0,12.18,0.01,12.52,0.0,,,9.627,9.729,9.586,9.154,10.659,10.01,9.807,0.023,0.02,0.043,0.437,0.032,0.032,0.027
189.7939583,-60.5196111,Trumpler 20,94,14.519,0.018,0.474,0.027,0.582,0.067,,,,,,,,,,,,,,,,,O,false,15.18,0.0,14.89,0.0,13.92,0.01,14.11,0.0,13.64,0.01,12.643,12.722,12.149,8.996,13.108,12.856,12.734,0.029,0.03,,,0.03,0.032,0.03
189.7965,-60.6146389,Trumpler 20,582,15.021,0.024,0.882,0.038,1.024,0.07,,,,,,,,,,,,,,,,,O,false,17.06,0.01,15.71,0.0,13.98,0.0,14.37,0.01,13.59,0.0,11.471,11.558,10.777,8.467,12.437,11.842,11.694,0.025,0.025,0.082,,0.036,0.034,0.027
189.7970417,-60.6529444,Trumpler 20,842,16.392,0.041,1.436,0.07,1.602,0.082,,,,,,,,,,,,,,,,,O,false,,,17.59,0.01,14.83,0.01,15.32,0.0,14.07,0.01,10.516,10.716,10.363,9.281,11.972,11.086,10.739,0.023,0.021,0.061,,0.026,0.028,0.025
189.8028333,-60.6971111,Trumpler 20,1086,14.204,0.018,0.903,0.029,1.021,0.066,,,,,,,,,,,,,,,,,O,false,16.16,0.05,,,13.16,0.01,,,,,10.711,10.783,10.655,8.889,11.586,11.043,10.862,0.024,0.021,0.137,,0.022,0.022,0.019
189.8030833,-60.65975,Trumpler 20,886,16.018,0.035,1.103,0.055,1.236,0.079,,,,,,,,,,,,,,,,,O,false,18.95,0.06,17.07,0.01,14.93,0.01,15.35,0.01,14.37,0.01,11.524,11.64,12.146,9.025,12.741,12.039,11.84,0.022,0.02,0.299,,0.022,0.021,0.021
189.8050417,-60.6220833,Trumpler 20,625,13.169,0.017,1.219,0.029,1.315,0.063,,,,,,,,,,,,,,,,,O,false,16.64,0.01,14.08,0.01,11.85,0.0,,,,,8.456,8.609,8.548,8.713,9.784,8.925,8.661,0.022,0.018,0.021,0.321,0.026,0.022,0.023
189.806125,-60.5739167,Trumpler 20,321,12.294,0.015,1.199,0.026,1.326,0.063,,,,,,,,,,,,,,,,,O,false,15.83,0.01,,,,,,,,,7.537,7.728,7.591,7.492,8.833,7.962,7.738,0.026,0.02,0.018,0.109,0.029,0.049,0.021
189.8106667,-60.6366944,Trumpler 20,738,15.922,0.033,0.541,0.046,0.605,0.084,,,,,,,,,,,,,,,,,O,false,16.74,0.01,16.31,0.0,15.24,0.01,15.51,0.01,14.94,0.01,13.935,15.323,12.883,9.191,14.251,13.999,13.879,0.031,0.094,,,0.021,0.03,0.06
189.8107917,-60.66975,Trumpler 20,939,15.844,0.031,0.564,0.044,0.756,0.08,,,,,,,,,,,,,,,,,O,false,16.61,0.01,16.31,0.0,15.09,0.01,15.42,0.01,14.79,0.01,13.321,13.595,13.022,9.31,14.044,13.622,13.577,0.035,0.03,,,0.029,0.028,0.05
189.8144167,-60.5238333,Trumpler 20,112,16.046,0.035,1.24,0.057,1.282,0.078,,,,,,,,,,,,,,,,,O,true,19.06,0.03,16.9,0.01,14.74,0.01,15.15,0.0,14.18,0.01,11.453,11.566,11.197,8.78,12.561,11.767,11.551,0.026,0.024,0.159,,0.022,0.021,0.025
189.8148333,-60.58425,Trumpler 20,389,12.825,0.013,0.873,0.023,1.021,0.062,,,,,,,,,,,,,,,,,O,false,15.01,0.0,13.48,0.01,11.82,0.0,,,,,9.498,9.605,9.571,9.047,10.371,9.777,9.614,0.023,0.02,0.038,,0.024,0.026,0.023
189.8165833,-60.5168056,Trumpler 20,88,13.693,0.017,1.045,0.028,1.152,0.064,,,,,,,,,,,,,,,,,O,false,16.49,0.01,14.47,0.01,12.54,0.0,12.91,0.0,,,9.663,9.773,9.766,8.827,10.713,10.015,9.774,0.024,0.022,0.061,,0.022,0.022,0.02
189.8182917,-60.6891667,Trumpler 20,1047,14.381,0.017,0.492,0.025,0.613,0.066,,,,,,,,,,,,,,,,,O,false,14.84,0.0,14.75,0.0,,,,,,,12.444,12.59,11.978,9.244,12.903,12.615,12.517,0.034,0.036,,,0.03,0.042,0.034
189.8198333,-60.6207222,Trumpler 20,619,15.134,0.023,0.483,0.033,0.682,0.071,,,,,,,,,,,,,,,,,O,false,15.82,0.01,,,14.53,0.0,14.78,0.0,14.23,0.01,12.839,13.047,12.287,9.21,13.493,13.151,13.095,0.035,0.047,0.29,,0.032,0.028,0.045
189.8205833,-60.5917222,Trumpler 20,442,14.533,0.02,0.877,0.031,1.005,0.066,,,,,,,,,,,,,,,,,O,false,16.56,0.01,15.2,0.0,,,,,,,11.093,11.216,12.831,9.146,11.98,11.392,11.246,0.023,0.022,0.489,,0.022,0.022,0.025
189.821625,-60.55175,Trumpler 20,213,16.201,0.037,1.231,0.06,1.36,0.08,,,,,,,,,,,,,,,,,O,false,19.45,0.05,17.09,0.01,14.86,0.01,15.29,0.0,14.31,0.0,11.402,11.536,12.494,9.088,12.692,11.917,11.643,0.025,0.024,,,0.026,0.03,0.023
189.8230417,-60.5598056,Trumpler 20,258,14.47,0.019,0.813,0.03,0.97,0.066,,,,,,,,,,,,,,,,,O,true,16.55,0.01,15.23,0.0,13.58,0.0,13.93,0.0,13.19,0.01,11.12,11.232,11.784,9.216,12.032,11.465,11.275,0.023,0.022,0.189,,0.026,0.021,0.021
189.8264583,-60.6844722,Trumpler 20,1016,14.947,0.023,0.916,0.037,1.027,0.07,,,,,,,,,,,,,,,,,O,false,16.93,0.01,15.62,0.01,13.9,0.01,14.26,0.0,13.49,0.01,11.53,11.657,12.459,9.145,12.334,11.74,11.59,0.027,0.025,,,0.022,0.028,0.023
189.8282917,-60.5817778,Trumpler 20,373,14.638,0.021,0.94,0.033,1.071,0.067,,,,,,,,,,,,,,,,,O,true,16.77,0.01,15.34,0.0,13.57,0.0,13.94,0.0,13.13,0.01,10.836,10.927,11.32,9.15,11.902,11.283,11.103,0.023,0.021,0.147,,0.03,0.032,0.025
189.8289167,-60.5528611,Trumpler 20,216,14.312,0.019,1.039,0.031,1.175,0.065,,,,,,,,,,,,,,,,,O,false,17.2,0.01,15.1,0.0,13.12,0.0,13.51,0.0,12.64,0.0,10.139,10.246,10.342,8.647,11.317,10.54,10.321,0.024,0.021,0.069,,0.026,0.022,0.021
189.8312917,-60.6961944,Trumpler 20,1080,16.493,0.061,1.628,0.106,1.689,0.101,,,,,,,,,,,,,,,,,O,false,20.73,0.13,17.62,0.02,14.77,0.01,15.27,0.0,13.97,0.0,10.329,10.424,10.384,9.326,11.809,10.792,10.536,0.023,0.02,0.184,,0.024,0.021,0.023
189.838875,-60.5390833,Trumpler 20,163,13.306,0.012,0.249,0.018,0.238,0.063,,,,,,,,,,,,,,,,,B,false,13.57,0.0,13.5,0.0,13.01,0.0,13.1,0.0,12.77,0.0,12.164,12.292,10.472,8.381,12.425,12.298,12.257,0.023,0.022,0.088,0.218,0.022,0.021,0.026
189.8394583,-60.5913333,Trumpler 20,439,14.183,0.017,0.741,0.027,0.871,0.065,,,,,,,,,,,,,,,,,O,false,15.54,0.0,14.74,0.0,13.3,0.0,13.61,0.0,12.92,0.01,11.15,11.256,12.542,9.37,11.93,11.365,11.212,0.025,0.024,0.462,,0.022,0.021,0.023
189.84375,-60.6270556,Trumpler 20,662,12.233,0.01,0.545,0.017,0.669,0.062,,,,,,,,,,,,,,,,,O,false,12.98,0.0,,,,,,,,,10.125,10.163,10.055,9.078,10.682,10.348,10.277,0.024,0.022,0.053,0.464,0.024,0.022,0.02
189.8492083,-60.6348611,Trumpler 20,725,14.738,0.021,0.797,0.033,0.941,0.067,,,,,,,,,,,,,,,,,O,true,16.28,0.01,15.33,0.0,13.77,0.0,14.12,0.0,13.38,0.01,11.422,11.573,12.161,9.335,12.268,11.721,11.576,0.027,0.026,0.308,,0.022,0.024,0.025
189.8521667,-60.5933333,Trumpler 20,454,13.706,0.017,1.032,0.029,1.12,0.064,,,,,,,,,,,,,,,,,O,false,16.42,0.01,14.48,0.01,12.57,0.0,12.95,0.0,,,9.762,9.899,9.894,9.315,10.785,10.097,9.915,0.022,0.02,0.043,,0.024,0.024,0.025
189.859625,-60.689,Trumpler 20,1045,15.023,0.024,0.895,0.038,1.035,0.07,,,,,,,,,,,,,,,,,O,false,17.12,0.01,15.79,0.01,14.02,0.0,14.41,0.0,13.61,0.01,11.366,11.52,11.333,8.765,12.374,11.77,11.625,0.022,0.022,0.216,,0.022,0.021,0.024
189.8599583,-60.6726944,Trumpler 20,950,14.924,0.023,0.913,0.037,1.04,0.069,,,,,,,,,,,,,,,,,O,false,16.93,0.01,15.61,0.01,13.89,0.0,14.25,0.0,13.47,0.0,11.431,11.57,11.374,9.364,12.281,11.684,11.505,0.024,0.02,,,0.022,0.022,0.019
189.8625417,-60.6014444,Trumpler 20,505,14.608,0.02,0.921,0.032,1.023,0.066,,,,,,,,,,,,,,,,,O,true,16.74,0.01,15.29,0.01,13.58,0.0,13.94,0.0,13.17,0.0,11.107,11.299,10.933,9.133,12.025,11.387,11.271,0.022,0.019,0.116,0.444,0.024,0.024,0.025
189.864,-60.5883333,Trumpler 20,413,12.712,0.012,0.655,0.02,0.795,0.062,,,,,,,,,,,,,,,,,O,false,13.84,0.0,,,11.89,0.0,,,,,9.903,9.978,9.956,9.206,10.667,10.166,10.002,0.023,0.021,0.048,,0.022,0.022,0.02
189.8643333,-60.6766111,Trumpler 20,970,13.895,0.016,0.814,0.026,0.962,0.064,,,,,,,,,,,,,,,,,O,false,15.55,0.01,14.56,0.0,12.97,0.0,13.32,0.0,12.57,0.0,10.569,10.685,10.384,8.653,11.476,10.914,10.753,0.023,0.02,0.129,,0.027,0.026,0.023
189.8675833,-60.5639444,Trumpler 20,282,13.796,0.017,0.965,0.028,1.075,0.064,,,,,,,,,,,,,,,,,O,false,16.09,0.01,14.51,0.01,12.7,0.0,13.08,0.0,12.27,0.0,9.959,10.095,10.14,9.301,11.035,10.386,10.199,0.02,0.019,0.058,,0.024,0.024,0.025
189.8687083,-60.6965833,Trumpler 20,1085,16.413,0.041,1.238,0.066,1.37,0.085,,,,,,,,,,,,,,,,,O,false,,,,,15.0,0.01,15.46,0.0,14.58,0.09,11.436,11.576,10.635,9.257,12.698,11.931,11.699,0.023,0.021,0.088,0.487,0.024,0.022,0.026
189.8691667,-60.6814722,Trumpler 20,997,13.546,0.016,1.016,0.027,1.14,0.063,,,,,,,,,,,,,,,,,O,false,16.08,0.01,14.32,0.01,12.4,0.0,12.8,0.01,,,9.55,9.677,9.616,8.606,10.605,9.904,9.711,0.023,0.021,0.055,,0.022,0.026,0.021
189.8735833,-60.6080556,Trumpler 20,535,13.262,0.016,1.062,0.027,1.164,0.063,,,,,,,,,,,,,,,,,O,false,16.2,0.01,14.06,0.01,12.09,0.0,,,,,9.18,9.317,9.255,8.514,10.249,9.532,9.33,0.023,0.02,0.038,,0.024,0.024,0.025
189.8783333,-60.62975,Trumpler 20,685,14.616,0.02,0.86,0.032,1.022,0.067,,,,,,,,,,,,,,,,,O,false,16.56,0.01,15.26,0.0,13.59,0.0,13.96,0.0,13.2,0.0,11.196,11.32,11.815,9.294,12.046,11.481,11.33,0.028,0.024,0.244,,0.021,0.024,0.025
189.8814583,-60.6828889,Trumpler 20,1006,14.039,0.018,1.021,0.03,1.132,0.065,,,,,,,,,,,,,,,,,O,false,16.62,0.01,14.79,0.01,12.9,0.0,13.29,0.01,12.44,0.01,10.109,10.214,10.006,8.944,11.11,10.431,10.264,0.023,0.022,0.062,,0.024,0.022,0.019
189.882,-60.6172222,Trumpler 20,597,16.066,0.036,1.19,0.058,1.317,0.08,,,,,,,,,,,,,,,,,O,true,19.13,0.04,16.91,0.01,14.72,0.0,15.15,0.0,14.16,0.0,11.44,11.646,12.967,9.202,12.571,11.79,11.563,0.026,0.027,,,0.029,0.024,0.026
189.89075,-60.60025,Trumpler 20,495,13.815,0.014,0.294,0.021,0.304,0.065,,,,,,,,,,,,,,,,,O,true,14.26,0.0,14.05,0.0,13.49,0.0,13.59,0.0,13.23,0.0,12.506,12.77,12.031,9.202,12.864,12.751,12.706,0.032,0.026,,,0.032,0.053,0.042
189.8910833,-60.6343889,Trumpler 20,720,14.033,0.018,1.014,0.03,1.114,0.065,,,,,,,,,,,,,,,,,O,false,16.85,0.01,14.81,0.01,12.91,0.0,13.3,0.0,12.49,0.0,10.164,10.295,10.313,9.249,11.225,10.551,10.336,0.023,0.02,0.068,,0.026,0.022,0.021
189.8990833,-60.6858611,Trumpler 20,1025,12.763,0.017,1.351,0.029,1.537,0.063,,,,,,,,,,,,,,,,,O,false,16.2,0.01,13.69,0.01,,,,,,,7.073,7.252,7.044,6.829,8.502,7.59,7.218,0.039,0.019,0.016,0.068,0.03,0.031,0.016
189.9072083,-60.6005833,Trumpler 20,496,14.936,0.023,0.855,0.036,1.011,0.07,,,,,,,,,,,,,,,,,O,true,16.75,0.01,15.64,0.0,13.96,0.0,14.33,0.0,13.57,0.01,11.547,11.687,11.106,8.856,12.382,11.823,11.635,0.023,0.021,0.144,0.369,0.023,0.025,0.025
189.9089167,-60.6326667,Trumpler 20,704,13.93,0.017,0.85,0.027,0.984,0.064,,,,,,,,,,,,,,,,,O,false,15.65,0.01,14.57,0.01,12.95,0.0,13.31,0.0,12.56,0.0,10.543,10.634,11.481,9.191,11.424,10.924,10.722,0.023,0.02,0.2,,0.026,0.037,0.032
189.9093333,-60.6679722,Trumpler 20,926,13.111,0.015,1.074,0.026,1.173,0.063,,,,,,,,,,,,,,,,,O,false,15.55,0.01,,,,,,,11.85,0.01,8.903,9.032,8.796,8.617,10.016,9.292,9.057,0.022,0.019,0.032,0.333,0.021,0.022,0.02
189.916625,-60.6193333,Trumpler 20,609,14.856,0.022,0.842,0.035,1.002,0.069,,,,,,,,,,,,,,,,,O,false,16.83,0.01,15.49,0.0,13.92,0.01,14.21,0.01,13.45,0.01,11.516,11.686,12.513,9.254,12.348,11.736,11.612,0.023,0.021,,,0.026,0.023,0.023
189.9187917,-60.6834722,Trumpler 20,1010,14.717,0.021,0.928,0.033,1.036,0.067,,,,,,,,,,,,,,,,,O,false,16.8,0.01,15.42,0.01,13.68,0.01,14.05,0.0,13.25,0.0,11.089,11.215,10.637,8.83,12.048,11.438,11.265,0.024,0.024,0.071,,0.027,0.025,0.023
189.9199583,-60.559,Trumpler 20,254,14.385,0.019,0.921,0.031,1.044,0.066,,,,,,,,,,,,,,,,,O,false,16.65,0.01,15.05,0.0,13.41,0.0,13.7,0.01,12.93,0.0,10.788,10.887,10.968,9.049,11.758,11.125,10.942,0.023,0.023,0.113,,0.023,0.023,0.021
189.9200417,-60.6077778,Trumpler 20,533,14.634,0.021,0.943,0.033,1.081,0.066,,,,,,,,,,,,,,,,,O,false,17.05,0.01,15.33,0.0,13.61,0.0,13.91,0.0,13.1,0.01,10.844,11.014,10.351,8.463,11.842,11.19,11.022,0.026,0.025,0.068,0.264,0.024,0.023,0.028
189.9217917,-60.6677778,Trumpler 20,923,14.963,0.024,0.934,0.038,1.042,0.07,,,,,,,,,,,,,,,,,O,false,17.0,0.01,15.64,0.0,13.98,0.01,14.28,0.01,13.47,0.01,11.387,11.472,11.578,9.25,12.283,11.679,11.523,0.036,0.036,0.212,,0.023,0.023,0.021
189.9242917,-60.5053889,Trumpler 20,56,12.716,0.012,0.476,0.018,0.599,0.062,,,,,,,,,,,,,,,,,O,false,13.26,0.01,,,12.1,0.0,,,,,10.879,10.924,11.227,9.015,11.279,11.015,10.894,0.023,0.02,0.157,,0.021,0.025,0.021
189.926875,-60.6078056,Trumpler 20,534,15.67,0.031,1.392,0.052,1.451,0.074,,,,,,,,,,,,,,,,,O,true,19.41,0.04,16.57,0.01,14.23,0.0,14.63,0.0,13.54,0.0,10.517,10.727,10.237,9.164,11.75,10.903,10.624,0.024,0.022,0.065,0.499,0.023,0.022,0.021
189.9290833,-60.6006111,Trumpler 20,498,14.791,0.022,0.91,0.036,1.019,0.069,,,,,,,,,,,,,,,,,O,true,16.93,0.01,15.44,0.0,13.81,0.0,14.11,0.0,13.33,0.0,11.194,11.35,10.866,8.669,12.199,11.544,11.479,0.024,0.023,0.099,0.348,0.03,0.028,
189.9332917,-60.5563056,Trumpler 20,237,12.319,0.016,1.324,0.028,1.467,0.063,,,,,,,,,,,,,,,,,O,false,16.04,0.01,,,,,,,,,6.846,7.101,6.938,6.824,8.347,7.44,7.149,0.041,0.02,0.016,0.075,0.02,0.021,0.021
189.9345833,-60.5949444,Trumpler 20,461,12.282,0.013,0.98,0.023,1.086,0.062,,,,,,,,,,,,,,,,,O,false,14.88,0.0,13.01,0.0,,,,,,,8.486,8.602,8.539,8.762,9.524,8.816,8.617,0.022,0.02,0.024,0.383,0.024,0.023,0.02
189.9384167,-60.5812778,Trumpler 20,370,14.063,0.017,0.777,0.027,0.917,0.064,,,,,,,,,,,,,,,,,O,false,15.88,0.01,14.76,0.0,13.3,0.0,13.57,0.0,12.87,0.01,10.939,11.09,10.682,8.855,11.793,11.254,11.091,0.022,0.022,0.089,0.407,0.024,0.025,0.023
189.94,-60.6663889,Trumpler 20,916,14.043,0.018,1.094,0.031,1.205,0.065,,,,,,,,,,,,,,,,,O,false,17.0,0.01,14.9,0.01,12.85,0.01,13.27,0.0,12.36,0.0,9.673,9.756,9.724,9.054,10.884,10.147,9.921,0.022,0.02,0.045,,0.026,0.025,0.023
189.9414583,-60.6441389,Trumpler 20,791,14.624,0.02,0.887,0.032,1.037,0.067,,,,,,,,,,,,,,,,,O,false,16.66,0.01,15.3,0.01,13.59,0.01,13.96,0.0,13.19,0.01,11.084,11.211,11.783,8.931,11.973,11.382,11.213,0.026,0.025,0.332,,0.023,0.023,0.023
189.9415833,-60.6283889,Trumpler 20,675,13.662,0.017,1.046,0.029,1.14,0.064,,,,,,,,,,,,,,,,,O,false,16.4,0.01,14.44,0.0,12.5,0.0,12.9,0.0,,,9.582,9.697,9.504,8.519,10.691,9.998,9.817,0.022,0.019,0.044,0.354,0.021,0.023,0.021
189.943125,-60.5885833,Trumpler 20,416,15.426,0.027,0.528,0.038,0.707,0.076,,,,,,,,,,,,,,,,,O,true,16.11,0.01,15.83,0.0,14.79,0.01,14.98,0.0,14.39,0.0,13.029,13.222,12.61,8.929,13.672,13.442,13.267,0.033,0.042,,,0.03,0.037,0.04
189.9465,-60.6828611,Trumpler 20,1008,14.045,0.017,1.029,0.029,1.144,0.064,,,,,,,,,,,,,,,,,O,false,16.69,0.01,14.84,0.01,12.9,0.01,13.3,0.01,12.43,0.0,10.067,10.167,10.063,9.206,11.056,10.374,10.161,0.023,0.021,0.063,,0.021,0.022,0.02
189.9505,-60.5982778,Trumpler 20,482,16.068,0.037,1.577,0.065,1.678,0.077,,,,,,,,,,,,,,,,,O,true,20.43,0.09,17.18,0.01,14.45,0.0,14.91,0.0,13.56,0.0,9.84,9.99,10.206,9.262,11.4,10.383,10.056,0.022,0.02,0.07,,0.024,0.023,0.023
189.9506667,-60.5618889,Trumpler 20,266,13.805,0.018,1.244,0.031,1.371,0.064,,,,,,,,,,,,,,,,,O,false,17.37,0.01,14.73,0.01,12.42,0.0,12.89,0.0,,,8.873,9.022,8.96,9.323,10.198,9.332,9.046,0.022,0.02,0.026,,0.023,0.023,0.02
189.9517917,-60.6282778,Trumpler 20,674,14.975,0.025,1.298,0.043,1.395,0.069,,,,,,,,,,,,,,,,,O,false,18.62,0.03,15.92,0.01,13.64,0.0,14.02,0.0,12.97,0.0,10.014,10.162,9.881,8.349,11.314,10.442,10.178,0.023,0.021,0.059,,0.023,0.022,0.021
189.955625,-60.6018056,Trumpler 20,506,16.034,0.034,0.918,0.052,1.009,0.081,,,,,,,,,,,,,,,,,O,true,18.06,0.02,16.67,0.0,15.09,0.0,15.37,0.0,14.62,0.01,12.604,12.842,12.902,9.059,13.557,13.069,12.935,0.026,0.03,,,0.033,0.043,
189.9560417,-60.6193056,Trumpler 20,610,13.085,0.016,1.19,0.028,1.295,0.063,,,,,,,,,,,,,,,,,O,false,16.56,0.01,14.01,0.01,11.77,0.0,,,,,8.488,8.641,8.523,8.316,9.744,8.877,8.642,0.023,0.019,0.026,0.242,0.023,0.022,0.021
189.9577083,-60.6095,Trumpler 20,545,15.013,0.025,1.259,0.043,1.403,0.069,,,,,,,,,,,,,,,,,O,true,18.54,0.03,15.98,0.0,13.7,0.0,14.09,0.0,13.0,0.0,9.898,10.033,10.194,9.271,11.306,10.367,10.086,0.022,0.019,0.061,,0.024,0.022,0.02
189.9589167,-60.4988889,Trumpler 20,33,16.541,0.042,0.991,0.064,1.064,0.09,,,,,,,,,,,,,,,,,O,false,18.92,0.03,17.25,0.01,15.47,0.0,15.83,0.01,15.05,0.01,12.948,13.117,11.828,8.756,13.855,13.214,13.041,0.042,0.046,0.212,,0.037,0.041,0.038
189.9639167,-60.5790556,Trumpler 20,355,12.072,0.01,0.188,0.016,0.245,0.062,,,,,,,,,,,,,,,,,B,false,12.24,0.0,,,11.82,0.0,,,,,11.187,11.317,10.84,8.372,11.361,11.332,11.26,0.023,0.022,0.095,,0.023,0.025,0.026
189.9661667,-60.6889444,Trumpler 20,1048,16.1,0.05,0.583,0.07,0.708,0.106,,,,,,,,,,,,,,,,,O,false,17.33,0.03,,,,,,,,,13.756,14.125,11.486,8.506,14.373,14.102,13.912,0.054,0.074,0.186,,0.032,0.05,0.067
189.9675833,-60.6078889,Trumpler 20,536,13.658,0.018,1.284,0.032,1.471,0.064,,,,,,,,,,,,,,,,,O,false,17.34,0.01,14.6,0.01,12.17,0.01,12.71,0.0,,,8.417,8.597,8.445,8.5,9.75,8.863,8.557,0.022,0.019,0.025,0.309,0.023,0.022,0.021
189.968375,-60.5096667,Trumpler 20,73,14.735,0.023,1.117,0.038,1.239,0.068,,,,,,,,,,,,,,,,,O,false,17.66,0.02,15.53,0.01,13.54,0.0,13.88,0.01,12.94,0.01,10.334,10.416,10.258,9.16,11.465,10.677,10.432,0.037,0.035,0.084,0.501,0.024,0.029,0.025
189.9719167,-60.6222778,Trumpler 20,630,15.244,0.031,1.915,0.058,2.203,0.07,,,,,,,,,,,,,,,,,O,false,18.35,0.02,16.07,0.01,13.12,0.01,13.89,0.01,,,6.396,6.622,6.394,6.189,8.198,7.129,6.682,0.029,0.019,0.016,0.054,0.02,0.038,0.017
189.97325,-60.6273056,Trumpler 20,668,13.469,0.015,0.953,0.025,1.07,0.063,,,,,,,,,,,,,,,,,O,false,15.86,0.0,14.19,0.0,12.46,0.0,,,11.95,0.0,9.63,9.691,9.543,8.808,10.7,10.05,9.852,0.022,0.019,0.041,0.476,0.023,0.023,0.02
189.9734583,-60.69525,Trumpler 20,1073,14.714,0.022,1.019,0.036,1.134,0.068,,,,,,,,,,,,,,,,,O,false,17.49,0.01,15.53,0.01,13.65,0.0,13.97,0.01,13.14,0.01,10.832,10.971,10.826,8.976,11.845,11.156,10.989,0.023,0.022,0.094,,0.021,0.023,0.021
189.9745833,-60.4999167,Trumpler 20,35,16.439,0.041,1.187,0.065,1.344,0.084,,,,,,,,,,,,,,,,,O,false,19.8,0.06,17.31,0.01,15.16,0.0,15.54,0.01,14.53,0.01,11.714,11.847,10.897,9.097,12.88,12.085,11.79,0.026,0.025,0.1,,0.023,0.026,0.021
189.9749583,-60.5353889,Trumpler 20,151,13.8,0.014,0.497,0.022,0.641,0.064,,,,,,,,,,,,,,,,,O,false,14.31,0.01,14.16,0.0,13.2,0.0,13.37,0.01,12.85,0.0,11.827,11.897,12.993,9.334,12.243,11.942,11.832,0.024,0.025,,,0.023,0.023,0.021
189.9750833,-60.5713889,Trumpler 20,314,15.651,0.028,0.63,0.041,0.673,0.077,,,,,,,,,,,,,,,,,O,true,16.48,0.01,16.09,0.0,15.01,0.0,15.21,0.0,14.61,0.0,13.56,14.188,12.788,9.12,13.91,13.593,13.421,0.038,0.057,,,0.026,0.036,0.05
189.9760833,-60.6435833,Trumpler 20,787,14.689,0.02,0.899,0.032,1.041,0.066,,,,,,,,,,,,,,,,,O,false,16.8,0.01,15.36,0.01,13.73,0.0,14.02,0.0,13.24,0.0,11.187,11.274,12.389,9.089,12.089,11.439,11.291,0.024,0.021,0.359,,0.023,0.023,0.021
189.9765,-60.6488611,Trumpler 20,816,13.454,0.015,0.854,0.025,0.989,0.063,,,,,,,,,,,,,,,,,O,false,15.35,0.0,14.09,0.0,12.54,0.0,,,12.07,0.0,10.113,10.181,10.088,8.947,10.972,10.431,10.28,0.023,0.021,0.052,,0.024,0.025,0.026
189.981625,-60.5501389,Trumpler 20,207,14.738,0.021,0.864,0.033,0.978,0.067,,,,,,,,,,,,,,,,,O,false,16.69,0.01,15.46,0.0,13.9,0.0,14.18,0.01,13.42,0.0,11.416,11.529,11.177,9.114,12.272,11.681,11.492,0.024,0.024,0.141,,0.024,0.025,0.023
189.98275,-60.5423056,Trumpler 20,176,15.13,0.025,0.921,0.039,1.067,0.071,,,,,,,,,,,,,,,,,O,false,17.38,0.01,15.83,0.0,14.13,0.0,14.42,0.01,13.61,0.0,11.383,11.495,11.205,8.717,12.37,11.678,11.509,0.023,0.023,0.117,,0.024,0.026,0.021
