,umag,gmag,rmag,imag,Hamag,Jmag,Hmag,Kmag,umag_gmag_rmag_imag,umag_gmag_rmag_Hamag,umag_gmag_imag_Hamag,umag_rmag_imag_Hamag,gmag_rmag_imag_Hamag,outlier_columns,ID,h,w1_err,e_Jmag,w1,Halpha_type,e_Kmag,e_gmag,e_rmag,e_umag,e_Hamag,e_imag,Fe_type,objtype_SIMBAD,k,e_Hmag,DEJ2000,h_err,k_err,RAJ2000,objtype_Hou
596,14.949,15.176,13.06,12.86,12.93,12.641,12.6,12.547,-0.5903333333333355,-1.0605294117647115,-0.4044418604651172,1.5503953488372075,1.9548372093023247,umag_gmag_rmag_imag,J064958.38+111213.7,12.6,0.024,0.026,12.533,VI,0.03,0.01,0.0,0.005,0.0,0.0,,,12.547,0.026,11.20382,0.026,0.03,102.49329,CBe
629,24.651,14.845,14.63,13.68,14.19,12.102,11.286,11.082,8.080166666666663,6.984823529411755,8.513209302325581,7.554023255813955,-0.9591860465116269,umag_gmag_rmag_imag,J055222.83+204152.3,11.286,0.062,0.026,10.898,VI,0.044,0.004,0.0,40.354,0.0,0.0,,,11.082,0.03,20.697878,0.03,0.044,88.095161,CBe
683,21.713,21.633,17.7,15.2,17.0,11.054,9.331,8.658,-4.461666666666663,-4.408235294117642,-4.4827906976744165,-4.693976744186044,-0.2111860465116271,umag_gmag_rmag_imag,J064108.31+102408.1,9.331,0.023,0.022,8.268,II,0.023,0.047,0.01,0.133,0.01,0.0,,,8.658,0.024,10.402258,0.024,0.023,100.28466,HII-region
694,15.274,16.722,13.35,13.11,13.26,12.848,12.749,12.681,-1.8840000000000026,-2.025058823529413,-1.8282325581395378,1.198418604651161,3.0266511627906985,umag_gmag_rmag_imag,J064812.93+102409.2,12.749,0.024,0.028,12.614,II,0.027,0.016,0.0,0.006,0.0,0.0,,,12.681,0.025,10.402571,0.025,0.027,102.05389,HII-region
697,15.54,19.171,13.73,13.31,13.49,12.764,12.508,12.452,-4.394,-5.169823529411767,-4.087279069767441,0.9393023255813959,5.026581395348837,umag_gmag_rmag_imag,J064601.57+112446.1,12.508,0.024,0.023,12.343,II,0.026,0.025,0.0,0.005,0.0,0.0,,,12.452,0.027,11.412815,0.027,0.026,101.50655,HII-region
707,20.946,15.032,13.62,13.16,13.36,12.638,12.272,12.247,5.078333333333337,4.246941176470591,5.407023255813957,6.35855813953489,0.951534883720933,umag_gmag_rmag_imag,J064059.21+101929.0,12.272,0.023,0.023,12.182,II,0.027,0.006,0.0,0.175,0.0,0.0,,,12.247,0.023,10.324742,0.023,0.027,100.24671,HII-region
717,16.061,16.273,13.45,13.0,13.23,12.29,12.074,11.989,-1.0294999999999983,-1.6225882352941106,-0.795023255813954,1.4984418604651155,2.2934651162790693,umag_gmag_rmag_imag,J064427.62+085501.7,12.074,0.023,0.023,11.918,II,0.026,0.014,0.0,0.007,0.0,0.0,,,11.989,0.022,8.9171651,0.022,0.026,101.11509,HII-region
721,15.069,15.314,12.96,12.61,12.78,12.203,12.064,11.987,-0.880833333333335,-1.3991176470588327,-0.6759302325581383,1.286674418604652,1.9626046511627901,umag_gmag_rmag_imag,J064807.89+095301.7,12.064,0.024,0.023,11.958,II,0.021,0.012,0.0,0.006,0.0,0.0,,,11.987,0.027,9.883824,0.027,0.021,102.03289,HII-region
738,16.391,16.532,13.75,13.28,13.59,12.563,12.398,12.281,-0.9948333333333361,-1.1668823529411796,-0.9268139534883747,1.1414651162790665,2.068279069767441,umag_gmag_rmag_imag,J064158.02+102828.4,12.398,0.024,0.023,12.176,II,0.026,0.025,0.0,0.009,0.0,0.0,,,12.281,0.027,10.474559,0.027,0.026,100.49176,HII-region
741,15.411,17.19,13.81,13.55,13.71,13.161,13.036,12.941,-2.2513333333333345,-2.4201764705882347,-2.184581395348839,0.8270465116279059,3.0116279069767447,umag_gmag_rmag_imag,J064615.04+113136.2,13.036,0.025,0.025,12.929,II,0.035,0.015,0.0,0.005,0.0,0.0,,,12.941,0.03,11.526735,0.03,0.035,101.56268,HII-region
