,umag,gmag,rmag,imag,Hamag,Jmag,Hmag,Kmag,umag_gmag_rmag_imag,umag_gmag_rmag_Hamag,umag_gmag_imag_Hamag,umag_rmag_imag_Hamag,gmag_rmag_imag_Hamag,outlier_columns,DEJ2000,r2mag,logTeff,A0,chi2,VPHAS-OB1,Rv,mu,RAJ2000,goodOB,EM,SUB,LUM
1105,13.956,14.022,12.83,12.19,12.16,10.812,10.402,10.038,-1.2286666666666681,-4.361882352941178,0.010046511627904597,1.2711162790697637,1.2610697674418592,umag_gmag_rmag_imag,-58.656141,12.854,4.358,4.519,7.38,2832,4.369,10.98,158.24211,1,1,0,0
1120,14.979,14.243,12.437,11.366,11.68,9.488,8.925,8.498,-1.2096500000000001,-4.117705882352942,-0.05995348837209391,1.0231162790697679,1.0830697674418617,umag_gmag_rmag_imag,-58.818031,12.286,4.316,6.007,6.16,2881,3.785,8.94,158.143987,1,1,0,1
1326,19.804,19.487,18.003,17.187,17.043,15.477,15.003,14.755,-1.1653999999999975,-5.838294117647066,0.6820232558139583,2.497558139534891,1.8155348837209326,umag_gmag_rmag_imag,-58.658566,17.979,4.339,5.244,1.13,3491,4.055,15.36,159.178528,1,1,0,0
1337,19.709,19.393,17.92,17.066,16.967,15.229,14.661,14.34,-1.235433333333339,-5.794411764705904,0.5669534883720924,2.2678837209302314,1.7009302325581388,umag_gmag_rmag_imag,-58.557411,17.889,4.313,5.547,0.29,3521,4.391,14.71,159.327987,1,1,0,0
1338,20.324,19.996,18.106,17.047,16.69,15.032,14.222,13.954,-1.5958499999999984,-8.751058823529414,1.2329534883720938,3.9448837209302283,2.7119302325581347,umag_gmag_rmag_imag,-58.544154,18.09,4.56,6.737,4.91,3523,4.073,16.69,159.34289,1,1,1,0
1343,16.28,16.386,15.166,14.526,14.524,13.484,13.144,12.949,-1.2686666666666655,-4.222352941176478,-0.10093023255813593,1.1236744186046552,1.224604651162791,umag_gmag_rmag_imag,-59.420522,15.208,4.508,4.034,1.26,3531,3.489,15.47,158.380448,1,1,0,0
1403,20.097,19.655,17.912,16.923,17.098,14.937,14.352,13.959,-1.3546833333333341,-4.777176470588238,-0.0016046511627921256,1.3384883720930225,1.3400930232558146,umag_gmag_rmag_imag,-58.67767,17.98,4.427,6.241,0.49,3731,4.07,15.35,159.486051,1,1,0,0
1425,15.745,15.695,14.396,13.659,13.637,12.116,11.636,11.187,-1.2888833333333343,-4.81652941176471,0.10576744186046463,1.4554186046511624,1.3496511627906977,umag_gmag_rmag_imag,-58.615755,14.407,4.35,5.028,7.37,3789,4.475,12.0,159.661505,1,1,0,0
1437,17.747,17.446,15.955,15.127,15.227,13.781,13.349,13.02,-1.2032,-4.366764705882354,0.04751162790697616,1.3082790697674436,1.2607674418604675,umag_gmag_rmag_imag,-60.44016,15.964,4.395,4.807,4.25,3825,3.546,14.32,157.641586,1,1,0,0
1440,13.961,14.465,13.803,13.402,13.179,12.489,12.117,11.872,-1.2324833333333356,-4.5049411764705924,0.061279069767439465,1.2366976744185985,1.1754186046511592,umag_gmag_rmag_imag,-60.972723,13.784,4.332,3.275,4.49,3829,5.239,12.68,156.990218,1,1,0,0
1490,20.304,19.967,18.364,17.524,17.733,15.696,15.214,14.914,-1.1889999999999996,-3.7088235294117675,-0.1927906976744177,0.9290232558139537,1.1218139534883713,umag_gmag_rmag_imag,-58.788374,18.353,4.374,5.568,2.51,4020,4.033,15.83,159.837,1,1,1,0
1499,19.711,19.505,18.073,17.307,17.37,15.82,15.15,14.697,-1.18556666666667,-4.301470588235293,0.04630232558138889,1.3332558139534751,1.2869534883720861,umag_gmag_rmag_imag,-58.554515,18.016,4.349,5.125,6.37,4052,4.15,15.64,160.127856,1,1,1,0
1501,20.114,19.909,18.088,17.127,17.2,14.816,14.208,13.748,-1.540816666666668,-5.48864705882354,0.019953488372093958,1.6728837209302307,1.6529302325581368,umag_gmag_rmag_imag,-58.709342,18.038,4.517,6.879,7.68,4057,4.47,15.99,159.9793,1,1,1,0
1511,20.172,19.549,17.833,17.032,17.012,15.41,14.917,14.624,-0.8321499999999955,-4.6410588235293995,0.6736976744186046,2.4357441860465117,1.7620465116279072,umag_gmag_rmag_imag,-58.533109,17.845,4.296,5.063,5.5,4089,3.49,15.06,160.209259,1,1,0,0
1515,19.967,19.525,17.937,17.128,17.141,15.457,14.821,14.768,-1.0276833333333346,-4.661764705882373,0.40904651162791195,1.967116279069774,1.5580697674418622,umag_gmag_rmag_imag,-58.739538,17.938,4.311,5.26,5.97,4114,3.901,15.05,160.033846,1,1,0,0
1527,18.61,18.467,17.141,16.503,16.516,15.274,14.846,14.47,-1.016033333333329,-3.864352941176471,0.11004651162791243,1.4061162790697777,1.2960697674418653,umag_gmag_rmag_imag,-58.749223,17.13,4.344,4.261,4.97,4151,3.682,15.46,160.067505,1,1,0,0
1531,20.208,19.795,18.155,17.292,17.334,15.53,15.12,14.856,-1.1547833333333355,-4.851058823529426,0.30653488372093196,1.8498372093023325,1.5433023255814005,umag_gmag_rmag_imag,-58.682745,18.139,4.396,5.446,2.03,4189,3.769,15.98,160.194437,1,1,0,0
1574,19.993,19.613,18.153,17.416,17.377,16.036,15.576,15.262,-0.9588833333333309,-4.595529411764708,0.4788604651162818,2.0286511627907045,1.549790697674423,umag_gmag_rmag_imag,-58.831179,18.144,4.31,4.575,1.75,4325,3.606,15.86,160.220829,1,1,0,0
