,umag,gmag,rmag,imag,Hamag,Jmag,Hmag,Kmag,umag_gmag_rmag_imag,umag_gmag_rmag_Hamag,umag_gmag_imag_Hamag,umag_rmag_imag_Hamag,gmag_rmag_imag_Hamag,outlier_columns,DEJ2000,r2mag,logTeff,A0,chi2,VPHAS-OB1,Rv,mu,RAJ2000,goodOB,EM,SUB,LUM
2056,20.243,19.905,18.403,17.456,17.482,15.516,14.791,14.492,-1.382383333333334,-5.567235294117648,0.2720930232558119,1.714232558139536,1.4421395348837238,umag_gmag_rmag_imag,-59.693408,18.38,4.381,6.08,0.96,5920,4.561,15.38,160.985387,1,1,1,0
2061,20.349,19.837,18.105,17.063,17.332,15.041,14.326,14.07,-1.3809666666666687,-4.444294117647058,-0.16988372093023663,0.94279069767441,1.1126744186046464,umag_gmag_rmag_imag,-59.723215,18.098,4.454,6.447,1.62,5932,4.133,15.63,160.961536,1,1,0,0
2067,18.696,18.525,17.228,16.543,16.485,15.174,14.746,14.43,-1.0734166666666676,-4.5929411764706005,0.3180232558139559,1.7485581395348828,1.4305348837209269,umag_gmag_rmag_imag,-59.584002,17.24,4.319,4.457,1.46,5942,3.928,15.08,161.119149,1,1,0,0
2074,19.647,19.424,17.711,16.637,17.203,14.653,13.815,13.542,-1.728099999999997,-3.034176470588232,-1.2117441860465092,-0.8018604651162722,0.4098837209302366,umag_gmag_rmag_imag,-59.67037,17.603,4.579,6.67,5.14,5956,4.324,16.5,161.044946,1,0,1,0
2083,19.721,19.258,17.709,16.843,17.973,15.465,14.887,14.567,-1.1102333333333314,2.1557058823529385,-2.401418604651158,-3.454046511627898,-1.052627906976741,umag_gmag_rmag_imag,-59.580334,17.724,4.357,4.971,2.92,5983,3.557,15.55,161.163586,1,0,0,0
2088,19.877,19.634,17.963,17.005,17.244,15.138,14.385,14.193,-1.4973666666666712,-4.3670588235294225,-0.36283720930232866,0.7579069767441811,1.1207441860465095,umag_gmag_rmag_imag,-59.828181,17.861,4.513,6.205,4.9,6002,4.177,16.4,160.919175,1,1,1,0
2101,20.164,19.559,17.9,16.909,16.938,15.038,14.4,14.062,-1.1953166666666653,-5.5631176470588235,0.5314883720930239,2.1237209302325617,1.5922325581395376,umag_gmag_rmag_imag,-59.242773,17.869,4.299,5.849,0.65,6037,4.047,14.32,161.558508,1,1,0,0
2104,19.278,19.247,17.681,16.701,16.805,14.53,13.904,13.582,-1.749333333333335,-5.585705882352952,-0.23262790697674324,1.0939302325581415,1.3265581395348847,umag_gmag_rmag_imag,-59.858255,17.654,4.572,6.582,3.08,6054,4.689,16.42,160.936769,1,1,1,0
2105,18.978,18.972,17.675,16.95,16.601,15.206,14.628,14.357,-1.3110833333333354,-6.88023529411766,0.8906744186046515,2.9911860465116287,2.100511627906977,umag_gmag_rmag_imag,-59.707936,17.676,4.337,5.258,1.9,6055,4.799,14.92,161.095872,1,1,1,0
2121,19.591,19.444,18.092,17.218,18.33,15.461,14.561,14.266,-1.440766666666662,1.6729999999999996,-2.671790697674411,-3.879976744186033,-1.2081860465116225,umag_gmag_rmag_imag,-60.677085,18.082,4.31,5.757,3.43,6111,4.954,14.59,160.1032,1,0,1,0
2123,20.182,19.938,18.383,17.587,17.444,16.241,15.609,15.323,-1.2020666666666653,-5.776647058823532,0.6064883720930245,2.4907209302325604,1.884232558139536,umag_gmag_rmag_imag,-59.053781,18.318,4.45,5.013,2.79,6120,3.602,17.21,161.836046,1,1,1,0
2130,19.812,19.515,18.073,17.015,17.364,15.025,14.33,14.03,-1.625033333333332,-4.248941176470587,-0.5876744186046506,0.05081395348837292,0.6384883720930234,umag_gmag_rmag_imag,-59.709261,17.916,4.415,6.29,7.31,6140,4.617,15.18,161.188107,1,1,1,0
2133,19.611,19.617,18.195,17.434,17.468,15.518,14.766,14.433,-1.3884833333333317,-4.667352941176475,-0.09218604651162535,1.251534883720936,1.3437209302325612,umag_gmag_rmag_imag,-59.954677,18.214,4.369,5.864,5.92,6147,5.014,15.25,160.939269,1,1,1,0
2140,16.238,16.689,15.953,15.528,15.245,14.666,14.496,14.546,-1.2230833333333317,-4.990529411764709,0.26637209302325815,1.6539302325581449,1.387558139534887,umag_gmag_rmag_imag,-59.955967,15.823,4.407,2.958,1.82,6164,3.957,15.95,160.960825,1,1,1,0
2148,19.749,19.55,17.934,17.099,16.799,15.279,14.742,14.647,-1.3179166666666697,-7.078352941176485,0.9594651162790693,3.266162790697675,2.3066976744186056,umag_gmag_rmag_imag,-59.86768,17.953,4.478,5.677,4.94,6186,4.009,16.46,161.066885,1,1,1,0
2154,20.135,19.974,18.481,17.619,17.567,15.729,15.055,14.81,-1.4049666666666683,-5.699352941176481,0.29281395348837236,1.905534883720928,1.6127209302325558,umag_gmag_rmag_imag,-59.596986,18.514,4.405,5.871,0.86,6216,4.552,15.93,161.383792,1,1,1,0
2157,19.957,19.86,18.286,17.261,17.377,15.073,14.484,14.221,-1.7650833333333353,-5.731294117647075,-0.19704651162790465,1.109883720930234,1.3069302325581384,umag_gmag_rmag_imag,-59.748507,18.222,4.552,6.573,4.38,6235,4.587,16.77,161.244729,1,1,1,0
2162,20.256,19.806,18.17,17.097,17.134,15.183,14.387,14.153,-1.4992833333333342,-6.192588235294129,0.3562093023255832,1.9070232558139568,1.5508139534883736,umag_gmag_rmag_imag,-59.94241,17.987,4.468,6.38,5.69,6247,4.226,15.86,161.049604,1,1,0,0
2165,18.856,18.593,17.27,16.542,16.216,15.333,14.852,14.654,-1.0595333333333277,-6.494999999999991,1.0893720930232584,3.162930232558143,2.0735581395348848,umag_gmag_rmag_imag,-59.675103,17.425,4.314,4.264,1.27,6260,3.594,15.25,161.337182,1,1,0,0
2169,17.634,17.557,16.33,15.725,16.343,14.906,14.663,14.508,-1.0220833333333288,0.1603529411764831,-1.489558139534882,-1.6853953488372069,-0.1958372093023253,umag_gmag_rmag_imag,-57.643798,16.307,4.416,3.418,0.82,6267,2.931,16.18,163.325833,1,0,0,0
2183,20.713,19.959,18.177,17.113,18.106,15.28,14.761,14.525,-1.1789333333333316,0.29876470588236725,-1.7631395348837238,-2.2673488372093082,-0.5042093023255849,umag_gmag_rmag_imag,-59.357629,18.202,4.389,5.902,2.33,6312,3.61,15.54,161.717242,1,0,0,0
2187,19.709,19.538,18.133,17.352,16.728,15.48,14.949,14.823,-1.2478166666666648,-8.837529411764693,1.7527674418604606,4.594418604651155,2.8416511627906953,umag_gmag_rmag_imag,-59.7134,18.14,4.334,5.451,3.6,6321,4.565,15.2,161.358534,1,1,1,0
2196,20.523,19.946,18.223,17.218,17.453,15.159,14.455,13.936,-1.2487499999999996,-4.360058823529412,-0.018697674418604704,1.1632558139534925,1.181953488372097,umag_gmag_rmag_imag,-59.778089,18.196,4.325,6.379,3.17,6341,4.345,14.43,161.304193,1,1,0,0
2200,19.978,19.584,18.118,17.281,17.405,15.719,15.24,15.319,-1.1265499999999973,-4.177588235294101,0.0796744186046473,1.26018604651162,1.1805116279069727,umag_gmag_rmag_imag,-59.332672,18.125,4.327,4.936,3.05,6362,3.758,15.64,161.776869,1,1,0,0
2209,19.28,18.974,17.328,16.194,17.01,13.692,12.862,12.313,-1.7540999999999993,-1.732941176470574,-1.762465116279074,-1.9951627906976825,-0.23269767441860867,umag_gmag_rmag_imag,-59.764217,17.314,4.352,7.354,2.69,6387,5.21,12.81,161.351703,1,0,0,0
2211,19.182,18.924,17.071,15.745,16.683,13.072,12.107,11.567,-2.1509000000000045,-2.2297647058823653,-2.1197209302325595,-2.426302325581398,-0.30658139534883944,umag_gmag_rmag_imag,-59.760242,17.023,4.602,8.298,6.91,6391,5.026,14.63,161.357741,1,0,1,0
2214,19.96,19.512,17.684,16.686,16.583,14.399,13.575,13.148,-1.3650333333333344,-6.61135294117649,0.7090930232558181,2.7742325581395417,2.065139534883724,umag_gmag_rmag_imag,-60.022657,17.669,4.367,6.928,4.8,6396,4.582,13.85,161.084247,1,1,0,0
2224,19.336,19.365,18.014,17.259,17.172,15.458,14.865,14.595,-1.400583333333331,-5.427705882352935,0.19153488372092956,1.7428372093023232,1.5513023255813938,umag_gmag_rmag_imag,-60.096512,18.03,4.413,5.489,1.93,6429,4.684,15.87,161.029237,1,1,1,0
2228,20.757,19.919,18.065,16.945,17.276,15.151,14.465,14.091,-1.1966666666666672,-4.220882352941187,-0.0010465116279043674,1.090883720930236,1.0919302325581404,umag_gmag_rmag_imag,-60.085393,18.033,4.426,6.232,6.58,6439,3.662,15.54,161.051011,1,1,0,0
2233,16.596,16.546,15.29,14.423,14.636,13.044,12.615,12.347,-1.5250499999999974,-4.143294117647059,-0.4899302325581365,0.2756744186046567,0.765604651162793,umag_gmag_rmag_imag,-60.964821,15.206,4.466,4.863,6.61,6454,3.935,14.28,160.095673,1,1,0,0
2242,20.089,19.586,18.032,17.225,17.288,15.882,15.082,14.894,-0.9630499999999971,-4.267352941176471,0.3433023255813985,1.7522558139534927,1.4089534883720942,umag_gmag_rmag_imag,-60.639041,18.039,4.304,4.911,5.92,6474,3.643,15.4,160.479324,1,1,0,0
2245,16.736,16.161,13.962,12.592,13.489,9.756,8.88,8.334,-1.913833333333332,-2.457764705882348,-1.698790697674419,-1.564976744186044,0.13381395348837444,umag_gmag_rmag_imag,-59.783881,13.954,4.624,8.616,3.46,6480,4.526,11.66,161.403107,1,0,0,0
2247,19.88,19.382,17.713,16.907,16.738,15.675,15.146,15.017,-0.966233333333337,-5.753470588235308,0.9263953488372079,2.984488372093023,2.0580930232558154,umag_gmag_rmag_imag,-59.657188,17.68,4.403,4.653,4.42,6488,3.102,16.41,161.538755,1,1,0,0
2256,18.125,18.19,17.117,16.548,16.268,15.318,14.819,14.5,-1.098683333333339,-5.508588235294122,0.6447674418604573,2.3624186046511495,1.717651162790692,umag_gmag_rmag_imag,-60.099866,17.077,4.3,4.095,3.54,6502,4.442,15.04,161.08187,1,1,0,0
2261,15.156,15.574,14.753,14.232,14.051,13.155,12.768,12.357,-1.3644833333333337,-4.919058823529412,0.04081395348837047,1.2785348837209263,1.2377209302325558,umag_gmag_rmag_imag,-60.107072,14.743,4.364,3.832,4.51,6519,5.01,13.47,161.090216,1,1,0,0
2295,20.068,19.686,18.213,17.381,17.432,16.015,15.545,15.077,-1.1294666666666662,-4.625588235294133,0.25272093023256376,1.6083023255814037,1.35558139534884,umag_gmag_rmag_imag,-59.093116,18.217,4.351,4.846,2.12,6645,3.642,16.07,162.238767,1,1,0,0
2316,20.265,19.852,18.347,17.563,17.736,15.891,15.252,15.179,-1.0112666666666705,-3.504588235294123,-0.025534883720934376,1.0811627906976655,1.1066976744185997,umag_gmag_rmag_imag,-60.215788,18.32,4.302,5.152,3.48,6711,4.019,15.45,161.152453,1,1,0,0
2319,14.907,14.96,13.477,12.501,13.108,10.554,9.899,9.574,-1.8260666666666687,-2.4189411764705886,-1.591674418604654,-1.506186046511632,0.08548837209302196,umag_gmag_rmag_imag,-60.008171,13.482,4.617,6.276,2.2,6720,4.622,13.05,161.382713,1,0,0,0
2330,19.918,19.598,17.992,17.16,16.691,15.369,14.911,14.45,-1.1914666666666673,-8.021705882352956,1.5088604651162818,4.1946511627907,2.6857906976744186,umag_gmag_rmag_imag,-60.307551,18.0,4.389,5.575,4.32,6751,4.024,15.62,161.102402,1,1,0,0
2340,19.595,19.05,17.377,16.471,16.235,14.507,13.949,13.605,-1.1008999999999993,-6.777235294117648,1.1432325581395344,3.3595813953488394,2.2163488372093054,umag_gmag_rmag_imag,-59.896627,17.382,4.3,5.818,1.81,6783,4.108,13.86,161.556636,1,1,0,0
2345,19.997,19.543,18.081,17.224,18.102,15.678,15.15,14.861,-1.102883333333331,0.5886470588235352,-1.7716279069767427,-2.331069767441858,-0.5594418604651157,umag_gmag_rmag_imag,-59.88994,18.102,4.296,5.01,0.65,6812,3.863,15.22,161.601565,1,0,0,0
2358,19.284,19.083,17.688,16.912,16.752,15.153,14.51,14.461,-1.208733333333332,-5.800411764705883,0.6065813953488379,2.369953488372093,1.7633720930232555,umag_gmag_rmag_imag,-60.366264,17.665,4.318,5.334,6.08,6871,4.492,14.71,161.156333,1,1,0,0
2367,17.666,17.791,16.841,16.353,15.99,15.42,15.056,15.102,-1.0115333333333323,-5.58141176470589,0.7951627906976773,2.5809069767441906,1.7857441860465135,umag_gmag_rmag_imag,-60.369761,16.846,4.312,3.298,2.06,6902,3.817,15.61,161.175662,1,1,0,0
2369,20.022,19.407,17.78,16.974,16.902,15.719,15.09,15.069,-0.8492333333333362,-5.01452941176471,0.7975116279069729,2.590279069767435,1.792767441860462,umag_gmag_rmag_imag,-59.831296,17.777,4.317,4.6,5.9,6915,3.201,15.61,161.749726,1,1,0,0
2372,19.326,19.216,17.891,17.121,17.128,15.607,14.836,14.661,-1.2888333333333328,-4.782176470588225,0.09225581395348414,1.4011395348837161,1.308883720930232,umag_gmag_rmag_imag,-60.40344,17.918,4.351,5.126,4.02,6931,4.422,15.42,161.159966,1,1,1,0
2377,18.913,19.117,17.864,17.017,17.298,15.421,14.794,14.741,-1.7427166666666694,-3.8330588235294294,-0.9163023255813926,-0.31025581395348234,0.6060465116279102,umag_gmag_rmag_imag,-59.725237,17.657,4.6,5.381,3.03,6942,4.517,17.98,161.877778,1,0,1,0
2381,19.479,19.424,18.212,17.516,16.93,16.339,15.587,15.268,-1.2094000000000027,-8.164882352941179,1.5404418604651116,4.101604651162781,2.56116279069767,umag_gmag_rmag_imag,-60.243956,18.175,4.343,4.523,4.25,6970,4.185,16.2,161.360952,1,1,1,0
2383,20.012,19.731,18.195,17.35,17.544,15.402,14.951,14.476,-1.254083333333332,-3.8930588235294135,-0.2107674418604637,0.8785813953488425,1.089348837209306,umag_gmag_rmag_imag,-60.341265,18.185,4.351,5.745,3.18,6980,4.391,15.21,161.263416,1,1,1,0
2391,19.99,19.75,18.292,17.492,17.49,15.927,15.186,14.751,-1.2133333333333358,-4.902235294117671,0.2450697674418651,1.7076744186046597,1.4626046511627948,umag_gmag_rmag_imag,-59.923353,18.352,4.341,5.352,7.36,7004,4.303,15.56,161.72414,1,1,1,0
2398,19.808,19.826,18.263,17.407,17.25,15.488,14.95,14.453,-1.57306666666667,-6.513117647058837,0.3799767441860457,2.304441860465114,1.9244651162790685,umag_gmag_rmag_imag,-60.107154,18.239,4.531,6.039,4.45,7032,4.452,17.04,161.560639,1,1,1,0
2403,20.545,19.899,17.818,16.453,17.141,13.689,12.887,12.356,-1.833750000000002,-3.694764705882374,-1.0979999999999954,-0.600999999999992,0.497000000000003,umag_gmag_rmag_imag,-60.149631,17.731,4.568,8.337,5.64,7052,4.463,15.01,161.535914,1,1,0,0
2432,19.828,19.635,18.266,17.49,17.514,15.647,15.259,14.78,-1.2167333333333348,-4.6286470588235265,0.13216279069766998,1.4459069767441828,1.3137441860465129,umag_gmag_rmag_imag,-60.077798,18.289,4.309,5.321,2.59,7134,4.573,15.2,161.693677,1,1,1,0
2435,19.269,19.293,17.951,17.236,17.112,15.921,15.327,14.844,-1.322916666666667,-5.403470588235311,0.2903255813953537,1.917813953488381,1.627488372093027,umag_gmag_rmag_imag,-60.166761,17.946,4.474,4.839,6.42,7156,3.991,17.12,161.624569,1,1,1,0
2438,20.17,19.978,18.344,17.477,17.507,15.468,14.802,14.267,-1.383050000000001,-5.174647058823529,0.11595348837209035,1.6808837209302276,1.5649302325581373,umag_gmag_rmag_imag,-60.031537,18.343,4.406,6.244,6.79,7160,4.575,15.51,161.769178,1,1,1,0
2486,19.546,19.336,17.939,17.266,17.108,15.929,15.336,14.95,-1.0126166666666687,-5.118176470588233,0.6105116279069716,2.3712790697674295,1.760767441860458,umag_gmag_rmag_imag,-60.184608,17.941,4.325,4.601,7.51,7327,3.871,15.77,161.755805,1,1,0,0
2495,20.551,19.986,18.432,17.504,18.381,15.567,15.211,14.858,-1.1208666666666636,0.23800000000000798,-1.6580930232558124,-2.1232325581395273,-0.4651395348837153,umag_gmag_rmag_imag,-59.888314,18.41,4.306,5.592,3.59,7347,4.085,15.14,162.073641,1,0,0,0
2499,19.39,19.221,17.964,17.232,17.311,15.876,15.262,14.937,-1.1607999999999978,-4.017882352941169,-0.031255813953489364,1.0438604651162782,1.0751162790697675,umag_gmag_rmag_imag,-60.102004,17.965,4.305,4.617,2.49,7355,4.168,15.5,161.867902,1,1,0,0
2533,20.356,19.873,18.179,17.382,17.242,15.614,15.052,14.771,-0.9648833333333271,-5.5248235294117505,0.8378837209302343,2.854209302325587,2.0163255813953525,umag_gmag_rmag_imag,-60.215091,18.189,4.337,5.456,7.51,7442,3.843,15.42,161.865197,1,1,0,0
2565,18.847,18.826,17.646,17.08,16.622,15.886,15.207,14.937,-1.0072333333333368,-6.544647058823537,1.1819767441860427,3.416441860465108,2.234465116279065,umag_gmag_rmag_imag,-60.185967,17.617,4.297,4.235,7.36,7578,4.29,15.46,162.050719,1,1,1,0
2602,16.372,16.329,14.754,13.676,14.382,11.335,10.509,10.062,-1.9153666666666658,-2.342176470588236,-1.7466279069767428,-1.7970697674418559,-0.05044186046511312,umag_gmag_rmag_imag,-60.440569,14.751,4.514,7.199,1.22,7688,5.138,12.18,161.905482,1,0,0,0
2603,20.417,19.07,16.399,14.675,15.905,11.356,10.232,9.6,-1.7849333333333317,-1.820411764705892,-1.7709069767441799,-1.9317674418604547,-0.16086046511627528,umag_gmag_rmag_imag,-60.409997,16.371,4.509,10.133,5.29,7689,4.318,11.4,161.942624,1,0,0,0
2669,18.682,18.735,17.248,16.332,16.884,14.674,14.07,13.914,-1.7170666666666679,-2.386882352941183,-1.4522558139534876,-1.23613953488372,0.21611627906976727,umag_gmag_rmag_imag,-58.906195,17.223,4.631,5.667,3.42,7906,4.15,17.6,163.661619,1,0,1,0
2686,16.149,16.431,15.645,15.186,15.073,14.469,14.199,14.059,-1.1158499999999991,-3.949529411764702,0.004441860465114966,1.0506046511627893,1.0461627906976747,umag_gmag_rmag_imag,-61.933198,15.631,4.337,2.895,0.76,7966,3.756,14.99,160.589099,1,1,0,0
2775,19.697,19.068,17.365,16.41,16.472,14.691,14.078,13.723,-1.1059166666666653,-5.096705882352927,0.4718372093023205,2.0320930232558094,1.5602558139534888,umag_gmag_rmag_imag,-60.543104,17.38,4.303,5.59,3.26,8220,3.794,14.11,162.441405,1,1,0,0
2825,19.458,19.817,18.425,17.617,18.108,15.82,15.35,15.176,-1.8268666666666677,-2.3915294117647092,-1.6036279069767445,-1.3420697674418598,0.2615581395348845,umag_gmag_rmag_imag,-59.547939,18.396,4.63,5.709,7.49,8379,4.707,18.69,163.642931,1,0,1,0
2832,20.325,19.545,17.575,16.449,17.612,14.211,13.274,12.983,-1.2655666666666643,1.0172352941176386,-2.168069767441853,-2.875674418604632,-0.7076046511627792,umag_gmag_rmag_imag,-60.158524,17.574,4.357,7.06,4.24,8426,4.195,13.56,163.130476,1,0,0,0
3088,18.358,17.932,16.165,15.102,15.457,12.704,12.012,11.559,-1.5051166666666622,-4.113529411764695,-0.47388372093023123,0.47579069767441906,0.9496744186046501,umag_gmag_rmag_imag,-60.982702,16.14,4.378,7.015,1.37,9143,4.642,12.32,163.195486,1,1,0,0
3095,18.668,18.194,16.625,15.681,15.824,13.966,13.433,13.012,-1.2409333333333343,-4.661823529411767,0.11151162790697539,1.3512790697674384,1.2397674418604627,umag_gmag_rmag_imag,-60.631261,16.592,4.313,5.509,4.61,9162,3.993,13.48,163.563578,1,1,0,0
3239,20.539,19.666,17.557,16.455,16.443,14.162,13.36,12.833,-1.1289666666666656,-6.269705882352924,0.9034186046511561,3.040046511627895,2.136627906976739,umag_gmag_rmag_imag,-61.175785,17.58,4.332,7.124,7.13,9526,4.068,13.29,163.462915,1,1,0,0
3331,19.829,19.445,17.891,16.993,17.137,15.254,14.459,14.182,-1.2473666666666654,-4.450470588235281,0.018976744186042227,1.2414418604651098,1.2224651162790676,umag_gmag_rmag_imag,-59.680267,17.894,4.324,5.723,5.58,9804,4.29,14.65,165.234283,1,1,0,0
3444,18.094,18.248,17.182,16.54,16.305,15.276,14.894,14.713,-1.3202999999999987,-5.777117647058819,0.44169767441860297,2.0487441860465108,1.607046511627908,umag_gmag_rmag_imag,-58.875848,16.672,4.394,4.231,0.21,10084,4.247,15.93,166.254454,1,1,1,0
3504,16.456,16.49,15.137,14.42,14.533,13.619,13.361,13.198,-1.3365499999999995,-3.9067058823529477,-0.3204418604651139,0.772395348837211,1.0928372093023246,umag_gmag_rmag_imag,-60.193918,15.212,4.629,3.764,5.46,10214,2.892,17.27,165.207905,1,1,0,0
3508,17.961,17.738,16.388,15.612,15.536,14.218,13.759,13.426,-1.186733333333337,-5.2398235294117805,0.41565116279069786,1.9406279069767431,1.5249767441860453,umag_gmag_rmag_imag,-60.254986,16.337,4.337,4.698,1.3,10221,3.888,14.19,165.155736,1,1,0,0
3649,19.834,19.487,17.864,16.937,17.175,15.388,14.82,14.391,-1.3370499999999976,-4.070705882352942,-0.25630232558139254,0.8187441860465134,1.0750465116279058,umag_gmag_rmag_imag,-61.055239,17.894,4.474,5.514,3.3,10507,3.718,16.49,164.665028,1,1,1,0
3924,19.573,18.638,16.222,14.691,15.767,11.618,10.571,10.074,-1.8463166666666684,-1.9823529411764849,-1.792534883720927,-1.8538372093023172,-0.061302325581390704,umag_gmag_rmag_imag,-61.641706,16.254,4.594,9.352,3.81,11045,4.406,12.91,164.702867,1,0,0,0
4128,17.44,17.312,15.981,15.228,15.278,13.613,13.107,12.782,-1.2399499999999997,-4.379470588235292,0.0012558139534867563,1.217139534883719,1.2158837209302322,umag_gmag_rmag_imag,-61.109532,16.005,4.336,5.051,1.01,11545,4.38,13.43,165.929583,1,1,0,0
4149,18.552,19.124,18.179,17.448,17.917,15.92,15.502,14.984,-1.8999833333333287,-2.2518823529411565,-1.7608604651162807,-1.895651162790701,-0.13479069767442042,umag_gmag_rmag_imag,-59.966185,18.075,4.634,5.026,4.13,11594,5.298,18.96,167.032262,1,0,1,0
4209,18.497,17.914,15.994,14.846,15.187,12.496,11.737,11.223,-1.502533333333334,-4.591294117647065,-0.28139534883720874,0.8535116279069812,1.13490697674419,umag_gmag_rmag_imag,-60.912863,15.924,4.42,7.275,1.11,11734,4.367,12.42,166.445003,1,1,0,0
4227,19.891,19.89,18.244,17.271,17.825,15.584,15.162,14.723,-1.7666166666666667,-2.6855294117647124,-1.4033255813953467,-1.0328139534883647,0.3705116279069818,umag_gmag_rmag_imag,-60.772619,18.166,4.629,5.755,6.09,11762,3.836,18.55,166.623107,1,0,1,0
4252,17.061,17.689,16.827,16.233,16.574,15.369,14.831,14.77,-1.707100000000002,-2.2501764705882366,-1.4923953488372117,-1.4154883720930294,0.07690697674418234,umag_gmag_rmag_imag,-61.771855,16.834,4.635,3.904,4.54,11810,4.48,18.69,165.788608,1,0,1,0
4572,18.811,18.919,17.442,16.54,16.877,14.806,14.061,13.871,-1.7466333333333353,-3.730647058823539,-0.9622558139534878,-0.2611395348837189,0.7011162790697688,umag_gmag_rmag_imag,-61.181542,17.452,4.62,5.964,4.97,12416,4.493,17.36,167.096289,1,1,1,0
4583,19.44,19.54,18.096,17.208,17.753,15.746,15.256,14.83,-1.7132000000000005,-2.2992352941176453,-1.4815116279069782,-1.292279069767447,0.18923255813953066,umag_gmag_rmag_imag,-60.654559,18.097,4.627,5.373,4.68,12431,4.007,18.66,167.562572,1,0,1,0
4660,16.594,17.291,16.458,15.957,15.898,15.259,14.862,14.856,-1.6071499999999947,-4.28758823529411,-0.5474418604651129,0.421395348837217,0.9688372093023299,umag_gmag_rmag_imag,-60.982087,16.366,4.639,3.45,4.12,12599,4.162,18.81,167.514078,1,1,1,0
4777,19.955,18.955,16.735,15.47,15.927,13.172,12.434,11.907,-1.2980833333333304,-4.1807058823529415,-0.158441860465113,1.0093953488372147,1.1678372093023275,umag_gmag_rmag_imag,-61.005146,16.755,4.396,7.387,7.22,12805,3.821,12.93,167.78652,1,1,0,0
4877,19.354,18.636,16.539,15.324,15.705,13.182,12.472,12.031,-1.4892500000000024,-4.629411764705893,-0.24779069767441875,0.9720232558139512,1.2198139534883699,umag_gmag_rmag_imag,-60.986903,16.58,4.556,7.134,1.95,12977,3.785,14.78,168.016056,1,1,0,0
4883,19.331,18.903,17.155,15.976,16.774,13.759,12.873,12.485,-1.713849999999999,-2.0148823529411777,-1.594837209302324,-1.6840930232558136,-0.08925581395349003,umag_gmag_rmag_imag,-60.465718,17.135,4.462,7.158,6.06,12990,4.526,14.08,168.453352,1,0,0,0
4958,19.378,19.006,17.567,16.893,16.365,15.657,15.059,15.142,-0.8524333333333323,-7.334941176470602,1.7104186046511678,4.3650465116279165,2.6546279069767484,umag_gmag_rmag_imag,-61.169993,17.496,4.298,4.194,5.2,13101,3.369,15.54,168.013911,1,1,0,0
4980,16.504,16.269,14.883,14.067,13.458,12.381,11.834,11.457,-1.2473999999999947,-8.901764705882346,1.7787441860465139,4.56686046511628,2.788116279069766,umag_gmag_rmag_imag,-61.301829,14.83,4.311,5.268,0.63,13162,4.4,11.89,167.992724,1,1,0,0
5054,19.208,18.716,17.142,16.249,16.435,14.561,13.983,13.613,-1.1302833333333369,-4.041117647058832,0.020511627906974472,1.1662790697674417,1.145767441860467,umag_gmag_rmag_imag,-61.430059,17.168,4.295,5.416,0.97,13303,3.986,13.93,168.171962,1,1,0,0
5158,16.856,16.515,14.671,13.534,14.238,11.531,10.882,10.577,-1.7245499999999958,-2.4352941176470577,-1.4435581395348789,-1.2203953488371995,0.2231627906976792,umag_gmag_rmag_imag,-61.208296,14.668,4.64,6.628,4.45,13486,3.953,14.36,168.751448,1,0,0,0
5160,19.293,18.532,16.504,15.45,15.705,12.939,12.215,11.756,-1.1537666666666706,-4.362000000000011,0.11460465116278828,1.5555116279069716,1.4409069767441833,umag_gmag_rmag_imag,-61.254468,16.647,4.314,7.171,7.13,13488,4.334,11.98,168.719879,1,1,0,0
5161,18.565,17.924,15.849,14.566,15.778,12.17,11.427,11.061,-1.68978333333333,0.18576470588235633,-2.431279069767438,-3.146697674418599,-0.7154186046511612,umag_gmag_rmag_imag,-61.244237,15.872,4.618,7.562,4.08,13490,4.023,14.44,168.738813,1,0,0,0
5167,17.252,16.784,14.87,13.637,14.413,11.286,10.536,10.121,-1.7719499999999972,-2.4621764705882296,-1.499069767441859,-1.3716744186046483,0.12739534883721038,umag_gmag_rmag_imag,-61.202272,14.868,4.613,7.433,2.58,13497,4.274,13.45,168.778742,1,0,0,0
5168,17.505,17.254,15.726,14.817,14.841,13.103,12.511,12.219,-1.400350000000003,-5.423411764705897,0.19016279069767433,1.6629069767441884,1.472744186046514,umag_gmag_rmag_imag,-61.284979,15.695,4.428,5.641,0.32,13499,4.078,13.67,168.712161,1,1,0,0
5170,16.262,15.748,13.7,12.411,13.154,9.975,9.167,8.738,-1.827683333333331,-2.986823529411761,-1.3694186046511616,-1.0320465116279052,0.337372093023256,umag_gmag_rmag_imag,-61.242734,13.696,4.632,7.747,3.22,13501,4.254,12.28,168.747828,1,0,0,0
5177,17.544,17.194,15.375,14.242,14.999,12.257,11.603,11.343,-1.7082833333333296,-2.0608235294117607,-1.5689069767441828,-1.4927674418604608,0.07613953488372172,umag_gmag_rmag_imag,-61.250336,15.376,4.638,6.561,6.3,13512,3.928,15.08,168.755642,1,0,0,0
5180,17.542,17.444,16.103,15.287,16.199,13.906,13.457,13.371,-1.3843999999999985,0.7135294117647092,-2.2138139534883705,-2.9725348837209316,-0.7587209302325615,umag_gmag_rmag_imag,-61.257528,16.162,4.489,4.735,3.53,13518,3.658,15.54,168.753935,1,0,0,0
