,umag,gmag,rmag,imag,Hamag,Jmag,Hmag,Kmag,umag_gmag_rmag_imag,umag_gmag_rmag_Hamag,umag_gmag_imag_Hamag,umag_rmag_imag_Hamag,gmag_rmag_imag_Hamag,outlier_columns,Vc,e_Mass,e_Jmag,vsini,e_Rad,Teff,clean,Rad,e_Kmag,e_y-Ha,Mass,e_Teff,e_gmag,SB?,loggP,e_logg,e_rmag,MG,e_umag,logg,e_Hamag,e_imag,e_b-y,ymag,WHa05,y-Ha,e_vsini,WHa07,b-y,e_Hmag,DEJ2000,e_ymag,RAJ2000,Cluster,WHa06,Code
390,18.18,16.91,15.13,14.63,14.78,13.737,13.237,13.08,0.36166666666666647,-0.9741176470588337,0.8897674418604684,2.324418604651169,1.4346511627907006,umag_gmag_rmag_imag,,,0.022,,,,True,,0.033,0.053,,,0.0,,,,0.0,919,0.01,,0.0,0.0,0.043,15.63,,0.824,,,0.593,0.022,-25.4995556,0.03,117.5955,Haffner 16,,O
407,16.8,15.9,14.17,13.65,13.83,12.741,12.269,12.183,-0.0446666666666653,-1.2799999999999994,0.44372093023255943,1.759302325581398,1.3155813953488384,umag_gmag_rmag_imag,,,0.022,,,,False,,0.024,0.047,,,0.0,,,,0.0,1081,0.0,,0.0,0.0,0.032,14.674,,0.793,,,0.625,0.023,-25.5325833,0.021,117.605125,Haffner 16,,O
409,18.45,17.61,16.02,15.61,15.71,14.877,14.543,14.177,0.0951666666666664,-1.147647058823522,0.5865116279069731,1.946279069767435,1.3597674418604617,umag_gmag_rmag_imag,,,0.043,,,,True,,0.072,0.063,,,0.0,,,,0.0,942,0.01,,0.01,0.0,0.057,16.427,,0.693,,,0.562,0.056,-25.5041111,0.041,117.6074583,Haffner 16,,O
417,19.85,18.73,16.99,16.51,16.67,15.681,15.174,15.018,0.24800000000000688,-0.9317647058823315,0.7144186046511636,2.08604651162791,1.371627906976746,umag_gmag_rmag_imag,,,0.133,,,,True,,0.146,0.101,,,0.01,,,,0.01,633,0.02,,0.01,0.01,0.109,17.48,,0.833,,,0.575,0.101,-25.4517778,0.079,117.612625,Haffner 16,,O
422,17.42,16.56,15.01,14.6,14.7,13.949,13.603,13.522,0.11516666666666953,-1.1276470588235303,0.6065116279069808,1.9262790697674457,1.319767441860465,umag_gmag_rmag_imag,,,0.03,,,,True,,0.044,0.052,,,0.0,,,,0.0,947,0.01,,0.0,0.0,0.038,15.411,,0.674,,,0.519,0.025,-25.5048889,0.027,117.6151667,Haffner 16,,O
424,19.71,18.46,16.65,16.09,16.28,15.096,14.486,14.403,0.23266666666666924,-1.1223529411764548,0.7683720930232528,2.1409302325581363,1.3725581395348834,umag_gmag_rmag_imag,,,0.045,,,,False,,0.076,0.092,,,0.01,,,,0.01,558,0.02,,0.01,0.01,0.101,17.216,,0.903,,,0.714,0.049,-25.4421667,0.071,117.6162917,Haffner 16,,O
428,17.1,15.57,13.65,13.06,13.29,11.996,11.421,11.258,0.4581666666666684,-0.7782352941176542,0.9469767441860514,2.3374418604651246,1.390465116279073,umag_gmag_rmag_imag,,,0.024,,,,False,,0.019,0.046,,,0.0,,,,0.0,855,0.0,,0.0,0.0,0.031,14.205,,0.913,,,0.74,0.023,-25.4893611,0.02,117.6198333,Haffner 16,,O
431,17.7,16.19,14.19,13.55,13.83,12.367,11.785,11.663,0.34733333333333394,-0.7982352941176463,0.8002325581395349,2.155581395348841,1.3553488372093059,umag_gmag_rmag_imag,,,0.028,,,,False,,0.027,0.048,,,0.0,,,,0.0,1028,0.01,,0.0,0.0,0.037,14.806,,0.967,,,0.796,0.031,-25.5230556,0.024,117.6214583,Haffner 16,,O
437,17.28,16.49,14.92,14.49,14.6,13.744,13.335,13.311,0.008833333333336801,-1.261764705882353,0.5111627906976788,1.8279069767441904,1.3167441860465114,umag_gmag_rmag_imag,,,0.024,,,,False,,0.041,0.051,,,0.0,,,,0.0,1095,0.01,,0.0,0.0,0.037,15.325,,0.689,,,0.482,0.027,-25.5356944,0.026,117.6251667,Haffner 16,,O
438,19.35,17.21,14.97,14.22,14.56,12.807,12.042,11.853,0.777500000000001,-0.488823529411766,1.2781395348837223,2.7353488372093047,1.4572093023255823,umag_gmag_rmag_imag,,,0.024,,,,False,,0.029,0.055,,,0.01,,,,0.0,773,0.02,,0.0,0.0,0.051,15.703,,1.107,,,0.98,0.025,-25.4733056,0.033,117.6254583,Haffner 16,,O
439,16.75,15.03,13.04,12.5,12.66,11.562,10.994,10.878,0.7390000000000024,-0.7164705882352878,1.3144186046511632,2.9360465116279078,1.6216279069767443,umag_gmag_rmag_imag,,,0.029,,,,False,,0.034,0.044,,,0.0,,,,0.0,892,0.0,,0.0,0.0,0.027,13.626,,0.951,,,0.662,0.041,-25.4964444,0.017,117.6267917,Haffner 16,,O
440,19.05,18.03,16.35,15.9,16.05,15.064,14.781,14.439,0.2024999999999978,-0.9035294117647115,0.639767441860464,1.9744186046511607,1.3346511627906967,umag_gmag_rmag_imag,,,0.06,,,,True,,0.1,0.069,,,0.01,,,,0.0,921,0.02,,0.01,0.01,0.066,16.78,,0.759,,,0.601,0.096,-25.4999167,0.047,117.6274583,Haffner 16,,O
451,18.66,17.68,15.97,15.46,15.62,14.53,14.079,14.052,0.0535000000000011,-1.264117647058833,0.5744186046511676,1.9160465116279148,1.3416279069767472,umag_gmag_rmag_imag,,,0.047,,,,False,,0.066,0.061,,,0.01,,,,0.0,706,0.01,,0.01,0.01,0.055,16.316,,0.771,,,0.6,0.061,-25.4628611,0.039,117.635,Haffner 16,,O
452,18.73,17.11,15.09,14.44,14.72,13.218,12.634,12.463,0.43916666666666737,-0.7523529411764653,0.9102325581395333,2.2855813953488333,1.3753488372092997,umag_gmag_rmag_imag,,,0.024,,,,False,,0.023,0.054,,,0.01,,,,0.0,815,0.01,,0.0,0.0,0.048,15.742,,1.007,,,0.812,0.025,-25.48175,0.032,117.6380833,Haffner 16,,O
456,19.7,18.64,16.93,16.43,16.6,15.64,15.071,14.932,0.15166666666666562,-1.0558823529411674,0.629069767441855,1.947674418604643,1.3186046511627878,umag_gmag_rmag_imag,,,0.072,,,,True,,0.132,0.098,,,0.01,,,,0.01,976,0.02,,0.01,0.01,0.1,17.373,,0.774,,,0.375,0.063,-25.5116944,0.075,117.639625,Haffner 16,,O
459,18.03,16.33,14.27,13.6,13.89,12.388,11.783,11.626,0.48283333333333656,-0.7364705882352856,0.9648837209302334,2.3572093023255793,1.3923255813953457,umag_gmag_rmag_imag,,,0.022,,,,False,,0.026,0.049,,,0.0,,,,0.0,1053,0.01,,0.0,0.0,0.039,14.921,,1.009,,,0.854,0.023,-25.5273333,0.025,117.6424583,Haffner 16,,O
465,18.97,18.16,16.55,16.1,16.21,15.279,14.777,14.829,-0.007499999999999729,-1.370000000000001,0.5311627906976748,1.8879069767441874,1.3567441860465124,umag_gmag_rmag_imag,,,0.052,,,,True,,0.114,0.074,,,0.01,,,,0.01,958,0.02,,0.01,0.01,0.07,16.964,,0.728,,,0.54,0.065,-25.5076111,0.051,117.716625,Haffner 16,,O
470,20.62,19.0,16.91,16.25,16.49,15.197,14.309,14.071,0.42100000000000093,-1.0729411764705992,1.0116279069767495,2.5490697674418694,1.5374418604651199,umag_gmag_rmag_imag,,,0.062,,,,True,,,0.099,,,0.01,,,,0.01,1154,0.05,,0.01,0.01,0.112,17.462,,1.04,,,0.727,,-25.5447778,0.079,117.722875,Haffner 16,,O
478,16.8,14.57,12.88,12.09,12.49,10.634,9.932,9.684,0.7948333333333324,-0.27058823529412157,1.2160465116279071,1.9851162790697667,0.7690697674418596,umag_gmag_rmag_imag,,,0.022,,,,True,,0.021,0.05,,,0.0,,,,0.0,204,0.01,,0.0,0.0,0.053,13.725,,1.228,,,1.034,0.022,-27.9105,0.033,118.8237083,NGC 2483,,O
747,15.27,14.78,13.73,13.09,13.12,12.208,11.761,11.482,-0.6726666666666672,-3.421176470588244,0.4139534883720949,1.394883720930235,0.9809302325581399,umag_gmag_rmag_imag,,,0.023,,,,True,,0.021,0.049,,,0.0,,,,0.0,43,0.01,,0.0,0.0,0.035,14.484,,1.221,,,0.669,0.023,-29.9745833,0.023,119.1856667,NGC 2489,,O
758,15.75,15.47,14.63,14.14,14.15,13.419,12.96,12.887,-0.6101666666666675,-2.7976470588235336,0.2546511627906976,1.0716279069767445,0.8169767441860468,umag_gmag_rmag_imag,,,0.026,,,,False,,0.034,0.073,,,0.0,,,,0.0,14,0.01,,0.0,0.0,0.061,14.949,,0.633,,,0.54,0.028,-44.859,0.041,130.5457917,NGC 2659,,O
762,15.85,15.66,14.83,14.33,14.4,13.656,13.298,13.162,-0.7183333333333336,-2.567058823529411,0.012558139534882579,0.6813953488372078,0.6688372093023252,umag_gmag_rmag_imag,,,0.036,,,,True,,0.039,0.074,,,0.01,,,,0.0,199,0.01,,0.0,0.0,0.064,15.022,,0.521,,,0.642,0.043,-45.00475,0.041,130.5719167,NGC 2659,,O
763,14.55,14.24,13.39,12.88,12.94,12.145,11.772,11.677,-0.6164999999999988,-2.5752941176470663,0.15790697674418985,0.8697674418604716,0.7118604651162818,umag_gmag_rmag_imag,,,0.023,,,,True,,0.019,0.048,,,0.0,,,,0.0,126,0.0,,0.0,0.0,0.036,13.743,,0.654,,,0.543,0.024,-44.9563611,0.024,130.5797083,NGC 2659,,O
780,17.61,15.17,13.34,12.33,12.7,10.499,9.712,9.433,0.6051666666666671,-1.6635294117647117,1.5020930232558158,2.480232558139539,0.9781395348837233,umag_gmag_rmag_imag,,,0.022,,,,False,,0.019,0.051,,,0.01,,,,0.01,204,0.01,,0.0,0.0,0.057,14.109,,1.302,,,1.278,0.022,-45.0085,0.033,130.6245417,NGC 2659,,O
876,17.98,17.1,15.96,15.42,15.93,14.374,14.108,13.858,-0.10100000000000242,0.6876470588235211,-0.41279069767441845,-0.4469767441860446,-0.034186046511626156,umag_gmag_rmag_imag,,,0.035,,,,False,,0.063,0.095,,,0.01,,,,0.01,656,0.02,,0.01,0.02,0.081,16.503,,0.604,,,0.653,0.031,-53.9213056,0.055,145.09475,Ruprecht 79,,O
