,umag,gmag,rmag,imag,Hamag,Jmag,Hmag,Kmag,Jmag_Hmag_Kmag,umag_gmag_rmag,umag_gmag_imag,umag_gmag_Hamag,umag_rmag_imag,umag_rmag_Hamag,umag_imag_Hamag,gmag_rmag_imag,gmag_rmag_Hamag,gmag_imag_Hamag,rmag_imag_Hamag,outlier_columns,ID,h,w1_err,e_Jmag,w1,Halpha_type,e_Kmag,e_gmag,e_rmag,e_umag,e_Hamag,e_imag,Fe_type,objtype_SIMBAD,k,e_Hmag,DEJ2000,h_err,k_err,RAJ2000,objtype_Hou
43,19.409,17.678,17.18,16.66,17.05,15.849,15.882,15.088,-0.7076405228758168,1.4960129870129846,1.0820994152046761,1.4111308411214933,1.596485380116959,2.1026448598130845,3.2374112149532706,0.19694736842105404,0.4378598130841137,1.307766355140188,0.6293457943925231,Jmag_Hmag_Kmag,J055037.79+302110.4,15.882,0.05,0.086,15.568,II,,0.005,0.01,0.025,0.01,0.01,,,15.088,0.179,30.352914,0.179,,87.657483,unknown
50,19.384,17.843,17.32,16.87,17.16,16.123,15.593,16.596,1.3822222222222234,1.2942164502164508,0.9207836257309953,1.1931168224299071,1.5166315789473694,1.9084859813084112,2.877177570093456,0.26247368421052647,0.4489813084112146,1.1884672897196245,0.5313084112149523,Jmag_Hmag_Kmag,J052638.36+281510.4,15.593,0.059,0.067,15.784,II,,0.006,0.01,0.029,0.01,0.01,,,16.596,0.124,28.252902,0.124,,81.65984,unknown
72,22.918,19.636,18.94,17.72,18.46,15.065,14.027,13.628,0.6989803921568638,2.9535844155844164,2.0606900584795325,2.6830093457943933,2.4940233918128607,3.5114579439252314,6.12472897196262,-0.010315789473687498,0.4739439252336427,2.4658130841121513,1.4274766355140216,Jmag_Hmag_Kmag,J055158.60+221514.6,14.027,0.027,0.078,12.609,II,0.08,0.029,0.02,0.966,0.03,0.02,,,13.628,0.092,22.254083,0.092,0.08,87.994208,unknown
75,15.302,15.793,12.68,11.91,11.88,10.899,10.575,10.259,0.05550326797385696,-1.9599047619047612,-2.966128654970759,-2.4840700934579423,1.6853918128654977,1.8444299065420573,3.354429906542056,2.6672105263157895,2.7429065420560748,3.8607102803738313,0.7615887850467288,Jmag_Hmag_Kmag,J035614.13+522603.1,10.575,0.023,0.027,10.04,I,0.022,0.012,0.0,0.007,0.0,0.0,,Emission-line Star,10.259,0.032,52.434199,0.032,0.022,59.058908,CBe
116,15.352,15.684,13.26,12.97,12.94,12.639,12.618,12.535,-0.04952287581699459,-1.4757922077922063,-2.0619766081871322,-1.7296448598130827,1.7392514619883057,1.7809719626168228,2.344429906542054,2.256105263157895,2.2759626168224294,2.6917102803738295,0.2815887850467278,Jmag_Hmag_Kmag,J052423.13+283541.6,12.618,0.024,0.023,12.254,II,0.024,0.012,0.0,0.007,0.0,0.0,,,12.535,0.031,28.594889,0.031,0.024,81.096375,CBe
132,24.635,17.203,16.66,16.17,16.48,15.515,15.3,15.175,0.10879084967320249,7.175779220779224,6.77353801169591,7.063742990654208,7.378976608187138,7.800046728971965,8.853224299065419,0.25931578947368444,0.45972897196261625,1.263327102803735,0.5769158878504654,Jmag_Hmag_Kmag,J052530.75+293821.3,15.3,0.042,0.061,15.104,II,0.118,0.005,0.01,1.578,0.01,0.01,,,15.175,0.105,29.639252,0.105,0.118,81.378157,CBe
141,20.197,17.7,16.03,14.9,15.64,13.202,12.57,12.313,0.41363398692810455,1.708991341991343,0.712204678362574,1.4477476635514026,2.7924970760233894,3.78793457943925,6.223728971962616,1.0157894736842084,1.4895794392523345,3.3498130841121485,1.3374766355140195,Jmag_Hmag_Kmag,J053903.41+300817.1,12.57,0.024,0.025,12.027,II,0.023,0.005,0.0,0.051,0.0,0.0,,,12.313,0.023,30.13809,0.023,0.023,84.764247,CBe
158,17.738,15.079,13.41,12.72,13.01,11.528,10.906,10.716,0.46056209150326677,1.8714632034632022,1.155309941520467,1.6051635514018678,3.488701754385965,3.939214953271027,5.381177570093456,1.2695263157894745,1.4839532710280379,2.5744672897196255,0.7713084112149525,Jmag_Hmag_Kmag,J064917.52+100126.8,10.906,0.023,0.029,10.489,II,0.026,0.006,0.0,0.013,0.0,0.0,,,10.716,0.027,10.024136,0.027,0.026,102.32302,CBe
170,16.281,17.619,14.11,13.81,13.99,13.361,13.261,13.173,0.025228758169936763,-2.9937619047619055,-3.7659590643274856,-3.1864158878504676,1.8060877192982463,2.0543644859813086,2.6964205607476615,3.335315789473685,3.453485981308412,3.9427383177570086,0.35046728971962504,Jmag_Hmag_Kmag,J054733.79+313320.6,13.261,0.025,0.023,13.077,II,0.032,0.037,0.0,0.013,0.0,0.0,,,13.173,0.031,31.555742,0.031,0.032,86.890806,CBe
183,22.134,19.056,17.4,16.22,17.1,14.41,13.826,13.496,0.30360784313725453,2.296597402597401,1.2702573099415189,2.081719626168224,3.298678362573102,4.4424112149532755,7.016056074766359,0.9728421052631605,1.5172149532710317,3.4898317757009387,1.4267289719626173,Jmag_Hmag_Kmag,J055511.13+230646.4,13.826,0.026,0.028,13.286,II,0.029,0.01,0.01,0.254,0.01,0.01,,,13.496,0.036,23.112903,0.036,0.029,88.796383,CBe
189,20.989,19.054,18.26,17.66,18.08,16.462,15.988,16.392,0.8172679738562092,1.5603419913419951,1.0464269005847988,1.4388971962616846,1.9991754385964888,2.554046728971959,3.854981308411213,0.4466315789473646,0.7107289719626122,1.706056074766352,0.7177570093457953,Jmag_Hmag_Kmag,J055925.92+221016.5,15.988,0.081,0.118,16.247,II,,0.01,0.01,0.083,0.02,0.02,,,16.392,,22.171275,,,89.858025,CBe
201,15.908,15.923,15.91,15.89,15.83,16.088,15.966,16.328,0.42958169934640694,-0.021134199134199654,-0.036035087719298475,-0.062369158878505214,-0.026327485380117102,-0.0797570093457951,-0.057140186915889554,0.001421052631579097,-0.024009345794392643,-0.011579439252337335,0.003177570093457375,Jmag_Hmag_Kmag,J060655.95+235233.7,15.966,0.13,0.081,16.712,II,,0.004,0.0,0.006,0.01,0.01,,Star,16.328,0.157,23.876037,0.157,,91.733125,CBe
257,15.235,15.498,12.47,11.85,12.09,11.184,10.956,10.855,0.14218300653594826,-1.691796536796536,-2.5883333333333325,-1.998850467289719,2.010847953216372,2.3956542056074746,3.6855607476635512,2.6690526315789453,2.852205607476634,3.8263177570093454,0.6872897196261692,Jmag_Hmag_Kmag,J054610.71+211613.3,10.956,0.024,0.022,10.79,II,0.02,0.013,0.0,0.006,0.0,0.0,,,10.855,0.022,21.27038,0.022,0.02,86.544665,CBe
489,22.006,19.054,16.35,15.52,15.85,14.07,13.233,13.0,0.639026143790849,1.6760865800865834,0.6993333333333362,1.320056074766358,4.646409356725143,5.1700186915887825,6.899271028037384,2.2234736842105223,2.472691588785043,3.7791869158878493,0.9225233644859832,Jmag_Hmag_Kmag,J055627.37+222602.1,13.233,0.024,0.028,12.535,III,0.028,0.01,0.01,0.218,0.01,0.01,,,13.0,0.026,22.433938,0.026,0.028,89.114066,CBe
521,15.459,16.187,13.34,12.41,12.63,11.151,10.502,10.284,0.4637712418300646,-2.0713896103896126,-3.135561403508774,-2.539742990654207,0.9877719298245617,1.4289065420560756,3.324514018691589,2.3085789473684226,2.518542056074768,3.940457943925235,0.9916822429906541,Jmag_Hmag_Kmag,J055257.33+231001.0,10.502,0.023,0.02,10.161,IV,0.02,0.013,0.0,0.005,0.0,0.0,,,10.284,0.023,23.166958,0.023,0.02,88.238891,CBe
