,umag,gmag,rmag,imag,Hamag,Jmag,Hmag,Kmag,umag_gmag_rmag,umag_gmag_imag,umag_gmag_Hamag,umag_rmag_imag,umag_rmag_Hamag,umag_imag_Hamag,gmag_rmag_imag,gmag_rmag_Hamag,gmag_imag_Hamag,rmag_imag_Hamag,Jmag_Hmag_Kmag,outlier_columns,chi2,DEJ2000,logTeff,Rv,r2mag,RAJ2000,mu,A0,VPHAS-OB1,goodOB,EM,SUB,LUM
1368,20.362,18.748,16.101,14.52,15.592,11.485,10.624,10.108,0.3649826839826804,-1.081040935672518,0.006504672897193586,2.3379122807017545,3.7662710280373837,7.184504672897196,1.7316842105263182,2.4115280373831802,5.0244859813084135,1.8815607476635512,0.42256862745097934,umag_gmag_rmag | umag_gmag_Hamag,4.94,-59.653848,4.352,3.865,16.101,158.210923,10.48,8.959,3612,1,0,0,1
1489,18.851,18.816,17.633,16.834,17.37,15.784,15.06,14.956,-0.5232121212121209,-1.2283801169590636,-0.7015140186915875,0.2461169590643283,0.9623738317757028,2.688252336448599,0.7204210526315791,1.0613317757009353,2.3802429906542057,0.9492803738317755,0.6356339869281039,Jmag_Hmag_Kmag,6.81,-59.542994,4.406,3.946,17.558,159.006162,16.25,4.531,4017,1,0,1,0
1501,20.114,19.909,18.088,17.127,17.2,14.816,14.208,13.748,-0.6542597402597373,-1.5683216374268985,-1.1748177570093434,0.8570643274853778,1.1628971962616808,3.078420560747666,1.2646315789473652,1.4101962616822403,2.83623831775701,0.9814672897196284,0.2171503267973855,umag_gmag_imag,7.68,-58.709342,4.517,4.47,18.038,159.9793,15.99,6.879,4057,1,1,1,0
1517,19.534,19.25,17.862,17.085,17.234,15.492,14.878,14.961,-0.3709437229437248,-1.0960292397660822,-0.742841121495327,0.72687719298246,1.0616074766355181,2.6355981308411205,0.9381578947368453,1.097476635514022,2.2757056074766355,0.8187757009345772,0.6845228758169943,Jmag_Hmag_Kmag,5.07,-57.921999,4.301,4.132,17.852,160.891827,15.06,4.97,4122,1,1,0,0
1550,18.829,18.8,17.528,16.898,17.26,15.473,15.326,14.787,-0.5712077922077932,-1.1833859649122813,-0.7553925233644855,0.5346842105263191,1.0405140186915935,2.3843457943925266,0.9072631578947394,1.1480186915887884,2.1709626168224325,0.7314953271028033,-0.31097385620914975,Jmag_Hmag_Kmag,7.03,-59.262546,4.37,3.961,17.572,159.65436,15.93,4.419,4239,1,0,1,0
1557,17.898,17.845,16.749,16.123,16.471,14.962,14.806,14.365,-0.46416017316017233,-1.0446491228070152,-0.6468411214953255,0.3875497076023431,0.8787943925233668,2.2108130841121465,0.7335789473684226,0.9673925233644867,1.9805607476635485,0.7235700934579413,-0.21870588235293964,Jmag_Hmag_Kmag,5.87,-60.179082,4.304,3.808,16.749,158.656128,14.99,3.805,4268,1,0,0,0
1580,19.945,19.622,17.698,16.635,17.305,14.507,13.689,13.404,-0.5848614718614711,-1.5809941520467818,-0.8571542056074761,0.9539941520467852,1.8650186915887843,4.149065420560744,1.3085789473684213,1.7421915887850459,3.484803738317754,1.250850467289718,0.5758431372549015,umag_gmag_imag,6.7,-60.14041,4.582,4.151,17.702,158.786913,16.38,6.931,4345,1,0,1,0
1620,20.156,19.762,18.097,17.195,17.481,15.442,14.703,14.624,-0.3916493506493518,-1.2422748538011712,-0.7678177570093465,0.9618304093567216,1.4602710280373812,3.3191682242990654,1.1427894736842092,1.3800280373831768,2.779495327102805,0.9821869158878519,0.6718758169934658,Jmag_Hmag_Kmag,5.48,-58.953733,4.411,3.953,18.054,160.223288,15.78,5.773,4457,1,1,0,0
1624,20.529,19.718,17.376,16.012,16.917,13.487,12.795,12.455,-0.29409956709956653,-1.5513040935672509,-0.6156775700934569,1.4938654970760215,2.706869158878504,5.650364485981309,1.5523157894736825,2.1296588785046717,4.378406542056075,1.6177383177570104,0.4031111111111114,umag_gmag_imag,7.63,-58.811972,4.601,3.713,17.348,160.377555,15.6,7.845,4465,1,0,0,0
1648,20.329,19.956,18.387,17.409,17.876,15.699,14.979,14.886,-0.36735064935064776,-1.2505263157894728,-0.6864392523364464,0.7523859649122793,1.4453271028037393,3.5048411214953314,1.0027894736842087,1.3326028037383173,2.893976635514021,1.1089345794392544,0.6409803921568634,Jmag_Hmag_Kmag,5.14,-60.072012,4.444,4.044,18.28,159.059847,16.31,5.845,4542,1,0,1,0
1668,20.637,19.989,18.044,16.858,17.602,14.344,13.332,12.938,-0.2697705627705631,-1.3477836257309943,-0.5678084112149535,1.1503801169590646,2.163392523364486,4.710738317757009,1.258368421052632,1.7405233644859817,3.683785046728972,1.3945981308411213,0.6772287581699332,Jmag_Hmag_Kmag,2.11,-60.100043,4.374,4.665,18.029,159.105814,13.58,7.696,4620,1,0,0,0
1678,16.419,16.95,16.371,16.017,16.129,15.469,15.362,14.921,-0.8042077922077913,-1.1257192982456128,-0.9491728971962594,-0.38259649122806727,-0.18721495327102355,0.542261682242994,0.3740526315789485,0.46704672897196453,1.0162149532710292,0.38540186915887825,-0.2677058823529424,Jmag_Hmag_Kmag,3.9,-60.539477,4.363,4.078,16.336,158.624204,16.3,2.488,4649,1,0,1,0
1716,18.068,18.13,16.738,15.788,16.337,13.831,13.056,12.706,-0.7188311688311662,-1.5548538011695872,-0.9752570093457914,0.1744444444444475,0.9402429906542078,2.9675327102803744,0.842,1.206490654205607,2.749901869158877,1.103925233644859,0.477614379084968,umag_gmag_imag,2.32,-60.199935,4.489,4.99,16.689,159.185837,14.67,6.302,4761,1,0,1,0
1742,19.56,19.308,17.557,16.679,16.191,14.859,14.177,13.884,-0.5742294372294389,-1.4237953216374286,-1.3356308411214965,0.9350233918128656,0.6752990654205615,2.269859813084113,1.242684210526317,1.1190654205607493,2.2664205607476653,0.7411775700934582,0.43304575163398795,umag_gmag_Hamag,7.14,-59.464112,4.503,4.007,17.559,160.09682,16.1,6.036,4839,1,1,1,0
1751,19.831,19.496,18.033,17.176,17.621,15.655,15.067,15.2,-0.35533333333333117,-1.1438304093567242,-0.6200233644859803,0.7555672514619833,1.3975514018691548,3.2122897196261695,0.9668421052631537,1.2724018691588748,2.6506308411214956,0.9817663551401898,0.7010065359477109,Jmag_Hmag_Kmag,3.76,-59.550473,4.365,3.813,18.001,160.027548,15.81,5.067,4866,1,0,0,0
1770,17.949,17.003,14.708,13.392,14.228,10.689,9.669,9.233,-0.13692207792207634,-1.3557485380116945,-0.4674345794392507,1.640251461988305,2.774457943925235,5.60395327102804,1.5331052631578945,2.072943925233645,4.232140186915888,1.5503925233644869,0.6495424836601305,Jmag_Hmag_Kmag,6.97,-59.013538,4.417,4.27,14.683,160.673739,10.25,8.334,4940,1,0,0,1
1774,19.433,17.787,15.15,13.687,14.746,10.951,10.154,9.736,0.4017012987013002,-0.9674502923976593,0.0970794392523382,2.503444444444443,3.890327102803738,7.072224299065422,1.7899999999999983,2.4501028037383166,4.886827102803739,1.7599158878504686,0.4418366013071908,umag_gmag_rmag | umag_gmag_Hamag | umag_rmag_imag | umag_rmag_Hamag,1.99,-59.000602,4.317,3.583,15.168,160.701155,9.92,8.205,4951,1,0,0,1
1791,20.09,19.869,18.302,17.491,17.714,16.125,15.27,15.126,-0.5184069264069263,-1.294801169590643,-0.8766401869158882,0.8015204678362579,1.2164859813084106,2.878271028037382,1.0974736842105266,1.2949813084112147,2.5436869158878497,0.873523364485981,0.7326470588235298,Jmag_Hmag_Kmag,7.24,-58.801898,4.456,3.79,18.298,160.960948,16.97,5.252,5006,1,1,1,0
1803,20.462,19.897,17.953,16.707,17.555,14.217,13.198,12.743,-0.35229870129869945,-1.468391812865494,-0.6278878504672876,0.9933976608187158,2.1221588785046737,4.816981308411212,1.2226315789473685,1.7598785046728964,3.820056074766352,1.4837570093457928,0.6323986928104577,Jmag_Hmag_Kmag,3.09,-58.306081,4.478,4.646,17.974,161.501489,14.42,7.906,5036,1,0,0,0
1804,19.713,19.37,17.905,17.132,17.496,15.768,14.978,14.804,-0.3482770562770562,-1.0835614035087715,-0.6115140186915898,0.8677426900584799,1.4104672897196238,3.0368504672897156,1.0174736842105263,1.275789719626167,2.5084485981308386,0.875056074766354,0.6421568627450994,Jmag_Hmag_Kmag,6.1,-58.850276,4.319,3.885,17.912,160.951673,15.36,4.937,5039,1,0,0,0
1826,20.332,19.808,18.256,17.344,18.289,15.928,15.282,15.354,-0.20832900432900314,-1.0466198830409337,-0.24969626168224113,0.9666666666666686,2.108074766355142,4.171457943925233,1.0240000000000002,1.567266355140187,3.166126168224298,1.1769532710280366,0.7071764705882354,Jmag_Hmag_Kmag,4.13,-58.847291,4.353,3.532,18.272,161.025999,15.99,5.037,5109,1,0,0,0
1844,20.025,19.967,18.218,17.252,17.857,15.559,15.015,14.722,-0.7672857142857138,-1.6726140350877192,-1.0167196261682239,0.6319824561403484,1.456121495327101,3.530663551401869,1.1897368421052614,1.5819953271028022,3.1645093457943925,1.1356261682243003,0.29504575163398483,umag_gmag_imag,4.39,-59.263386,4.613,3.722,18.173,160.643481,18.27,5.842,5153,1,0,1,0
1847,20.769,19.927,17.919,16.794,17.531,14.604,13.669,13.391,-0.1054978354978362,-1.1550584795321641,-0.37839252336448737,1.4815789473684193,2.4728785046728934,4.897971962616818,1.356684210526315,1.8285046728971945,3.6805841121495306,1.331635514018691,0.6987908496732009,Jmag_Hmag_Kmag,6.6,-59.706959,4.367,4.079,17.92,160.19415,14.06,7.03,5167,1,0,0,0
1874,19.811,19.471,17.915,17.053,17.438,15.317,14.598,14.634,-0.3942164502164507,-1.2012982456140346,-0.6955000000000005,0.8474853801169622,1.4323738317757015,3.240149532710277,1.0569473684210546,1.3353317757009355,2.704051401869157,0.9699439252336426,0.7495882352941167,Jmag_Hmag_Kmag,2.88,-59.959697,4.377,4.01,17.934,159.999749,15.46,5.491,5249,1,1,0,0
1879,20.914,19.445,16.985,15.544,16.58,12.751,11.851,11.369,0.30822077922078006,-1.017602339181285,0.00972429906542116,2.176204678362577,3.5353551401869168,6.6674205607476615,1.6257368421052647,2.272640186915888,4.670738317757007,1.7314672897196246,0.490457516339867,umag_gmag_Hamag,0.72,-59.179471,4.329,3.96,16.991,160.854971,11.61,8.383,5265,1,0,0,1
1884,19.919,18.585,16.129,14.526,15.66,11.376,10.325,9.773,0.175108225108225,-1.2533157894736848,-0.15583644859813117,1.8401520467836234,3.3341495327102786,6.813149532710281,1.5279473684210514,2.2390327102803727,4.90155140186916,1.9209439252336464,0.5819803921568634,rmag_imag_Hamag,5.81,-59.826344,4.384,4.366,16.046,160.183987,10.34,9.378,5279,1,0,0,1
1894,20.393,19.99,18.094,16.833,17.609,14.186,13.236,12.754,-0.491649350649347,-1.6093567251461964,-0.8097523364485939,0.7651520467836221,1.8275981308411215,4.531813084112156,1.1659473684210484,1.6716308411214928,3.733560747663554,1.4785700934579478,0.5404575163398677,umag_gmag_imag,1.98,-59.680048,4.521,4.875,18.084,160.392854,14.85,8.11,5321,1,0,1,0
1907,19.932,19.919,18.268,17.182,17.373,14.994,14.103,13.712,-0.7660432900432917,-1.7316374269005876,-1.2837943925233657,0.3430175438596448,0.7940934579439237,2.9891962616822463,1.0222631578947357,1.2369579439252338,2.8789112149532747,1.1395514018691617,0.5587777777777778,umag_gmag_imag | umag_gmag_Hamag,2.78,-59.650637,4.588,4.855,18.215,160.473833,16.73,7.093,5365,1,1,1,0
1930,19.609,18.96,16.887,15.591,16.261,12.953,12.097,11.679,-0.32916883116883033,-1.4984912280701752,-0.7257242990654202,1.1455789473684213,2.113551401869159,4.85706542056075,1.3226842105263157,1.7834018691588784,3.8668037383177585,1.4838504672897208,0.5008366013071901,umag_gmag_imag,2.65,-59.162743,4.559,4.368,16.896,161.073523,14.24,8.065,5440,1,1,0,0
1972,19.821,19.484,17.238,15.674,16.397,12.25,11.035,10.377,-0.7228008658008671,-2.0915964912280716,-1.2353504672897213,0.6805906432748561,1.7655794392523374,5.052439252336449,1.340526315789476,1.8569392523364505,4.347182242990655,1.7667102803738315,0.6559150326797389,umag_gmag_imag | Jmag_Hmag_Kmag,5.07,-59.510516,4.634,5.321,17.287,160.9027,13.59,10.138,5614,1,1,1,0
2002,15.294,16.202,15.637,15.28,15.422,14.661,14.403,14.349,-1.1746017316017334,-1.495707602339184,-1.30528971962617,-0.777245614035089,-0.5519719626168222,0.1918317757009372,0.3583157894736849,0.46553738317757143,1.0275046728971995,0.396813084112151,0.2121176470588224,umag_gmag_rmag | umag_gmag_imag | umag_gmag_Hamag,1.72,-59.18057,4.623,4.607,15.637,161.360337,18.26,2.858,5728,1,0,1,0
2007,19.69,19.367,17.504,16.305,16.914,13.717,12.89,12.444,-0.5560779220779214,-1.6288011695906432,-0.9264252336448588,0.7275672514619866,1.6125420560747665,4.147672897196266,1.1688421052631566,1.5900560747663548,3.5144813084112174,1.369747663551404,0.4480457516339872,umag_gmag_imag,1.88,-59.612416,4.563,4.742,17.506,160.928355,15.07,7.808,5751,1,1,1,0
2014,20.433,19.99,18.438,17.543,18.424,15.958,15.139,14.911,-0.28932900432900266,-1.116783625730992,-0.35463551401868953,0.9063450292397679,1.9813925233644876,3.993308411214954,1.0338421052631577,1.5455233644859812,3.1015747663551396,1.1420093457943923,0.6252745098039226,Jmag_Hmag_Kmag,1.53,-59.370887,4.331,4.074,18.447,161.209144,15.47,5.537,5782,1,0,0,0
2032,19.624,19.769,18.285,17.373,18.737,15.528,14.551,14.176,-0.8452424242424229,-1.6722748538011671,-0.6706448598130836,0.22966666666666669,1.778327102803735,3.9591869158878445,0.9559999999999989,1.6931028037383151,3.4094392523364436,1.2944299065420544,0.6583725490196082,umag_gmag_imag | Jmag_Hmag_Kmag,6.42,-59.543117,4.559,4.988,18.527,161.071843,16.96,6.435,5839,1,0,1,0
2034,16.949,16.663,14.969,13.855,14.575,11.676,10.973,10.603,-0.5133333333333323,-1.5038947368421036,-0.7775140186915876,0.6249590643274892,1.5970467289719648,3.9956822429906538,1.0490526315789488,1.5117289719626177,3.342953271028036,1.3158691588785034,0.38862091503267837,umag_gmag_imag,3.1,-59.399034,4.57,4.419,14.955,161.225755,13.44,6.878,5843,1,0,0,0
2037,19.649,19.391,17.559,16.48,16.246,13.825,13.05,12.563,-0.6064502164502124,-1.5975497076023348,-1.3438925233644827,0.7775321637426895,0.8138130841121474,2.8759532710280356,1.207315789473681,1.224584112149529,2.7371401869158842,1.013392523364486,0.36120915032679596,umag_gmag_imag | umag_gmag_Hamag,4.22,-59.55578,4.452,4.988,17.534,161.07336,13.95,7.645,5849,1,1,1,0
2038,19.891,19.958,18.453,17.594,18.048,16.277,15.562,15.44,-0.7771515151515148,-1.5738771929824544,-1.0398504672897197,0.3931345029239779,1.0443551401869138,2.8655607476635447,1.007684210526316,1.3176401869158865,2.701317757009341,0.9862897196261656,0.6113398692810474,umag_gmag_imag,4.85,-60.97133,4.604,3.781,18.481,159.515585,18.9,5.22,5850,1,0,1,0
2069,20.156,19.756,18.316,17.413,18.001,15.717,14.937,15.005,-0.27948051948052144,-1.0934912280701767,-0.49390186915887924,0.741614035087721,1.5338317757009368,3.4793738317757006,0.9172105263157916,1.2942757009345818,2.7798785046728978,1.067859813084111,0.8377777777777801,Jmag_Hmag_Kmag,6.45,-60.128437,4.307,4.324,18.3,160.549006,15.06,5.511,5949,1,0,0,0
2074,19.647,19.424,17.711,16.637,17.203,14.653,13.815,13.542,-0.5852987012987027,-1.5535087719298246,-0.9082570093457951,0.629614035087722,1.4422429906542065,3.7188224299065387,1.0912105263157916,1.477990654205609,3.207532710280372,1.2326915887850445,0.6060392156862757,umag_gmag_imag,5.14,-59.67037,4.579,4.324,17.603,161.044946,16.5,6.67,5956,1,0,1,0
2095,19.538,19.595,18.112,17.301,17.8,15.902,15.273,15.22,-0.7567705627705615,-1.5192573099415192,-0.9712757009345769,0.43952046783625953,1.1227476635514062,2.861915887850472,1.013473684210527,1.3386635514018708,2.6647523364486005,0.9509065420560754,0.5839673202614383,umag_gmag_imag,4.18,-57.997185,4.606,3.823,18.133,162.762247,18.64,5.151,6019,1,0,1,0
2104,19.278,19.247,17.681,16.701,16.805,14.53,13.904,13.582,-0.7079350649350655,-1.5918888888888894,-1.212822429906543,0.4049532163742666,0.7455607476635482,2.7072429906542026,0.9986315789473672,1.1607476635514002,2.623271028037382,1.009158878504673,0.3524052287581701,umag_gmag_imag,3.08,-59.858255,4.572,4.689,17.654,160.936769,16.42,6.582,6054,1,1,1,0
2121,19.591,19.444,18.092,17.218,18.33,15.461,14.561,14.266,-0.49095670995670804,-1.2719122807017516,-0.4204112149532693,0.435888888888893,1.7303271028037401,3.76559813084112,0.8460000000000011,1.462102803738318,3.0522056074766333,1.1857757009345777,0.6493464052287586,Jmag_Hmag_Kmag,3.43,-60.677085,4.31,4.954,18.082,160.1032,14.59,5.757,6111,1,0,1,0
2157,19.957,19.86,18.286,17.261,17.377,15.073,14.484,14.221,-0.6457099567099545,-1.5596725146198815,-1.167705607476634,0.4242163742690028,0.7874859813084084,2.8412710280373843,0.980578947368418,1.1534813084112119,2.6851869158878503,1.0575233644859834,0.3655359477124188,umag_gmag_imag,4.38,-59.748507,4.552,4.587,18.222,161.244729,16.77,6.573,6235,1,1,1,0
2161,20.041,19.818,18.438,17.575,17.887,15.691,14.892,14.699,-0.4281688311688333,-1.206748538011698,-0.760546728971964,0.5532690058479555,1.0674485981308444,2.856728971962619,0.8803684210526345,1.125098130841125,2.4748130841121525,0.9504766355140186,0.6350130718954264,Jmag_Hmag_Kmag,2.1,-60.041871,4.296,4.904,18.394,160.943122,14.81,5.761,6246,1,1,1,0
2187,19.709,19.538,18.133,17.352,16.728,15.48,14.949,14.823,-0.49196536796536905,-1.222415204678363,-1.2602616822429904,0.6260116959064349,0.21039252336448921,1.5755420560747675,0.9528421052631597,0.7550233644859837,1.7223738317757018,0.6060467289719618,0.4239411764705893,umag_gmag_Hamag,3.6,-59.7134,4.334,4.565,18.14,161.358534,15.2,5.451,6321,1,1,1,0
2211,19.182,18.924,17.071,15.745,16.683,13.072,12.107,11.567,-0.6163593073593072,-1.7683801169590652,-0.8834439252336452,0.49808771929824025,1.7338785046728926,4.611691588785047,1.0853157894736811,1.6735046728971934,3.8759252336448604,1.58899065420561,0.5061764705882359,umag_gmag_imag,6.91,-59.760242,4.602,5.026,17.023,161.357741,14.63,8.298,6391,1,0,1,0
2242,20.089,19.586,18.032,17.225,17.288,15.882,15.082,14.894,-0.2302727272727264,-1.0019649122806995,-0.6674766355140174,1.0753859649122812,1.333859813084111,2.942897196261678,1.0867894736842099,1.2098130841121482,2.4078084112149494,0.8246635514018674,0.6402614379084952,Jmag_Hmag_Kmag,5.92,-60.639041,4.304,3.643,18.039,160.479324,15.4,4.911,6474,1,1,0,0
2245,16.736,16.161,13.962,12.592,13.489,9.756,8.88,8.334,-0.46262337662337805,-1.6999766081871353,-0.7859719626168231,1.1075672514619905,2.314261682242993,5.267345794392524,1.4058421052631602,1.9801822429906564,4.2354626168224305,1.621495327102803,0.41207843137254757,umag_gmag_imag,3.46,-59.783881,4.624,4.526,13.954,161.403107,11.66,8.616,6480,1,0,0,0
2278,16.601,17.454,16.943,16.602,16.668,15.928,15.785,15.472,-1.0941212121212134,-1.3960877192982473,-1.2533457943925255,-0.7567836257309977,-0.6092897196261725,0.08165420560747408,0.3135789473684197,0.383780373831774,0.9010373831775697,0.35950467289719706,-0.12294771241830044,Jmag_Hmag_Kmag,1.13,-62.3716,4.535,4.871,16.92,158.535521,18.46,2.833,6584,1,0,1,0
2300,18.145,18.473,17.227,16.57,16.877,15.4,14.838,14.752,-0.9159393939393926,-1.541023391812864,-1.1409158878504666,0.1188421052631573,0.5778130841121475,1.9594672897196237,0.8656315789473672,1.0840841121495308,2.131098130841119,0.7430747663551398,0.48892810457516583,umag_gmag_imag,5.79,-59.118791,4.624,3.977,17.192,162.235011,18.54,4.505,6666,1,0,1,0
2319,14.907,14.96,13.477,12.501,13.108,10.554,9.899,9.574,-0.7527705627705638,-1.6204327485380132,-0.9963084112149541,0.24281871345029127,1.0713457943925233,3.166168224299067,0.9179473684210527,1.3122943925233652,2.909995327102806,1.1461869158878517,0.3788562091503286,umag_gmag_imag,2.2,-60.008171,4.617,4.622,13.482,161.382713,13.05,6.276,6720,1,0,0,0
2325,20.031,19.966,18.386,17.475,17.783,15.485,14.884,14.394,-0.6805411255411287,-1.5228304093567269,-1.0469018691588805,0.5368830409356751,1.0589065420560764,2.9417196261682212,1.0525789473684242,1.301042056074769,2.7198411214953264,0.9973551401869136,0.1846601307189532,umag_gmag_imag,1.48,-60.116962,4.506,4.545,18.36,161.28739,16.64,6.262,6738,1,1,1,0
2346,18.752,19.24,18.07,17.406,17.675,15.74,15.293,14.73,-1.0400779220779208,-1.6570409356725138,-1.2851261682242971,-0.12567251461988604,0.2980747663551393,1.6828785046728996,0.7855789473684185,0.9872663551401853,2.0338644859813093,0.7394205607476656,-0.031366013071893406,umag_gmag_imag | umag_gmag_Hamag,5.41,-60.491864,4.59,5.171,18.085,160.965388,18.11,5.32,6815,1,0,1,0
2368,20.667,19.974,18.156,17.098,17.713,15.135,14.238,13.941,-0.16484415584415502,-1.1402397660818704,-0.4586308411214932,1.2240760233918162,2.0804205607476685,4.339186915887855,1.2054736842105278,1.613060747663554,3.3329392523364514,1.2304299065420565,0.6446470588235307,Jmag_Hmag_Kmag,6.18,-58.366535,4.331,4.119,18.112,163.183396,14.4,6.449,6908,1,0,0,0
2372,19.326,19.216,17.891,17.121,17.128,15.607,14.836,14.661,-0.515216450216452,-1.225409356725148,-0.9535140186915896,0.49839181286550005,0.6933925233644902,2.2137663551401907,0.8792105263157926,0.972023364485985,2.100200934579443,0.7719626168224298,0.6223071895424821,Jmag_Hmag_Kmag,4.02,-60.40344,4.351,4.422,17.918,161.159966,15.42,5.126,6931,1,1,1,0
2377,18.913,19.117,17.864,17.017,17.298,15.421,14.794,14.741,-0.7952424242424249,-1.5425964912280714,-1.1305000000000018,0.018730994152044822,0.4988691588785018,2.247906542056074,0.7626315789473679,0.9911588785046719,2.3087803738317763,0.925785046728973,0.5819673202614362,umag_gmag_imag,3.03,-59.725237,4.6,4.517,17.657,161.877778,17.98,5.381,6942,1,0,1,0
2398,19.808,19.826,18.263,17.407,17.25,15.488,14.95,14.453,-0.7555194805194806,-1.5599356725146207,-1.3300747663551409,0.5037836257309904,0.5604018691588752,2.2043831775700933,1.0674210526315768,1.0943691588785027,2.30235046728972,0.8119813084112166,0.11571241830065399,umag_gmag_imag | umag_gmag_Hamag,4.45,-60.107154,4.531,4.452,18.239,161.560639,17.04,6.039,7032,1,1,1,0
2403,20.545,19.899,17.818,16.453,17.141,13.689,12.887,12.356,-0.3359437229437219,-1.5505730994152045,-0.7587757009345797,1.0666491228070158,2.068981308411212,4.953607476635515,1.2907368421052616,1.7678084112149515,3.9571775700934584,1.5578971962616839,0.35082352941176387,umag_gmag_imag,5.64,-60.149631,4.568,4.463,17.731,161.535914,15.01,8.337,7052,1,1,0,0
2421,19.823,19.928,18.641,17.864,18.171,16.114,15.144,14.887,-0.7122857142857159,-1.4206491228070177,-0.9999205607476646,0.23687719298246157,0.7251775700934613,2.343467289719624,0.8371578947368462,1.069570093457947,2.2920981308411204,0.8630747663551372,0.7516339869281055,Jmag_Hmag_Kmag,6.94,-60.084778,4.411,5.228,18.741,161.649855,16.11,5.828,7100,1,1,1,0
2461,20.563,19.935,18.357,17.419,18.031,15.791,15.508,14.862,-0.11659740259740214,-0.9757660818713436,-0.3417943925233641,1.065040935672516,1.889140186915887,3.9104299065420522,1.0349473684210528,1.4271869158878496,2.9707102803738286,1.1095887850467274,-0.26588888888888673,Jmag_Hmag_Kmag,5.27,-59.47463,4.306,3.645,18.392,162.418278,15.46,5.19,7252,1,0,0,0
2463,18.132,18.262,17.226,16.691,16.862,15.848,15.218,15.288,-0.6188484848484844,-1.1313976608187133,-0.8430841121495326,0.2552397660818737,0.5522056074766373,1.655149532710282,0.7262631578947382,0.8676074766355151,1.69805140186916,0.5829439252336448,0.6894771241830076,Jmag_Hmag_Kmag,7.16,-58.470408,4.355,3.821,17.407,163.392714,16.16,3.615,7260,1,1,1,0
2490,18.001,17.978,16.812,16.092,16.546,14.189,14.204,13.826,-0.5271904761904767,-1.179187134502926,-0.7063831775700947,0.31321052631578683,0.9304579439252321,2.4775607476635546,0.7491578947368411,1.0429439252336445,2.223317757009349,0.8472897196261708,-0.3361764705882359,Jmag_Hmag_Kmag,1.26,-58.97423,4.31,4.642,16.791,162.972767,14.2,4.764,7336,1,0,0,0
2506,20.24,19.916,18.203,17.294,17.928,15.761,15.013,14.961,-0.48429870129870356,-1.347333333333335,-0.6885794392523379,0.9313157894736848,1.7697102803738323,3.7399813084112132,1.1867368421052649,1.5857803738317773,3.093056074766355,1.0867570093457934,0.7038169934640519,Jmag_Hmag_Kmag,6.33,-58.800812,4.528,3.62,18.25,163.185596,17.45,5.573,7383,1,0,1,0
2517,16.409,16.985,16.032,15.448,15.745,14.396,13.974,13.821,-1.025683982683983,-1.5557251461988302,-1.2075887850467295,-0.33336257309941575,0.09804672897196076,1.332943925233642,0.6148947368421049,0.8202289719626159,1.7576682242990636,0.6672710280373825,0.29200000000000026,umag_gmag_imag,2.27,-59.723857,4.626,4.425,15.966,162.327136,17.67,4.064,7409,1,0,1,0
2557,16.428,16.871,15.822,15.178,15.529,13.791,13.385,13.305,-0.9379826839826815,-1.5221637426900547,-1.1265420560747634,-0.17734502923976225,0.32121495327103045,1.6895700934579427,0.6761578947368426,0.9134532710280372,1.9537897196261653,0.7424112149532691,0.3380261437908502,umag_gmag_imag,2.66,-59.829684,4.613,4.469,15.848,162.356656,16.91,4.487,7531,1,0,1,0
2602,16.372,16.329,14.754,13.676,14.382,11.335,10.509,10.062,-0.7001818181818193,-1.6480935672514627,-0.948696261682244,0.3067485380116972,1.2564299065420566,3.580149532710279,0.9508947368421068,1.402906542056076,3.177551401869159,1.2759439252336442,0.4461960784313723,umag_gmag_imag,1.22,-60.440569,4.514,5.138,14.751,161.905482,12.18,7.199,7688,1,0,0,0
2603,20.417,19.07,16.399,14.675,15.905,11.356,10.232,9.6,0.08665800865801043,-1.4544912280701734,-0.26507943925233524,1.920970760233919,3.537850467289719,7.2823738317757,1.6728947368421045,2.442467289719625,5.3088785046728955,2.068859813084112,0.5870065359477133,umag_imag_Hamag | gmag_imag_Hamag | rmag_imag_Hamag,5.29,-60.409997,4.509,4.318,16.371,161.942624,11.4,10.133,7689,1,0,0,0
2669,18.682,18.735,17.248,16.332,16.884,14.674,14.07,13.914,-0.7546580086580086,-1.584736842105263,-0.995799065420561,0.31980116959064064,1.0802056074766324,3.0412897196261657,0.956684210526314,1.318607476635512,2.8131308411214935,1.0707663551401871,0.4714509803921556,umag_gmag_imag,3.42,-58.906195,4.631,4.15,17.223,163.661619,17.6,5.667,7906,1,0,1,0
2780,17.102,17.36,16.556,16.024,16.242,15.353,15.368,15.152,-0.6373766233766218,-1.1096023391812846,-0.8274485981308394,-0.1011111111111116,0.24080373831775642,1.3510093457943917,0.4959999999999985,0.6587383177570079,1.4979719626168209,0.5931214953271028,-0.19852941176470734,Jmag_Hmag_Kmag,5.27,-62.031908,4.395,3.266,16.51,160.855955,16.58,2.809,8238,1,0,0,0
2798,17.483,17.546,16.535,16.043,16.31,15.1,14.927,14.5,-0.5400519480519465,-1.021052631578946,-0.6925514018691579,0.34954385964912227,0.7293084112149524,1.7743738317757014,0.7261578947368409,0.9069112149532697,1.7013785046728969,0.5668598130841129,-0.18981045751633946,Jmag_Hmag_Kmag,3.72,-60.939897,4.302,3.692,16.562,162.127995,15.21,3.324,8299,1,0,0,0
