,umag,gmag,rmag,imag,Hamag,Jmag,Hmag,Kmag,umag_gmag_rmag,umag_gmag_imag,umag_gmag_Hamag,umag_rmag_imag,umag_rmag_Hamag,umag_imag_Hamag,gmag_rmag_imag,gmag_rmag_Hamag,gmag_imag_Hamag,rmag_imag_Hamag,Jmag_Hmag_Kmag,outlier_columns,vsini,DEJ2000,e_gmag,Mass,e_y-Ha,e_rmag,e_logg,WHa06,clean,y-Ha,Rad,e_Mass,e_umag,e_Teff,e_vsini,b-y,MG,ymag,e_imag,Cluster,e_Hamag,e_ymag,e_Kmag,e_b-y,Teff,logg,Vc,WHa05,e_Jmag,RAJ2000,loggP,e_Rad,WHa07,SB?,e_Hmag,Code
1394,17.3,15.38,13.74,12.85,13.38,11.466,10.777,10.564,1.146147186147186,0.3073099415204672,0.9013084112149534,2.4774269005847955,3.2100934579439264,5.1137383177570115,1.1247368421052635,1.4734579439252344,2.923785046728974,1.0385981308411223,0.508019607843138,umag_gmag_rmag | umag_gmag_Hamag | umag_rmag_Hamag | umag_imag_Hamag,,-5.87325,0.0,,0.063,0.0,,,True,1.183,,,0.01,,,1.076,371,14.51,0.0,Basel 1,0.0,0.045,0.024,0.07,,,,,0.029,282.0592917,,,,,0.028,O
1395,19.78,16.67,14.23,12.84,13.77,10.572,9.561,9.217,1.9586580086580077,0.6686549707602327,1.632897196261681,3.859239766081872,5.102897196261682,8.104672897196263,1.6352631578947379,2.227196261682244,4.5209813084112165,1.6507476635514025,0.7187124183006534,umag_gmag_rmag | umag_gmag_imag | umag_gmag_Hamag | umag_rmag_imag | umag_rmag_Hamag | umag_imag_Hamag | gmag_rmag_imag | gmag_rmag_Hamag | gmag_imag_Hamag | rmag_imag_Hamag,,-5.9135833,0.01,,0.073,0.01,,,False,1.616,,,0.08,,,1.567,531,15.182,0.0,Basel 1,0.01,0.058,0.021,0.095,,,,,0.025,282.0593333,,,,,0.027,O
1397,19.14,17.13,15.16,13.99,14.72,12.46,11.693,11.448,1.0804329004329025,0.008479532163745418,0.7824766355140214,2.5568421052631587,3.552336448598132,6.064205607476636,1.2926315789473675,1.7664485981308402,3.6823831775700926,1.3746728971962618,0.5588300653594791,umag_gmag_rmag | umag_gmag_Hamag | umag_rmag_Hamag | umag_imag_Hamag | gmag_imag_Hamag | rmag_imag_Hamag,,-5.8472222,0.01,,0.094,0.01,,,False,1.474,,,0.04,,,1.353,263,16.274,0.02,Basel 1,0.03,0.067,0.023,0.111,,,,,0.023,282.06225,,,,,0.022,O
1403,16.6,14.81,13.24,12.38,12.9,11.067,10.342,10.177,1.0491774891774899,0.24105263157894874,0.8171495327102815,2.313918128654973,3.029532710280375,4.871214953271028,1.0721052631578956,1.4127102803738323,2.816355140186915,1.005794392523364,0.5848039215686264,umag_gmag_rmag | umag_gmag_Hamag,,-5.8905,0.0,,0.057,0.0,,,True,1.16,,,0.01,,,1.033,437,14.008,0.0,Basel 1,0.0,0.041,0.027,0.063,,,,,,282.0667083,,,,,0.022,O
1405,19.27,16.12,13.86,12.6,13.4,10.574,9.658,9.369,2.0835930735930717,0.9062573099415183,1.764579439252335,3.8773684210526325,4.962897196261683,7.671869158878505,1.5305263157894755,2.047196261682245,4.114392523364488,1.4842990654205608,0.6704444444444451,umag_gmag_rmag | umag_gmag_imag | umag_gmag_Hamag | umag_rmag_imag | umag_rmag_Hamag | umag_imag_Hamag | gmag_rmag_imag | gmag_rmag_Hamag | gmag_imag_Hamag | rmag_imag_Hamag,,-5.7722222,0.0,,0.071,0.0,,,False,1.628,,,0.05,,,1.533,30,14.998,0.0,Basel 1,0.0,0.056,0.019,0.09,,,,,0.023,282.067375,,,,,0.021,O
1411,18.48,16.25,14.42,13.42,14.06,11.863,11.062,10.838,1.3664935064935069,0.42608187134502984,1.1145327102803748,2.8436257309941526,3.7100934579439264,5.861495327102805,1.2510526315789474,1.663457943925234,3.3055140186915892,1.1794392523364488,0.6106732026143791,umag_gmag_rmag | umag_gmag_imag | umag_gmag_Hamag | umag_rmag_imag | umag_rmag_Hamag | umag_imag_Hamag,,-5.9126111,0.0,,0.074,0.0,,,True,1.313,,,0.03,,,1.201,527,15.29,0.0,Basel 1,0.0,0.053,0.021,0.084,,,,,0.022,282.0717917,,,,,0.023,O
1412,18.08,16.27,14.43,13.35,14.02,11.945,11.323,11.092,0.9417748917748906,-0.05128654970760338,0.6639719626168215,2.336315789473683,3.2514953271028024,5.569065420560746,1.2147368421052631,1.650327102803738,3.417803738317757,1.2678504672897197,0.4257254901960784,umag_gmag_rmag | umag_gmag_Hamag | umag_rmag_Hamag | umag_imag_Hamag,,-5.8198056,0.0,,0.07,0.01,,,False,1.004,,,0.02,,,0.975,175,15.026,0.02,Basel 1,0.02,0.047,0.051,0.072,,,,,0.056,282.0723333,,,,,0.069,O
1413,18.68,16.7,14.87,13.8,14.45,12.431,11.713,11.519,1.1164935064935069,0.13146198830409506,0.8339719626168232,2.5084795321637454,3.40177570093458,5.6940186915887825,1.2105263157894748,1.6357009345794393,3.382943925233642,1.2522429906542039,0.5531633986928113,umag_gmag_rmag | umag_gmag_Hamag | umag_rmag_Hamag | umag_imag_Hamag,,-5.8144444,0.0,,0.083,0.01,,,False,1.289,,,0.03,,,1.123,156,15.813,0.02,Basel 1,0.02,0.058,0.027,0.09,,,,,0.028,282.0724583,,,,,0.03,O
1415,17.65,15.69,13.97,12.96,13.55,11.756,11.092,10.871,1.148398268398268,0.21982456140350903,0.8699999999999999,2.451461988304092,3.2717757009345774,5.428878504672895,1.1352631578947359,1.5257009345794381,3.168364485981307,1.1754205607476633,0.4762222222222219,umag_gmag_rmag | umag_gmag_Hamag | umag_rmag_Hamag | umag_imag_Hamag,,-5.95425,0.0,,0.066,0.0,,,True,1.179,,,0.01,,,1.088,697,14.858,0.01,Basel 1,0.0,0.047,0.021,0.073,,,,,0.026,282.0734167,,,,,0.029,O
1420,17.07,16.67,15.65,14.91,15.36,14.136,11.739,11.387,-0.08129870129870331,-0.721871345029242,-0.2672429906542081,0.5198830409356724,1.1381308411214945,2.723551401869158,0.5915789473684223,0.8858411214953281,2.0943457943925243,0.8661682242990655,2.0979150326797367,Jmag_Hmag_Kmag,,-5.9613333,0.0,,0.101,0.01,,,True,0.672,,,0.01,,,0.674,727,16.123,0.01,Basel 1,0.01,0.058,,0.086,,,,,0.06,282.07925,,,,,,O
1422,19.22,17.0,15.11,13.99,14.66,12.526,11.654,11.411,1.3281818181818168,0.30134502923976525,1.0281308411214944,2.747660818713451,3.672616822429907,6.069065420560746,1.2415789473684222,1.681822429906543,3.5078037383177567,1.3078504672897189,0.6655294117647055,umag_gmag_rmag | umag_gmag_Hamag | umag_rmag_imag | umag_rmag_Hamag | umag_imag_Hamag | gmag_imag_Hamag,,-5.9273056,0.0,,0.091,0.01,,,True,1.294,,,0.04,,,1.138,587,16.099,0.01,Basel 1,0.01,0.062,0.023,0.1,,,,,0.028,282.0812083,,,,,0.026,O
1423,19.86,17.31,15.16,13.93,14.72,12.282,11.429,11.167,1.535497835497837,0.39549707602339357,1.2307943925233664,3.203859649122806,4.27233644859813,6.919345794392524,1.4378947368421038,1.94644859813084,3.9669626168224297,1.4514953271028044,0.630385620915032,umag_gmag_rmag | umag_gmag_imag | umag_gmag_Hamag | umag_rmag_imag | umag_rmag_Hamag | umag_imag_Hamag | gmag_rmag_Hamag | gmag_imag_Hamag | rmag_imag_Hamag,,-5.7836667,0.01,,0.094,0.01,,,True,1.442,,,0.05,,,1.25,55,16.258,0.01,Basel 1,0.01,0.067,0.026,0.11,,,,,0.028,282.08225,,,,,0.026,O
1424,17.04,15.08,13.58,12.62,13.21,11.448,10.748,10.57,1.2522077922077912,0.39192982456140224,1.007523364485981,2.2922807017543843,3.100373831775701,5.158878504672899,0.9442105263157891,1.328831775700935,2.8983644859813102,1.1254205607476648,0.5487581699346424,umag_gmag_rmag | umag_gmag_imag | umag_gmag_Hamag | umag_imag_Hamag,,-5.9283056,0.0,,0.062,0.01,,,False,1.178,,,0.01,,,1.055,592,14.453,0.02,Basel 1,0.01,0.044,0.023,0.068,,,,,0.023,282.0827917,,,,,0.021,O
1426,20.25,17.09,14.74,13.37,14.22,11.565,10.658,10.35,2.0511255411255416,0.7887719298245615,1.6981775700934587,3.8435672514619874,5.004579439252336,7.944485981308413,1.5568421052631571,2.1094392523364487,4.351542056074768,1.6083177570093472,0.6453006535947714,umag_gmag_rmag | umag_gmag_imag | umag_gmag_Hamag | umag_rmag_imag | umag_rmag_Hamag | umag_imag_Hamag | gmag_rmag_imag | gmag_rmag_Hamag | gmag_imag_Hamag | rmag_imag_Hamag,,-5.9570556,0.01,,0.087,0.0,,,True,1.66,,,0.1,,,1.654,710,15.965,0.01,Basel 1,0.01,0.068,0.019,0.114,,,,,0.024,282.0842917,,,,,0.022,O
1427,19.87,17.09,15.19,14.02,14.76,12.454,11.626,11.371,1.8834632034632044,0.8230994152046796,1.593224299065422,3.2568421052631598,4.262056074766357,6.776728971962618,1.222631578947369,1.7010747663551407,3.61981308411215,1.3774766355140187,0.6113333333333354,umag_gmag_rmag | umag_gmag_imag | umag_gmag_Hamag | umag_rmag_imag | umag_rmag_Hamag | umag_imag_Hamag | gmag_imag_Hamag | rmag_imag_Hamag,,-5.9766944,0.01,,0.094,0.01,,,False,1.387,,,0.06,,,1.358,787,16.205,0.02,Basel 1,0.02,0.067,0.033,0.111,,,,,0.035,282.0844583,,,,,0.034,O
1434,20.22,17.12,15.0,13.71,14.55,11.923,11.04,10.713,2.0996536796536773,0.9263742690058461,1.790981308411213,3.650877192982456,4.782616822429906,7.561962616822427,1.3731578947368437,1.9118224299065434,4.03411214953271,1.5255140186915879,0.605156862745099,umag_gmag_rmag | umag_gmag_imag | umag_gmag_Hamag | umag_rmag_imag | umag_rmag_Hamag | umag_imag_Hamag | gmag_rmag_Hamag | gmag_imag_Hamag | rmag_imag_Hamag,,-5.9857222,0.01,,0.089,0.01,,,False,1.506,,,0.09,,,1.428,820,16.071,0.02,Basel 1,0.02,0.066,0.021,0.111,,,,,0.025,282.090375,,,,,0.026,O
1435,20.22,17.12,15.0,13.71,14.55,11.923,11.04,10.713,2.0996536796536773,0.9263742690058461,1.790981308411213,3.650877192982456,4.782616822429906,7.561962616822427,1.3731578947368437,1.9118224299065434,4.03411214953271,1.5255140186915879,0.605156862745099,umag_gmag_rmag | umag_gmag_imag | umag_gmag_Hamag | umag_rmag_imag | umag_rmag_Hamag | umag_imag_Hamag | gmag_rmag_Hamag | gmag_imag_Hamag | rmag_imag_Hamag,,-5.9857222,0.01,,0.089,0.01,,,False,1.507,,,0.09,,,1.438,821,16.072,0.02,Basel 1,0.02,0.066,0.021,0.111,,,,,0.025,282.090375,,,,,0.026,O
1443,17.26,15.18,13.43,12.44,13.04,10.891,10.163,9.948,1.2542424242424262,0.3334502923976628,0.9900000000000018,2.6257894736842124,3.4509345794392536,5.57140186915888,1.176842105263158,1.5695794392523363,3.1857943925233645,1.1582242990654206,0.5453202614379085,umag_gmag_rmag | umag_gmag_Hamag | umag_rmag_Hamag | umag_imag_Hamag,,-5.7664167,0.0,,0.058,0.0,,,True,1.322,,,0.01,,,1.15,15,14.252,0.0,Basel 1,0.0,0.045,0.029,0.069,,,,,0.03,282.0938333,,,,,0.035,O
1446,19.63,17.01,15.04,13.79,14.61,12.105,11.212,10.944,1.6904329004328968,0.5674853801169553,1.3975700934579405,3.0695321637426902,4.172056074766355,6.8669158878504675,1.2463157894736867,1.7710747663551427,3.829252336448601,1.4799065420560749,0.665287581699348,umag_gmag_rmag | umag_gmag_imag | umag_gmag_Hamag | umag_rmag_imag | umag_rmag_Hamag | umag_imag_Hamag | gmag_imag_Hamag | rmag_imag_Hamag,,-5.9582222,0.0,,0.09,0.01,,,False,1.476,,,0.05,,,1.327,713,16.125,0.01,Basel 1,0.01,0.065,0.021,0.108,,,,,0.026,282.0974583,,,,,0.026,O
1459,19.79,17.22,15.36,14.2,14.94,12.669,11.874,11.66,1.6923376623376631,0.644970760233919,1.4086915887850475,3.019005847953216,4.02177570093458,6.516728971962617,1.1884210526315784,1.6657009345794387,3.569813084112149,1.3674766355140189,0.6131699346405225,umag_gmag_rmag | umag_gmag_imag | umag_gmag_Hamag | umag_rmag_imag | umag_rmag_Hamag | umag_imag_Hamag | gmag_imag_Hamag | rmag_imag_Hamag,,-5.9833333,0.01,,0.098,0.01,,,False,1.412,,,0.06,,,1.339,810,16.384,0.02,Basel 1,0.02,0.07,0.033,0.115,,,,,0.028,282.1039167,,,,,0.033,O
1461,19.15,17.3,15.58,14.53,15.15,13.255,12.534,12.355,1.0383982683982662,0.08432748538011414,0.7549065420560728,2.2928070175438577,3.152056074766354,5.396448598130841,1.1121052631578952,1.521074766355141,3.2306542056074785,1.2238317757009356,0.568908496732026,umag_gmag_rmag | umag_gmag_Hamag | umag_rmag_Hamag | umag_imag_Hamag,,-5.9458611,0.01,,0.1,0.01,,,True,1.143,,,0.04,,,1.079,663,16.343,0.01,Basel 1,0.01,0.066,0.037,0.106,,,,,0.03,282.104625,,,,,0.05,O
1462,19.19,15.99,13.72,12.08,13.14,9.836,8.866,8.505,2.12887445887446,0.7076608187134514,1.74836448598131,3.4751461988304095,4.906261682242992,8.43747663551402,1.320526315789473,2.001682242990654,4.697570093457944,1.9371962616822438,0.6632679738562108,umag_gmag_rmag | umag_gmag_imag | umag_gmag_Hamag | umag_rmag_imag | umag_rmag_Hamag | umag_imag_Hamag | gmag_rmag_Hamag | gmag_imag_Hamag | rmag_imag_Hamag,,-5.9663611,0.0,,0.065,0.0,,,False,1.607,,,0.05,,,1.4,750,14.629,0.01,Basel 1,0.0,0.051,0.021,0.081,,,,,0.024,282.1047917,,,,,0.042,O
1465,18.77,16.85,15.06,13.99,14.65,12.65,11.881,11.712,1.0753679653679633,0.09695906432748291,0.7994392523364464,2.4084795321637418,3.311495327102803,5.606542056074765,1.1705263157894745,1.6003271028037391,3.3503738317757024,1.255046728971963,0.6254052287581697,umag_gmag_rmag | umag_gmag_Hamag | umag_rmag_Hamag | umag_imag_Hamag,,-5.8181389,0.01,,0.086,0.01,,,True,1.24,,,0.03,,,1.106,169,15.92,0.01,Basel 1,0.01,0.059,0.033,0.092,,,,,0.032,282.1055833,,,,,0.032,O
1473,18.09,15.64,13.88,12.79,13.48,11.344,10.575,10.321,1.619523809523809,0.633333333333332,1.349813084112149,2.884152046783623,3.821214953271027,6.164112149532713,1.1289473684210516,1.5749532710280372,3.3626635514018712,1.2834579439252356,0.5531830065359482,umag_gmag_rmag | umag_gmag_imag | umag_gmag_Hamag | umag_rmag_imag | umag_rmag_Hamag | umag_imag_Hamag,,-5.9384167,0.0,,0.063,0.01,,,True,1.322,,,0.02,,,1.186,630,14.785,0.01,Basel 1,0.01,0.048,0.021,0.075,,,,,0.024,282.109625,,,,,0.024,O
1475,18.34,16.24,14.47,13.48,14.09,11.985,11.21,11.009,1.2648051948051973,0.34070175438596784,1.0049065420560772,2.66578947368421,3.500654205607475,5.623925233644858,1.1968421052631557,1.594205607476633,3.213224299065418,1.1610280373831776,0.604215686274508,umag_gmag_rmag | umag_gmag_Hamag | umag_rmag_Hamag | umag_imag_Hamag,,-5.8821389,0.0,,0.075,0.0,,,True,1.26,,,0.03,,,1.235,411,15.336,0.0,Basel 1,0.0,0.054,0.021,0.086,,,,,0.022,282.1111667,,,,,0.021,O
1480,18.47,16.63,15.09,14.06,14.69,12.742,12.043,11.85,1.1133333333333337,0.201812865497077,0.851869158878505,2.127134502923977,2.991214953271027,5.198971962616819,0.9436842105263153,1.3549532710280365,3.0380841121495306,1.2066355140186906,0.5350130718954268,umag_gmag_rmag | umag_gmag_Hamag | umag_imag_Hamag,,-5.9887222,0.0,,0.086,0.01,,,True,1.191,,,0.02,,,1.06,829,15.909,0.01,Basel 1,0.01,0.058,0.023,0.092,,,,,0.026,282.1175,,,,,0.024,O
1482,17.62,17.34,16.28,15.51,15.97,14.925,13.757,13.612,-0.22017316017315836,-0.8864912280701742,-0.4178037383177553,0.4033918128654955,1.038691588785046,2.6860747663551425,0.6142105263157875,0.9165887850467275,2.17177570093458,0.898971962616824,1.0447973856209165,Jmag_Hmag_Kmag,,-5.8990833,0.01,,0.116,0.02,,,False,0.864,,,0.01,,,0.837,471,16.73,0.03,Basel 1,0.02,0.072,,0.108,,,,,0.054,282.1183333,,,,,,O
1483,20.47,16.94,14.48,13.04,13.98,10.856,9.8,9.46,2.3692207792207762,1.044035087719295,2.0223364485981286,4.238421052631576,5.504018691588784,8.607196261682244,1.6263157894736846,2.228691588785048,4.598411214953274,1.7035514018691607,0.7671111111111104,umag_gmag_rmag | umag_gmag_imag | umag_gmag_Hamag | umag_rmag_imag | umag_rmag_Hamag | umag_imag_Hamag | gmag_rmag_imag | gmag_rmag_Hamag | gmag_imag_Hamag | rmag_imag_Hamag,,-5.8846667,0.01,,0.082,0.0,,,True,1.717,,,0.13,,,1.643,420,15.681,0.0,Basel 1,0.0,0.064,0.019,0.106,,,,,0.023,282.1187917,,,,,0.021,O
1484,19.29,17.59,16.0,15.15,15.65,13.746,13.134,12.915,0.9497402597402592,0.14467836257309918,0.7118691588785044,2.256081871345029,2.949813084112149,4.766168224299064,1.0978947368421055,1.4280841121495327,2.8114953271028034,0.9901869158878501,0.4259215686274501,umag_gmag_rmag | umag_gmag_Hamag,,-5.92175,0.01,,0.107,0.0,,,True,0.993,,,0.05,,,0.98,567,16.445,0.01,Basel 1,0.01,0.068,0.054,0.107,,,,,0.058,282.1204583,,,,,0.076,O
1486,17.36,15.59,13.92,12.94,13.54,11.765,11.141,10.931,0.9819913419913416,0.08081871345029201,0.7258411214953266,2.2479532163742686,3.0706542056074753,5.171401869158878,1.1026315789473682,1.4942056074766352,3.0957943925233646,1.1482242990654208,0.44556862745098025,umag_gmag_rmag | umag_gmag_Hamag | umag_imag_Hamag,,-5.9005556,0.01,,0.066,0.02,,,False,1.172,,,0.01,,,1.098,478,14.798,0.02,Basel 1,0.02,0.047,0.024,0.073,,,,,0.024,282.1220417,,,,,0.026,O
1488,18.32,16.76,15.04,13.98,14.64,12.688,11.919,11.789,0.7483982683982661,-0.2120467836257327,0.4801869158878489,1.990643274853804,2.8912149532710307,5.166542056074766,1.1063157894736875,1.5349532710280405,3.2703738317757023,1.2450467289719613,0.6585424836601302,umag_imag_Hamag,,-5.8115,0.01,,0.086,0.01,,,True,1.227,,,0.02,,,1.112,144,15.937,0.01,Basel 1,0.01,0.059,0.019,0.092,,,,,0.024,282.1240833,,,,,0.021,O
1489,18.19,16.07,14.12,13.0,13.71,11.556,10.762,10.55,1.1998701298701304,0.1630994152046794,0.9179439252336463,2.7076608187134537,3.6714953271028072,6.079158878504675,1.3015789473684227,1.7603271028037402,3.597523364485982,1.319065420560747,0.6138692810457506,umag_gmag_rmag | umag_gmag_Hamag | umag_rmag_Hamag | umag_imag_Hamag | gmag_imag_Hamag,,-5.8193889,0.0,,0.071,0.01,,,True,1.334,,,0.02,,,1.259,174,15.084,0.01,Basel 1,0.01,0.052,0.021,0.082,,,,,0.024,282.1240833,,,,,0.026,O
1493,17.19,16.54,15.58,14.81,15.3,13.208,12.686,13.626,0.19701298701298964,-0.4527485380116927,0.018411214953274135,0.673391812865499,1.3378504672897216,2.993644859813085,0.5142105263157888,0.8304672897196256,2.0940654205607463,0.9073831775700931,1.320692810457516,Jmag_Hmag_Kmag,,-5.9605,0.0,,0.094,0.01,,,True,0.654,,,0.01,,,0.781,725,15.882,0.01,Basel 1,0.01,0.055,0.068,0.083,,,,,,282.1259167,,,,,,O
1495,16.68,16.26,15.41,14.68,15.14,14.009,12.597,12.315,0.018917748917746446,-0.5871345029239794,-0.15046728971962842,0.3820467836257303,1.007570093457944,2.5760747663551413,0.42736842105263284,0.7250934579439269,1.921775700934582,0.8589719626168231,1.172392156862746,Jmag_Hmag_Kmag,,-5.9639444,0.0,,0.091,0.01,,,True,0.773,,,0.01,,,0.683,736,15.91,0.01,Basel 1,0.01,0.055,,0.081,,,,,0.041,282.1260833,,,,,,O
1497,19.08,16.8,15.15,14.09,14.75,12.669,11.922,11.733,1.501428571428569,0.552573099415202,1.2358411214953247,2.640643274853799,3.5412149532710258,5.8165420560747645,1.0363157894736843,1.4649532710280377,3.200373831775702,1.2450467289719631,0.5864117647058822,umag_gmag_rmag | umag_gmag_imag | umag_gmag_Hamag | umag_rmag_Hamag | umag_imag_Hamag,,-5.9694444,0.01,,0.089,0.01,,,True,1.275,,,0.04,,,1.16,761,16.026,0.01,Basel 1,0.01,0.062,0.026,0.099,,,,,0.029,282.1270417,,,,,0.028,O
1498,19.34,17.3,15.45,14.35,15.03,12.96,12.267,12.078,1.1670562770562756,0.15959064327485262,0.8837850467289707,2.5519883040935687,3.48177570093458,5.841588785046729,1.213157894736844,1.6557009345794407,3.4552336448598138,1.2906542056074763,0.5324117647058837,umag_gmag_rmag | umag_gmag_Hamag | umag_rmag_Hamag | umag_imag_Hamag | gmag_imag_Hamag,,-5.9045278,0.01,,0.101,0.02,,,False,1.33,,,0.05,,,1.235,492,16.441,0.02,Basel 1,0.02,0.07,0.03,0.115,,,,,0.037,282.1274167,,,,,0.035,O
1500,18.3,15.73,13.94,12.81,13.51,11.331,10.514,10.287,1.7253679653679654,0.7087134502923982,1.4392523364485983,2.9854970760233943,3.9420560747663567,6.36663551401869,1.1357894736842122,1.5910747663551412,3.4400934579439246,1.3262616822429896,0.6241241830065374,umag_gmag_rmag | umag_gmag_imag | umag_gmag_Hamag | umag_rmag_imag | umag_rmag_Hamag | umag_imag_Hamag | gmag_imag_Hamag,,-5.9716111,0.0,,0.065,0.01,,,False,1.371,,,0.02,,,1.26,769,14.91,0.01,Basel 1,0.01,0.05,0.021,0.079,,,,,0.022,282.1286667,,,,,0.021,O
1501,16.94,15.45,14.08,13.12,13.71,11.936,11.255,11.076,0.8435497835497859,0.0047953216374290175,0.6037383177570124,1.6922807017543864,2.500373831775703,4.558878504672901,0.8142105263157883,1.1988317757009341,2.7683644859813095,1.1254205607476648,0.5289084967320251,umag_gmag_rmag,,-5.9578611,0.0,,0.065,0.01,,,True,1.077,,,0.01,,,0.984,712,14.77,0.01,Basel 1,0.01,0.045,0.03,0.07,,,,,0.03,282.1294167,,,,,0.028,O
1507,19.91,17.13,14.89,13.6,14.43,11.867,10.986,10.75,1.723030303030305,0.5298830409356743,1.4047663551401888,3.450877192982455,4.572897196261681,7.349439252336449,1.4931578947368402,2.027196261682241,4.146682242990654,1.5227102803738328,0.6804771241830062,umag_gmag_rmag | umag_gmag_imag | umag_gmag_Hamag | umag_rmag_imag | umag_rmag_Hamag | umag_imag_Hamag | gmag_rmag_Hamag | gmag_imag_Hamag | rmag_imag_Hamag,,-5.862,0.02,,0.09,0.01,,,False,1.583,,,0.07,,,1.527,336,16.073,0.01,Basel 1,0.01,0.068,0.019,0.113,,,,,0.024,282.1319167,,,,,0.022,O
1508,19.49,17.1,15.08,13.92,14.66,12.43,11.662,11.44,1.4368398268398233,0.3629824561403474,1.1471962616822395,2.9990058479532147,4.001775700934578,6.496728971962615,1.3484210526315803,1.8257009345794406,3.729813084112151,1.3674766355140189,0.5793725490196057,umag_gmag_rmag | umag_gmag_imag | umag_gmag_Hamag | umag_rmag_imag | umag_rmag_Hamag | umag_imag_Hamag | gmag_imag_Hamag | rmag_imag_Hamag,,-5.8995556,0.01,,0.091,0.02,,,False,1.358,,,0.05,,,1.335,473,16.085,0.02,Basel 1,0.02,0.065,0.028,0.107,,,,,0.029,282.1353333,,,,,0.027,O
1509,18.93,17.25,15.64,14.65,15.24,13.41,12.703,12.567,0.9203030303030304,0.022690058479532427,0.6562149532710282,2.0857894736842097,2.901214953271027,5.018878504672896,1.0368421052631573,1.4249532710280368,3.038364485981308,1.1554205607476637,0.5914444444444459,umag_gmag_rmag,,-5.9553611,0.01,,0.104,0.01,,,True,1.25,,,0.03,,,1.048,701,16.506,0.01,Basel 1,0.01,0.07,0.028,0.109,,,,,0.026,282.135375,,,,,0.025,O
1510,19.15,16.82,15.03,13.91,14.62,12.372,11.628,11.399,1.4853679653679634,0.4750877192982441,1.2094392523364466,2.757660818713451,3.721495327102803,6.12915887850467,1.1415789473684226,1.6003271028037391,3.4375233644859806,1.3190654205607466,0.5494248366013061,umag_gmag_rmag | umag_gmag_imag | umag_gmag_Hamag | umag_rmag_imag | umag_rmag_Hamag | umag_imag_Hamag | gmag_imag_Hamag,,-5.9174722,0.0,,0.089,0.0,,,True,1.358,,,0.04,,,1.253,549,16.035,0.01,Basel 1,0.01,0.063,0.023,0.1,,,,,0.028,282.13575,,,,,0.027,O
1515,18.14,16.4,14.77,13.84,14.4,12.667,12.035,11.86,0.9708658008658034,0.10818713450292705,0.7213084112149564,2.238771929824563,3.010373831775703,5.001308411214954,1.0915789473684203,1.458831775700934,2.976074766355139,1.0870093457943923,0.48330718954248275,umag_gmag_rmag | umag_gmag_Hamag,,-5.7981944,0.0,,0.076,0.01,,,True,1.139,,,0.02,,,1.052,93,15.613,0.01,Basel 1,0.01,0.053,0.039,0.083,,,,,0.029,282.1387917,,,,,0.044,O
1520,19.06,17.19,15.48,14.45,15.07,13.234,12.579,12.401,1.0631168831168802,0.12345029239765726,0.7901869158878476,2.3271345029239736,3.181495327102802,5.386448598130841,1.113684210526316,1.520327102803739,3.200654205607479,1.203831775700936,0.5037581699346392,umag_gmag_rmag | umag_gmag_Hamag | umag_rmag_Hamag | umag_imag_Hamag,,-5.9161111,0.01,,0.102,0.02,,,False,1.207,,,0.04,,,1.162,542,16.407,0.02,Basel 1,0.03,0.069,0.026,0.109,,,,,0.023,282.148625,,,,,0.025,O
1523,19.14,16.12,13.92,12.6,13.42,10.915,10.032,9.744,1.9819047619047612,0.7762573099415193,1.6447663551401863,3.614385964912281,4.734018691588786,7.5669158878504685,1.4357894736842116,1.9686915887850478,4.1292523364486,1.5499065420560751,0.6382941176470578,umag_gmag_rmag | umag_gmag_imag | umag_gmag_Hamag | umag_rmag_imag | umag_rmag_Hamag | umag_imag_Hamag | gmag_rmag_Hamag | gmag_imag_Hamag | rmag_imag_Hamag,,-5.9776944,0.01,,0.07,0.01,,,False,1.539,,,0.03,,,1.39,791,15.036,0.01,Basel 1,0.02,0.054,0.022,0.086,,,,,0.023,282.149625,,,,,0.023,O
1525,18.91,16.74,14.83,13.68,14.4,12.239,11.433,11.221,1.2687445887445912,0.21947368421052915,0.9781308411214982,2.681169590643275,3.6620560747663555,6.131682242990655,1.2442105263157877,1.7110747663551387,3.5949532710280367,1.3518691588785052,0.6258692810457528,umag_gmag_rmag | umag_gmag_Hamag | umag_rmag_Hamag | umag_imag_Hamag | gmag_imag_Hamag | rmag_imag_Hamag,,-5.9858611,0.01,,0.083,0.01,,,False,1.353,,,0.04,,,1.199,822,15.833,0.01,Basel 1,0.02,0.059,0.029,0.095,,,,,0.025,282.15,,,,,0.025,O
1526,17.76,15.83,14.09,13.09,13.73,11.81,11.106,10.887,1.1089610389610405,0.18345029239766242,0.8603738317757028,2.453625730994154,3.3200934579439276,5.471495327102806,1.1610526315789476,1.573457943925234,3.2155140186915894,1.1794392523364488,0.5179215686274521,umag_gmag_rmag | umag_gmag_Hamag | umag_rmag_Hamag | umag_imag_Hamag,,-5.7923889,0.0,,0.068,0.01,,,True,1.177,,,0.02,,,1.084,79,14.918,0.01,Basel 1,0.01,0.048,0.021,0.074,,,,,0.026,282.1504167,,,,,0.023,O
