,umag,gmag,rmag,imag,Hamag,Jmag,Hmag,Kmag,umag_gmag_rmag_imag,umag_gmag_rmag_Hamag,umag_gmag_imag_Hamag,umag_rmag_imag_Hamag,gmag_rmag_imag_Hamag,outlier_columns,vsini,DEJ2000,e_gmag,Mass,e_y-Ha,e_rmag,e_logg,WHa06,clean,y-Ha,Rad,e_Mass,e_umag,e_Teff,e_vsini,b-y,MG,ymag,e_imag,Cluster,e_Hamag,e_ymag,e_Kmag,e_b-y,Teff,logg,Vc,WHa05,e_Jmag,RAJ2000,loggP,e_Rad,WHa07,SB?,e_Hmag,Code
252,18.51,18.02,16.62,16.24,16.38,15.647,15.502,15.344,-0.2003333333333358,-1.048823529411776,0.13511627906976814,1.212790697674417,1.0776744186046487,gmag_rmag_imag_Hamag,,-25.49625,0.01,,0.073,0.01,,,False,0.492,,,0.01,,,0.409,889,16.898,0.01,Haffner 16,0.01,0.049,0.188,0.066,,,,,0.325,117.493625,,,,,0.459,O
253,17.6,17.02,15.75,15.44,15.56,14.897,14.784,14.861,0.016833333333334366,-0.6382352941176423,0.27581395348837157,1.2695348837209273,0.9937209302325556,gmag_rmag_imag_Hamag,,-25.521,0.0,,0.059,0.01,,,True,0.387,,,0.01,,,0.326,1014,15.997,0.01,Haffner 16,0.01,0.034,0.14,0.045,,,,,0.057,117.4937083,,,,,0.075,O
255,17.88,17.38,15.93,15.51,15.66,14.81,14.557,14.437,-0.2629999999999997,-1.231176470588233,0.1197674418604644,1.2244186046511607,1.1046511627906963,gmag_rmag_imag_Hamag,,-25.4798333,0.0,,0.061,0.01,,,False,0.584,,,0.01,,,0.467,804,16.289,0.01,Haffner 16,0.01,0.038,0.096,0.052,,,,,0.038,117.495125,,,,,0.048,O
256,20.66,18.69,16.47,15.72,16.01,14.595,13.883,13.67,0.6075000000000024,-0.9794117647058673,1.2348837209302295,2.787209302325579,1.5523255813953494,umag_gmag_rmag_imag | umag_gmag_imag_Hamag | umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,,-25.5177222,0.01,,0.089,0.01,,,False,1.169,,,0.04,,,0.886,1004,17.186,0.01,Haffner 16,0.01,0.07,0.043,0.103,,,,,0.021,117.4952917,,,,,0.022,O
257,18.81,18.19,16.6,16.12,16.3,15.296,14.89,15.032,-0.2520000000000031,-1.3035294117647136,0.16372093023255652,1.3393023255813945,1.1755813953488379,gmag_rmag_imag_Hamag,,-25.4939167,0.01,,0.075,0.01,,,False,0.872,,,0.01,,,0.468,881,17.129,0.01,Haffner 16,0.01,0.054,0.142,0.073,,,,,0.039,117.4960417,,,,,0.062,O
258,20.61,19.05,17.15,16.65,16.78,15.775,15.238,15.082,0.6516666666666656,-0.8123529411764561,1.230465116279062,2.8311627906976633,1.600697674418601,umag_gmag_rmag_imag | umag_gmag_imag_Hamag | umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,,-25.4742222,0.01,,0.111,0.01,,,False,0.903,,,0.04,,,0.55,781,17.713,0.01,Haffner 16,0.01,0.088,0.156,0.12,,,,,0.067,117.49875,,,,,0.072,O
259,18.21,17.71,16.29,15.93,16.04,15.39,15.048,14.876,-0.1539999999999988,-1.1029411764705888,0.22116279069767603,1.387906976744191,1.1667441860465146,gmag_rmag_imag_Hamag,,-25.4741667,0.01,,0.068,0.01,,,False,0.537,,,0.01,,,0.447,779,16.633,0.01,Haffner 16,0.01,0.045,0.142,0.06,,,,,0.061,117.500375,,,,,0.057,O
260,18.81,18.25,16.73,16.31,16.47,15.758,15.213,15.204,-0.20300000000000418,-1.1070588235294236,0.15441860465116136,1.3060465116279052,1.1516279069767437,gmag_rmag_imag_Hamag,,-25.4651111,0.01,,0.091,0.01,,,False,0.657,,,0.01,,,0.493,720,17.151,0.01,Haffner 16,0.01,0.068,0.185,0.093,,,,,0.067,117.5017083,,,,,0.08,O
262,15.73,15.26,14.1,13.85,13.91,13.486,13.312,13.194,0.015833333333334088,-0.7482352941176436,0.3179069767441855,1.3397674418604637,1.0218604651162781,gmag_rmag_imag_Hamag,,-25.5320556,0.0,,0.045,0.0,,,False,0.318,,,0.0,,,0.264,1076,14.319,0.01,Haffner 16,0.0,0.017,0.031,0.024,,,,,0.021,117.5039167,,,,,0.022,O
263,18.98,18.27,16.67,16.21,16.37,15.369,14.901,14.894,-0.12566666666666715,-1.2135294117647102,0.3044186046511635,1.5360465116279056,1.231627906976742,gmag_rmag_imag_Hamag,,-25.4478056,0.01,,0.072,0.01,,,False,0.7,,,0.01,,,0.537,599,16.895,0.02,Haffner 16,0.01,0.05,0.131,0.069,,,,,0.057,117.50725,,,,,0.074,O
