,umag,gmag,rmag,imag,Hamag,Jmag,Hmag,Kmag,umag_gmag_rmag_imag,umag_gmag_rmag_Hamag,umag_gmag_imag_Hamag,umag_rmag_imag_Hamag,gmag_rmag_imag_Hamag,outlier_columns,ID,DEJ2000,w1_err,e_gmag,e_rmag,objtype_SIMBAD,w1,e_umag,Fe_type,h,h_err,k_err,e_imag,e_Hamag,Halpha_type,e_Kmag,e_Jmag,RAJ2000,e_Hmag,k,objtype_Hou
934,15.865,15.292,13.54,12.94,13.24,12.219,12.031,11.982,-0.5169999999999986,-1.3505294117646993,-0.1874651162790708,0.8738372093023241,1.0613023255813947,umag_gmag_rmag_imag | umag_gmag_rmag_Hamag | umag_gmag_imag_Hamag | gmag_rmag_imag_Hamag,J035538.56+522008.0,52.335559,0.023,0.012,0.0,,11.678,0.006,,12.031,0.037,0.034,0.0,0.0,VI,0.034,0.032,58.910692,0.037,11.982,HII-region
936,15.865,15.292,13.54,12.94,13.24,12.219,12.031,11.982,-0.5169999999999986,-1.3505294117646993,-0.1874651162790708,0.8738372093023241,1.0613023255813947,umag_gmag_rmag_imag | umag_gmag_rmag_Hamag | umag_gmag_imag_Hamag | gmag_rmag_imag_Hamag,J035538.56+522008.0,52.335559,0.023,0.012,0.0,,11.678,0.006,,12.031,0.037,0.034,0.0,0.0,VI,0.034,0.032,58.910692,0.037,11.982,HII-region
937,15.448,16.933,13.44,13.11,13.29,12.672,12.498,12.451,-2.0844999999999994,-2.446764705882355,-1.9412790697674405,1.137302325581398,3.0785813953488383,umag_gmag_rmag_imag | umag_gmag_rmag_Hamag | umag_gmag_imag_Hamag | gmag_rmag_imag_Hamag,J064723.70+104241.2,10.711448,0.023,0.016,0.0,,12.399,0.007,,12.498,0.022,0.025,0.0,0.0,VI,0.025,0.023,101.84876,0.022,12.451,HII-region
939,16.134,13.73,13.14,12.84,12.99,12.318,12.15,12.065,1.8589999999999987,1.4422352941176444,2.023767441860464,2.268418604651161,0.24465116279069687,umag_gmag_rmag_imag | umag_gmag_imag_Hamag | umag_rmag_imag_Hamag,J064542.79+105419.0,10.905297,0.023,0.003,0.0,,12.03,0.01,,12.15,0.025,0.023,0.0,0.0,VI,0.023,0.023,101.42833,0.025,12.065,HII-region
942,20.078,17.375,16.47,15.75,16.24,14.657,14.408,14.186,1.3950000000000018,1.228294117647055,1.46090697674419,1.2377674418604747,-0.22313953488371552,umag_gmag_rmag_imag | umag_gmag_imag_Hamag,J053717.33+284855.5,28.815442,0.028,0.005,0.01,,13.88,0.039,,14.408,0.048,0.049,0.01,0.01,VI,0.049,0.034,84.322233,0.048,14.186,HII-region
943,18.773,17.143,16.08,15.29,15.82,14.151,13.844,13.639,0.1948333333333343,-0.037058823529400486,0.2865116279069735,0.1292790697674393,-0.1572325581395344,umag_gmag_imag_Hamag,J053727.81+285045.5,28.845988,0.029,0.005,0.0,,13.438,0.017,,13.844,0.034,0.037,0.0,0.01,VI,0.037,0.026,84.365906,0.034,13.639,HII-region
947,20.338,17.88,16.57,15.75,16.17,14.354,13.744,13.518,0.968333333333335,-0.10670588235293099,1.3933488372093006,1.7363720930232494,0.34302325581394877,umag_gmag_imag_Hamag,J055504.29+212156.8,21.365795,0.027,0.006,0.0,,13.391,0.052,,13.744,0.033,0.041,0.01,0.01,VI,0.041,0.029,88.767884,0.033,13.518,HII-region
954,15.074,14.837,13.31,13.12,13.21,12.658,12.526,12.482,-0.1081666666666688,-0.40417647058823314,0.00886046511627514,1.3286511627906894,1.3197906976744143,umag_gmag_rmag_imag | umag_gmag_imag_Hamag | gmag_rmag_imag_Hamag,J064433.29+094604.5,9.7679444,0.024,0.01,0.0,,12.447,0.004,,12.526,0.024,0.032,0.0,0.0,II,0.032,0.026,101.13872,0.024,12.482,unknown
962,16.526,15.552,15.04,14.59,14.55,13.874,13.65,13.406,0.15650000000000175,-2.1677647058823437,1.0753953488372072,1.6794883720930196,0.6040930232558124,umag_gmag_rmag_Hamag | gmag_rmag_imag_Hamag,J052831.74+271146.5,27.19626,0.026,0.003,0.0,,13.154,0.006,,13.65,0.031,0.032,0.0,0.0,I,0.032,0.026,82.132272,0.031,13.406,unknown
963,16.652,15.242,14.21,13.41,13.64,12.544,12.243,12.1,-0.04333333333333411,-2.244705882352944,0.8269767441860458,1.329441860465115,0.5024651162790691,umag_gmag_rmag_imag | umag_gmag_rmag_Hamag,J053513.09+295912.3,29.986758,0.023,0.004,0.0,,11.31,0.007,,12.243,0.022,0.02,0.0,0.0,I,0.02,0.021,83.80458,0.022,12.1,unknown
