,umag,gmag,rmag,imag,Hamag,Jmag,Hmag,Kmag,outlier_columns,vsini,DEJ2000,e_gmag,Mass,e_y-Ha,e_rmag,e_logg,WHa06,clean,y-Ha,Rad,e_Mass,e_umag,e_Teff,e_vsini,b-y,MG,ymag,e_imag,Cluster,e_Hamag,e_ymag,e_Kmag,e_b-y,Teff,logg,Vc,WHa05,e_Jmag,RAJ2000,loggP,e_Rad,WHa07,SB?,e_Hmag,Code
2463,16.69,14.61,12.67,11.7,12.25,10.084,9.333,9.075,Hmag | Kmag,,-47.4789722,0.01,,0.058,0.0,,,False,1.344,,,0.01,,,1.242,164,13.656,0.0,NGC 6200,0.0,0.035,0.023,0.06,,,,,0.024,251.13175,,,,,0.026,O
2483,14.21,13.95,13.34,12.93,13.15,12.348,9.971,8.329,Kmag,,-46.9339444,0.01,,0.102,0.01,,,False,0.423,,,0.0,,,0.306,16,13.641,0.01,NGC 6204,0.0,0.064,,0.084,,,,,0.04,251.6933333,,,,,,O
2661,18.26,15.52,13.27,12.22,12.79,10.289,9.34,9.07,Hmag | Kmag,,-44.7259722,0.0,,0.057,0.0,,,False,1.523,,,0.02,,,1.402,76,14.378,0.0,NGC 6249,0.0,0.04,0.02,0.07,,,,,0.024,254.576,,,,,0.023,O
2674,16.2,14.57,12.89,11.99,12.51,10.388,9.647,9.247,Kmag,,-35.6356111,0.0,,0.093,0.0,,,False,1.243,,,0.01,,,1.046,41,13.702,0.0,Bochum 13,0.0,0.065,0.027,0.106,,,,,0.024,259.347,,,,,0.03,O
2678,15.84,14.97,13.1,11.84,12.66,9.967,9.502,9.238,Hmag | Kmag,,-33.4319444,0.0,,0.092,0.0,,,True,1.375,,,0.01,,,1.315,13,14.052,0.0,Trumpler 27,0.0,0.04,0.023,0.064,,,,,0.021,264.0842917,,,,,0.024,O
2683,18.88,15.78,13.35,12.23,12.9,9.957,8.99,8.636,Hmag | Kmag,,-32.4676667,0.0,,0.081,0.0,,,False,1.575,,,0.04,,,1.562,92,14.621,0.0,Trumpler 28,0.0,0.054,0.026,0.105,,,,,0.023,264.1210417,,,,,0.029,O
2699,16.36,16.05,15.11,14.53,14.8,13.671,10.26,9.155,Kmag,,-32.4200833,0.01,,0.091,0.0,,,False,0.699,,,0.01,,,0.594,47,15.519,0.01,Trumpler 28,0.01,0.054,,0.079,,,,,0.036,264.1864583,,,,,,O
2713,16.57,14.7,12.85,12.04,12.47,10.359,9.581,9.304,Kmag,,-32.4810556,0.0,,0.06,0.0,,,True,1.21,,,0.01,,,1.151,111,13.829,0.0,Trumpler 28,0.0,0.029,0.023,0.051,,,,,0.026,264.2219583,,,,,0.026,O
2718,20.66,16.88,14.0,12.59,13.46,9.7,8.521,8.118,umag | Jmag | Hmag | Kmag,,-32.4439722,0.01,,0.098,0.0,,,False,1.66,,,0.13,,,0.907,62,15.233,0.01,Trumpler 28,0.0,0.071,0.031,0.111,,,,,0.03,264.2351667,,,,,0.034,O
2750,18.6,15.82,13.67,12.5,13.21,10.497,9.607,9.329,Kmag,,-32.5528056,0.0,,0.068,0.0,,,True,1.501,,,0.03,,,1.439,186,14.762,0.0,Trumpler 28,0.0,0.04,0.023,0.074,,,,,0.023,264.3190417,,,,,0.025,O
3015,20.29,16.89,14.1,12.64,13.6,10.106,9.07,8.703,Hmag | Kmag,,-8.5098889,0.0,,0.047,0.0,,,True,0.588,,,0.11,,,0.525,463,12.547,0.0,Trumpler 34,0.0,0.027,0.02,0.04,,,,,0.024,280.0740417,,,,,0.023,B
3027,20.69,17.51,14.94,13.62,14.48,11.284,10.356,10.017,umag,,-8.5266389,0.01,,0.065,0.0,,,True,0.785,,,0.13,,,0.718,512,15.072,0.0,Trumpler 34,0.0,0.042,0.023,0.062,,,,,0.026,280.0847083,,,,,0.024,O
3028,20.14,16.66,14.01,12.48,13.43,9.984,8.943,8.58,Hmag | Kmag,,-8.38975,0.01,,0.078,0.0,,,False,1.176,,,0.07,,,1.08,97,15.855,0.01,Trumpler 34,0.0,0.057,0.023,0.09,,,,,0.024,280.0848333,,,,,0.023,O
3102,20.42,16.94,14.25,12.54,13.67,10.398,9.341,8.945,Hmag | Kmag,,-5.9305,0.01,,0.084,0.01,,,False,1.935,,,0.1,,,1.893,597,15.703,0.01,Basel 1,0.01,0.069,0.021,0.12,,,,,0.023,281.98175,,,,,0.022,O
