,umag,gmag,rmag,imag,Hamag,Jmag,Hmag,Kmag,umag_gmag_rmag_imag,umag_gmag_rmag_Hamag,umag_gmag_imag_Hamag,umag_rmag_imag_Hamag,gmag_rmag_imag_Hamag,outlier_columns,RAJ2000,DEJ2000,em
10032,16.156,14.785,13.38,12.99,13.22,12.373,12.179,12.124,0.6624999999999978,0.34511764705882086,0.7879767441860444,1.6634418604651129,0.8754651162790684,umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,101.53268,11.373526,1.0
10033,17.104,15.661,13.61,13.09,13.3,12.12,11.702,11.583,0.49833333333333396,-0.5446470588235222,0.9106744186046489,2.478186046511624,1.5675116279069752,umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,99.18846,9.8762493,1.0
10034,15.56,15.227,13.16,12.69,12.93,11.99,11.812,11.694,-0.5208333333333341,-1.1417058823529442,-0.2753720930232558,1.2390697674418605,1.5144418604651162,gmag_rmag_imag_Hamag,99.722184,9.8310616,1.0
10035,16.868,14.987,13.52,12.89,13.33,11.85,11.569,11.432,0.7365000000000006,0.6627647058823543,0.7656511627906979,1.219627906976747,0.4539767441860487,umag_gmag_rmag_imag | umag_gmag_rmag_Hamag,100.09129,10.631955,1.0
10036,16.197,14.587,13.57,13.11,13.42,12.419,12.228,12.086,0.7743333333333314,0.6482352941176439,0.8241860465116265,1.1274651162790672,0.30327906976744057,umag_gmag_rmag_imag | umag_gmag_rmag_Hamag,99.852804,10.516211,1.0
10038,16.391,16.532,13.75,13.28,13.59,12.563,12.398,12.281,-0.9948333333333361,-1.1668823529411796,-0.9268139534883747,1.1414651162790665,2.068279069767441,gmag_rmag_imag_Hamag,100.49176,10.474559,1.0
10039,16.527,14.881,13.55,13.13,13.43,12.285,12.085,11.934,0.8830000000000011,0.8765882352941118,0.8855348837209341,1.525837209302332,0.6403023255813977,umag_gmag_rmag_imag | umag_gmag_rmag_Hamag | umag_rmag_imag_Hamag,100.45398,10.762574,1.0
10040,15.338,13.345,12.99,12.79,12.92,12.414,12.276,12.294,1.6296666666666635,1.544176470588232,1.6634651162790666,1.7191627906976699,0.05569767441860346,umag_gmag_rmag_imag | umag_gmag_rmag_Hamag | umag_gmag_imag_Hamag | umag_rmag_imag_Hamag,101.39703,10.819752,1.0
10041,15.411,17.19,13.81,13.55,13.71,13.161,13.036,12.941,-2.2513333333333345,-2.4201764705882347,-2.184581395348839,0.8270465116279059,3.0116279069767447,umag_gmag_imag_Hamag | gmag_rmag_imag_Hamag,101.56268,11.526735,1.0
10042,15.492,14.498,13.69,13.45,13.5,13.076,12.986,12.981,0.5580000000000013,-0.22423529411764265,0.8672558139534882,1.560139534883719,0.6928837209302308,umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,101.6589,11.404417,1.0
