,umag,gmag,rmag,imag,Hamag,Jmag,Hmag,Kmag,umag_gmag_rmag_imag,umag_gmag_rmag_Hamag,umag_gmag_imag_Hamag,umag_rmag_imag_Hamag,gmag_rmag_imag_Hamag,outlier_columns,Unnamed: 0,DEJ2000,LAMOST_sep,RAJ2000,model_prob,col1,original_index,Halpha
0,14.41,14.29,13.33,12.74,12.54,11.81,11.48,11.19,-0.9518333333333318,-4.945294117647065,0.62697674418605,2.047441860465121,1.4204651162790711,umag_gmag_rmag_Hamag | gmag_rmag_imag_Hamag,546,53.423931,2.0,64.458939,1.0,545,545.00,1.0
1,14.41,14.29,13.33,12.74,12.54,11.81,11.48,11.19,-0.9518333333333318,-4.945294117647065,0.62697674418605,2.047441860465121,1.4204651162790711,umag_gmag_rmag_Hamag | gmag_rmag_imag_Hamag,398,53.4239286,2.0,64.4589367,1.0,397,397.00,1.0
2,14.06,14.0,12.83,12.34,12.1,11.79,11.51,11.25,-0.8301666666666664,-4.620588235294122,0.6683720930232565,2.3909302325581403,1.722558139534884,umag_gmag_rmag_Hamag | gmag_rmag_imag_Hamag,556,53.234539,2.0,62.83595,1.0,555,555.00,1.0
3,15.06,14.73,13.83,13.32,13.12,12.54,12.25,12.02,-0.5964999999999993,-4.222352941176477,0.8369767441860491,2.1974418604651214,1.3604651162790724,gmag_rmag_imag_Hamag,316,34.1965017,2.0,309.19739,1.0,315,315.00,1.0
4,14.12,13.27,12.35,11.87,11.51,11.0,10.71,10.41,-0.022000000000000908,-4.535882352941178,1.7625581395348815,3.511395348837205,1.748837209302324,umag_gmag_rmag_Hamag | umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,251,52.7429414,2.0,63.4037767,1.0,251,251.00,1.0
5,14.12,13.27,12.35,11.87,11.51,11.0,10.71,10.41,-0.022000000000000908,-4.535882352941178,1.7625581395348815,3.511395348837205,1.748837209302324,umag_gmag_rmag_Hamag | umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,160,52.742943,2.0,63.40378,1.0,160,160.00,1.0
6,16.49,16.13,13.95,12.93,13.1,11.16,10.66,10.32,-1.4929999999999992,-5.09,-0.07093023255813968,1.717674418604651,1.7886046511627907,umag_gmag_rmag_Hamag | gmag_rmag_imag_Hamag,410,22.910194,2.0,88.852667,1.0,409,409.00,1.0
20,14.84,14.83,12.98,12.29,12.43,11.34,10.98,10.64,-1.2435000000000023,-3.5164705882353,-0.34488372093023406,1.1827906976744158,1.5276744186046498,gmag_rmag_imag_Hamag,304,50.057221,2.0,56.368536,0.84,303,303.00,1.0
21,14.84,14.83,12.98,12.29,12.43,11.34,10.98,10.64,-1.2435000000000023,-3.5164705882353,-0.34488372093023406,1.1827906976744158,1.5276744186046498,gmag_rmag_imag_Hamag,83,50.057241,2.0,56.368509,0.84,83,83.00,1.0
29,13.54,12.15,12.02,11.63,11.39,11.4,11.29,11.16,0.6815000000000012,-2.649411764705879,1.9983720930232547,2.6809302325581394,0.6825581395348846,umag_gmag_imag_Hamag,510,25.49007,2.0,92.96136,0.64,509,509.00,1.0
