,umag,gmag,rmag,imag,Hamag,Jmag,Hmag,Kmag,umag_gmag_rmag_imag,umag_gmag_rmag_Hamag,umag_gmag_imag_Hamag,umag_rmag_imag_Hamag,gmag_rmag_imag_Hamag,outlier_columns,chi2,DEJ2000,logTeff,Rv,r2mag,RAJ2000,mu,A0,VPHAS-OB1,goodOB,EM,SUB,LUM
129,20.472,19.38,16.946,15.487,16.507,12.9,12.083,11.656,-1.5585166666666663,-1.7227647058823519,-1.493581395348837,-1.4079534883720966,0.08562790697674005,umag_gmag_imag_Hamag | umag_rmag_imag_Hamag,2.09,-57.404127,4.577,3.762,16.96,153.662563,14.5,8.267,327,1,0,0,0
131,16.936,15.48,12.953,11.486,12.341,8.693,7.87,7.414,-1.2090499999999977,-2.468000000000002,-0.7113255813953447,-0.15281395348836213,0.558511627906982,gmag_rmag_imag_Hamag,1.83,-57.407289,4.341,3.794,12.942,153.668178,7.76,8.35,331,1,0,0,1
146,20.496,19.943,18.158,17.291,17.948,15.561,14.956,14.735,-1.022050000000004,-0.7934705882353028,-1.1124186046511648,-0.8400465116279077,0.2723720930232567,umag_gmag_rmag_Hamag,4.88,-58.093689,4.372,3.641,18.258,152.910232,15.68,5.581,366,1,0,0,0
150,17.392,18.125,17.183,16.606,16.944,15.383,15.004,14.86,-1.7812166666666636,-2.2654117647058882,-1.5897906976744123,-1.4259767441860334,0.16381395348837868,umag_gmag_rmag_imag | umag_gmag_imag_Hamag | umag_rmag_imag_Hamag,5.66,-57.720938,4.639,4.975,17.227,153.420283,18.74,4.313,373,1,0,1,0
151,20.341,19.304,16.849,15.399,16.391,12.725,11.881,11.51,-1.5971666666666655,-1.8995882352941287,-1.4776046511627845,-1.3065116279069686,0.17109302325581544,umag_gmag_imag_Hamag,5.56,-57.175893,4.592,3.814,16.822,154.107755,14.47,8.393,374,1,0,0,0
164,14.461,14.402,13.351,12.678,12.768,11.767,11.424,11.233,-1.1636166666666654,-3.679058823529413,-0.1691395348837194,0.674651162790698,0.8437906976744174,umag_gmag_rmag_Hamag | umag_gmag_imag_Hamag | umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,6.44,-57.051395,4.313,3.538,13.341,154.327687,11.89,3.55,403,1,1,0,1
207,20.074,18.462,15.828,14.252,15.111,11.334,10.41,9.782,-1.2510666666666617,-2.985235294117639,-0.5654651162790669,0.09083720930233063,0.6563023255813969,umag_gmag_rmag_Hamag | umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,7.06,-56.705074,4.301,3.915,15.865,154.998316,9.8,8.845,489,1,1,0,1
235,19.795,19.523,18.107,17.353,17.722,16.171,15.529,15.335,-1.0977666666666603,-2.196529411764692,-0.6633720930232527,-0.09693023255813493,0.5664418604651176,gmag_rmag_imag_Hamag,1.43,-57.387167,4.354,3.594,18.074,154.315748,16.26,4.563,545,1,0,0,0
242,12.926,13.09,12.037,11.353,11.645,10.216,9.884,9.702,-1.4066000000000014,-2.677411764705891,-0.9041860465116268,-0.5234651162790687,0.38072093023255793,umag_gmag_rmag_Hamag,2.39,-58.440738,4.462,3.887,11.962,153.063665,11.66,4.095,569,1,0,0,0
259,19.223,18.448,16.479,15.398,15.728,13.297,12.595,12.142,-1.1888166666666666,-4.040235294117647,-0.06151162790697795,1.1477209302325586,1.2092325581395365,umag_gmag_rmag_Hamag | umag_gmag_imag_Hamag | umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,3.35,-57.880013,4.337,3.943,16.498,153.965277,12.69,6.618,618,1,1,0,0
262,15.364,15.09,13.691,12.939,13.259,11.399,10.978,10.7,-1.0921333333333334,-2.495882352941179,-0.5371627906976738,0.12509302325581362,0.6622558139534872,umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,1.24,-57.891843,4.316,3.928,13.685,153.991136,11.22,4.791,629,1,0,0,1
266,19.199,18.916,17.317,16.582,17.388,15.246,14.763,14.509,-1.0522499999999975,0.7382352941176581,-1.7601162790697678,-2.0167906976744194,-0.2566744186046521,umag_gmag_rmag_Hamag | umag_gmag_imag_Hamag | umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,6.58,-57.805189,4.446,3.382,17.664,154.130527,16.36,4.778,639,1,0,0,0
279,19.202,19.09,17.792,17.087,17.695,15.665,15.169,15.084,-1.168750000000001,-0.5099411764705949,-1.42920930232558,-1.5310232558139543,-0.10181395348837441,umag_gmag_rmag_Hamag | umag_gmag_imag_Hamag | umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,0.97,-58.443408,4.356,3.972,17.849,153.37978,15.88,4.589,664,1,0,1,0
284,20.128,19.275,17.065,15.828,16.382,13.65,13.007,12.633,-1.3942166666666678,-3.5262352941176456,-0.5513255813953517,0.38318604651161836,0.9345116279069701,umag_gmag_rmag_Hamag | umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,0.43,-57.896023,4.564,3.58,17.042,154.130404,15.47,7.13,676,1,1,0,0
285,20.391,19.852,18.025,16.953,17.719,14.857,14.229,13.816,-1.4084666666666668,-1.422999999999986,-1.4027209302325638,-1.3393023255814023,0.06341860465116134,umag_rmag_imag_Hamag,0.67,-57.473119,4.454,4.054,18.026,154.660946,15.46,6.603,677,1,0,0,0
288,20.792,19.606,17.318,16.0,16.735,13.446,12.751,12.376,-1.2083666666666688,-2.5520588235294257,-0.6771395348837186,-0.0813488372092972,0.5957906976744212,gmag_rmag_imag_Hamag,4.42,-57.783824,4.384,3.781,17.3,154.315844,13.17,7.635,686,1,0,0,0
290,16.969,16.591,14.896,13.787,14.277,11.642,11.001,10.571,-1.6366833333333326,-3.5908823529411875,-0.8640930232558093,-0.2972325581395254,0.5668604651162836,umag_gmag_rmag_imag | umag_gmag_rmag_Hamag | gmag_rmag_imag_Hamag,4.33,-57.442888,4.485,4.336,14.821,154.756131,12.48,6.731,693,1,1,0,0
307,19.257,18.245,16.207,15.04,15.555,13.13,12.515,12.154,-1.1080500000000018,-3.1684705882353015,-0.29346511627907,0.5588372093023253,0.8523023255813948,umag_gmag_rmag_Hamag | umag_gmag_imag_Hamag | umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,3.16,-58.095813,4.321,3.475,16.21,154.073987,12.63,6.257,725,1,1,0,0
333,19.038,19.135,17.88,17.256,17.467,16.209,15.807,15.41,-1.2305999999999988,-2.7450588235294155,-0.6318604651162764,0.13734883720931146,0.7692093023255876,umag_gmag_rmag_Hamag | umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,3.61,-58.05962,4.499,3.548,17.883,154.292799,18.01,4.122,774,1,1,1,0
342,16.119,15.534,13.572,12.396,12.922,10.288,9.595,9.134,-1.5513999999999974,-3.5826470588235226,-0.7483488372093021,0.0026279069767474184,0.7509767441860491,umag_gmag_rmag_Hamag | umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,6.54,-58.14844,4.533,3.957,13.534,154.263046,11.61,6.983,801,1,1,0,1
344,17.057,16.573,14.872,13.73,14.339,11.509,10.712,10.336,-1.5906333333333338,-2.9334705882352936,-1.0597441860465127,-0.7608604651162785,0.29888372093023396,umag_gmag_rmag_Hamag,4.22,-58.229009,4.367,4.541,14.737,154.187272,11.01,6.857,805,1,0,0,0
347,14.508,14.528,13.484,13.033,13.421,12.255,11.97,11.894,-0.8393166666666687,-0.42394117647059365,-1.0035348837209308,-0.8528372093023249,0.15069767441860582,umag_gmag_rmag_Hamag,5.28,-57.710147,4.308,3.214,13.488,154.85133,12.56,2.992,812,1,0,0,0
349,18.266,18.045,16.664,16.033,16.643,14.827,14.376,14.281,-0.9253166666666703,0.08635294117646197,-1.325279069767443,-1.3486976744186032,-0.023418604651160413,umag_gmag_rmag_Hamag | umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,6.04,-57.959203,4.334,3.471,16.66,154.560255,15.0,4.151,816,1,0,0,0
355,20.965,19.586,16.803,15.177,16.298,11.861,10.934,10.344,-1.5749,-1.8589411764706045,-1.4626046511627844,-1.2605116279069684,0.20209302325581602,umag_gmag_imag_Hamag,4.88,-57.727208,4.547,4.045,16.781,154.872859,12.62,9.839,826,1,0,0,0
380,17.597,17.049,15.069,13.911,14.694,11.83,11.179,10.872,-1.5556999999999999,-1.8564117647058813,-1.4368139534883724,-1.2595348837209337,0.17727906976743868,umag_gmag_imag_Hamag,1.89,-57.844066,4.617,3.795,15.075,154.949234,14.34,6.811,893,1,0,0,0
396,19.094,18.151,15.764,14.355,15.309,11.633,10.816,10.439,-1.6166833333333295,-1.9743529411764706,-1.4752790697674363,-1.2846976744185943,0.19058139534884155,umag_gmag_rmag_imag | umag_gmag_imag_Hamag,4.09,-58.040653,4.609,3.947,15.762,154.788233,13.6,8.368,925,1,0,0,0
399,20.419,19.478,17.08,15.673,16.626,12.999,12.179,11.773,-1.6150499999999974,-1.9699411764705714,-1.4747441860465145,-1.2708604651162796,0.20388372093023444,umag_gmag_rmag_imag | umag_gmag_imag_Hamag,1.79,-58.035571,4.596,3.912,17.092,154.808423,14.79,8.326,930,1,0,0,0
411,19.985,19.496,17.758,16.934,17.395,15.554,15.097,14.966,-1.0079333333333287,-1.8384705882352912,-0.6795813953488321,-0.002953488372084312,0.6766279069767478,umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,3.0,-56.554858,4.44,3.15,17.728,156.604503,16.67,4.905,956,1,0,0,0
412,18.043,17.818,16.392,15.744,16.238,14.568,14.145,13.983,-0.9522000000000013,-0.7624117647058842,-1.0272325581395358,-0.7385813953488349,0.2886511627907007,umag_gmag_rmag_Hamag,4.95,-58.250346,4.369,3.345,16.689,154.592671,15.08,4.192,957,1,0,0,0
414,18.666,18.344,16.911,16.187,16.547,14.838,14.482,14.24,-0.9932666666666676,-2.011882352941183,-0.5905581395348827,0.013604651162793413,0.604162790697676,umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,1.03,-57.762643,4.334,3.498,16.914,155.200121,14.98,4.438,959,1,0,0,0
420,19.695,19.241,17.594,16.803,17.438,15.338,14.798,14.521,-0.9829833333333331,-0.5462352941176618,-1.1556511627906911,-0.9706279069767336,0.1850232558139573,umag_gmag_rmag_Hamag,5.14,-58.286703,4.355,3.504,17.59,154.58524,15.45,4.992,973,1,0,0,0
464,14.122,13.749,12.209,11.416,11.809,9.816,9.427,9.152,-1.0676166666666655,-2.191705882352945,-0.6232093023255788,0.011976744186053212,0.6351860465116318,umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,3.28,-56.782132,4.348,3.691,12.177,156.697654,9.94,4.987,1058,1,0,0,1
503,13.832,13.612,12.135,11.371,11.761,9.844,9.437,9.207,-1.167933333333331,-2.1780000000000035,-0.7686046511627865,-0.18951162790696885,0.5790930232558176,gmag_rmag_imag_Hamag,2.36,-58.043979,4.411,3.721,12.128,155.510348,10.57,4.927,1141,1,0,0,1
510,16.198,16.228,15.114,14.598,14.954,13.752,13.383,13.233,-0.9674000000000009,-1.055882352941179,-0.9324186046511631,-0.6380465116279057,0.2943720930232573,umag_gmag_rmag_Hamag,7.71,-58.350928,4.338,3.41,15.394,155.174494,14.14,3.379,1155,1,0,0,0
519,19.785,18.916,16.598,15.218,16.157,12.605,11.834,11.439,-1.6379999999999977,-1.958588235294112,-1.5112558139534875,-1.3551395348837172,0.15611627906976988,umag_gmag_rmag_imag | umag_gmag_imag_Hamag | umag_rmag_imag_Hamag,4.57,-57.691794,4.612,3.907,16.622,156.04798,14.69,8.112,1175,1,0,0,0
522,19.117,18.632,16.811,15.766,16.204,13.586,12.941,12.65,-1.4134166666666665,-3.406941176470586,-0.6252790697674435,0.1873023255813946,0.8125813953488379,umag_gmag_rmag_Hamag | umag_rmag_imag_Hamag | gmag_rmag_imag_Hamag,2.58,-57.752528,4.454,4.121,16.824,155.980251,14.2,6.641,1178,1,1,0,0
523,17.652,17.307,15.593,14.57,15.087,12.516,11.896,11.529,-1.5134499999999966,-2.8993529411764705,-0.9655348837209259,-0.4418372093023204,0.5236976744186053,umag_gmag_rmag_Hamag,0.28,-57.752057,4.486,4.203,15.607,155.982751,13.47,6.465,1179,1,1,0,0
