,umag,gmag,rmag,imag,Hamag,Jmag,Hmag,Kmag,umag_gmag_rmag,umag_gmag_imag,umag_gmag_Hamag,umag_rmag_imag,umag_rmag_Hamag,umag_imag_Hamag,gmag_rmag_imag,gmag_rmag_Hamag,gmag_imag_Hamag,rmag_imag_Hamag,Jmag_Hmag_Kmag,outlier_columns,ID,DEJ2000,w1_err,e_gmag,e_rmag,objtype_SIMBAD,w1,e_umag,Fe_type,h,h_err,k_err,e_imag,e_Hamag,Halpha_type,e_Kmag,e_Jmag,RAJ2000,e_Hmag,k,objtype_Hou
34,19.838,18.016,17.18,16.68,16.96,15.923,15.501,15.686,1.427523809523813,0.9703976608187173,1.2841308411214996,2.0498128654970773,2.4441682242990677,3.5086542056074794,0.5465263157894722,0.7342242990654196,1.5440373831775696,0.5785046728971965,0.5791895424836611,Jmag_Hmag_Kmag,J054559.73+211735.5,21.293197,,0.006,0.01,,,0.039,,,,,0.01,0.01,II,0.201,0.072,86.498912,0.137,,unknown
43,19.409,17.678,17.18,16.66,17.05,15.849,15.882,15.088,1.4960129870129846,1.0820994152046761,1.4111308411214933,1.596485380116959,2.1026448598130845,3.2374112149532706,0.19694736842105404,0.4378598130841137,1.307766355140188,0.6293457943925231,-0.7076405228758168,Jmag_Hmag_Kmag,J055037.79+302110.4,30.352914,0.05,0.005,0.01,,15.568,0.025,,15.882,0.179,,0.01,0.01,II,,0.086,87.657483,0.179,15.088,unknown
46,18.627,17.07,16.56,16.06,16.35,15.355,15.321,15.023,1.3163506493506472,0.9131988304093545,1.1902710280373825,1.4588128654970762,1.8628878504672925,2.9301775700934614,0.2205263157894753,0.41285046728972247,1.2254672897196297,0.581308411214954,-0.21920261437908428,Jmag_Hmag_Kmag,J054701.98+313926.6,31.657411,0.044,0.005,0.01,,15.202,0.019,,15.321,0.097,0.127,0.01,0.01,II,0.127,0.047,86.758288,0.097,15.023,unknown
47,18.148,16.536,16.28,15.96,16.13,15.403,15.455,15.048,1.4912034632034614,1.244842105263156,1.4052056074766326,1.478760233918127,1.722205607476632,2.4008971962616785,0.07073684210526324,0.18660747663551328,0.7023084112149524,0.3676635514018689,-0.39781699346405186,Jmag_Hmag_Kmag,J061219.31+251253.1,25.214769,0.042,0.004,0.0,,15.199,0.014,,15.455,0.093,0.091,0.01,0.01,II,0.091,0.039,93.080492,0.093,15.048,unknown
49,18.814,17.066,16.47,16.05,16.33,15.456,14.985,15.01,1.4667705627705638,1.1003742690058502,1.3731214953271036,1.8331228070175474,2.2079252336448603,3.114654205607473,0.35284210526315907,0.531233644859813,1.2240373831775666,0.49850467289719375,0.4922418300653599,Jmag_Hmag_Kmag,J054750.41+201626.6,20.274079,,0.004,0.0,,,0.021,,,,,0.01,0.01,II,0.104,0.064,86.960056,0.072,,unknown
50,19.384,17.843,17.32,16.87,17.16,16.123,15.593,16.596,1.2942164502164508,0.9207836257309953,1.1931168224299071,1.5166315789473694,1.9084859813084112,2.877177570093456,0.26247368421052647,0.4489813084112146,1.1884672897196245,0.5313084112149523,1.3822222222222234,Jmag_Hmag_Kmag,J052638.36+281510.4,28.252902,0.059,0.006,0.01,,15.784,0.029,,15.593,0.124,,0.01,0.01,II,,0.067,81.65984,0.124,16.596,unknown
52,19.864,18.174,17.72,17.29,17.59,16.616,16.304,15.658,1.4757748917748927,1.126514619883042,1.3925420560747679,1.6209590643274878,2.017644859813087,2.949700934579442,0.2050526315789482,0.3938598130841132,1.1068971962616831,0.5141121495327102,-0.23688888888888682,Jmag_Hmag_Kmag,J052324.13+283647.8,28.613282,,0.006,0.01,,,0.031,,,,,0.02,0.02,II,,0.131,80.850567,0.218,,unknown
70,18.557,17.181,16.88,16.56,16.78,15.938,15.881,15.547,1.2339696969696938,0.9801578947368383,1.171752336448596,1.287760233918128,1.5798037383177588,2.2725140186915915,0.11573684210526494,0.2547383177570123,0.7844579439252376,0.3816822429906552,-0.2267908496732019,Jmag_Hmag_Kmag,J052537.12+290402.9,29.067483,0.055,0.005,0.01,,15.655,0.018,,15.881,0.176,0.177,0.01,0.01,II,0.177,0.078,81.404681,0.176,15.547,unknown
72,22.918,19.636,18.94,17.72,18.46,15.065,14.027,13.628,2.9535844155844164,2.0606900584795325,2.6830093457943933,2.4940233918128607,3.5114579439252314,6.12472897196262,-0.010315789473687498,0.4739439252336427,2.4658130841121513,1.4274766355140216,0.6989803921568638,umag_gmag_rmag | umag_gmag_imag | umag_gmag_Hamag | umag_rmag_Hamag | umag_imag_Hamag | rmag_imag_Hamag | Jmag_Hmag_Kmag,J055158.60+221514.6,22.254083,0.027,0.029,0.02,,12.609,0.966,,14.027,0.092,0.08,0.02,0.03,II,0.08,0.078,87.994208,0.092,13.628,unknown
74,15.762,14.736,12.98,12.29,12.43,11.335,10.981,10.641,0.19741125541125515,-0.5331461988304103,-0.14855140186915938,1.9427017543859635,2.247420560747663,3.6473271028037404,1.3565263157894734,1.5015607476635513,2.550018691588787,0.7292523364485995,0.06511111111111223,umag_gmag_rmag | umag_gmag_imag | umag_gmag_Hamag | gmag_rmag_imag | gmag_rmag_Hamag,J034528.44+500326.0,50.057241,0.023,0.004,0.0,Emission-line Star,10.056,0.005,double-peak,10.981,0.024,0.023,0.0,0.0,I,0.023,0.021,56.368509,0.024,10.641,CBe
