,umag,gmag,rmag,imag,Hamag,Jmag,Hmag,Kmag,em,RA,B-TS2,W1mag,DEC,BeC1,Type,objtype,BeC,class,EM2,ID,W2mag,Be_EM2,BeC2,SpT,Ref,B-TS1,GroupSize,EM1,GroupID,EMobj,obsid,subclass,PStar,B-TS
34,10.68,11.55,12.09,10.45,10.51,8.033,7.903,7.723,0,290.394666666667,,7.471,8.87294166666667,0,Be,,0,,1,HD 181803,7.276,1,0,B7IIIe,BeSS,1,,,,,,,1.0,1
35,11.83,12.69,11.09,10.57,9.723999977111816,9.774,9.724,9.627,0,296.740375,,9.584,18.2488527777778,0,Be,,0,,1,HD 350559,9.596,1,0,B7IIIe,BeSS,1,,,,,,,1.0,1
36,11.35,12.38,11.94,11.07,8.659000396728516,8.751,8.659,8.602,0,343.121625,,8.557,62.6860583333333,0,Be,,0,,1,BD+61 2355,8.545,1,0,B7IVe,BeSS,1,,,,,,,1.0,1
37,11.52,12.45,12.16,10.52,7.598999977111816,7.682,7.599,7.484,0,13.064375,,7.397,60.0899472222222,0,Be,,0,,1,HD 4931,7.436,1,0,B8Ve,BeSS,1,,,,,,,1.0,1
38,11.49,12.45,10.66,10.08,8.03499984741211,8.147,8.035,7.997,0,25.0900833333333,,7.832,63.1144138888889,0,Be,,0,,1,BD+62 287,7.725,1,0,B8Ve,BeSS,1,,,,,,,1.0,1
39,1.0,12.73,12.22,11.4,11.3,10.403,10.189,9.927,0,26.58425,,10.185,61.2393305555556,0,Be,,0,,1,V980 Cas,9.988,1,0,B8e,BeSS,1,,,,,,,1.0,1
41,11.62,12.4,10.8,10.23,8.336999893188477,8.455,8.337,8.265,0,46.12725,,8.166,59.4462972222222,0,Be,,0,,1,HD 237060,8.075,1,0,B9Ve,BeSS,1,,,,,,,1.0,1
42,11.14,12.13,12.06,10.46,8.567999839782715,8.683,8.568,8.512,0,355.077375,,8.499,61.3454916666667,0,Be,,0,,1,BD+60 2600,8.473,1,0,B9Ve,BeSS,1,,,,,,,1.0,1
43,11.48,12.25,12.06,11.13,7.085000038146973,6.998,7.085,7.071,0,326.511791666667,,6.826,50.6741527777778,0,Be,,0,,1,HD 207232,6.697,1,0,B9e,BeSS,1,,,,,,,1.0,1
46,11.71,12.49,12.08,10.54,10.41,8.975,8.662,8.179,0,40.0384583333333,,7.662,57.7615861111111,0,Be,,0,,1,BD+57 607a,7.208,1,0,Be,BeSS,1,,,,,,,1.0,1
48,11.68,12.47,10.82,10.34,8.100000381469727,8.248,8.1,7.994,0,21.1214166666667,,7.226,60.2897861111111,0,Be,,0,,1,BD+59 246,6.961,1,0,Be,BeSS,1,,,,,,,1.0,1
49,10.84,11.77,10.79,10.43,9.541000366210938,9.637,9.541,9.423,0,37.3170416666667,,9.27,58.5937694444444,0,Be,,0,,1,EM* MWC 715,9.128,1,0,Be,BeSS,1,,,,,,,1.0,1
50,12.2,12.5,12.03,10.9,9.479000091552734,9.759,9.479,9.15,0,284.015166666667,,8.672,-2.6265,0,Be,,0,,1,BD-02 4786,8.379,1,0,Be,BeSS,1,,,,,,,1.0,1
51,10.97,11.73,11.62,10.22,8.701000213623047,8.778,8.701,8.496,0,330.409166666667,,8.285,50.1679555555556,0,Be,,0,,1,V2175 Cyg,7.988,1,0,Be,BeSS,1,,,,,,,1.0,1
53,12.05,12.57,11.73,10.12,7.790999889373779,8.199,7.791,7.432,0,306.792541666667,,7.123,38.9004527777778,0,Be,,0,,1,BD+38 4093,6.821,1,0,Be,BeSS,1,,,,,,,1.0,1
54,1.0,13.63,12.91,12.45,11.456000328063965,11.633,11.456,11.168,0,26.558375,,10.971,61.2288388888889,0,Be,,0,,1,V979 Cas,10.812,1,0,Be,BeSS,1,,,,,,,1.0,1
55,11.37,12.43,11.97,10.2,10.28,6.697,6.022,5.697,0,323.96525,,5.314,47.9118694444444,0,Be,,0,,1,V1427 Cyg,4.935,1,0,Bpe,BeSS,1,,,,,,,1.0,1
56,11.81,12.48,12.27,10.59,8.109999656677246,8.404,8.11,7.757,0,302.976541666667,,7.327,40.0082305555556,0,Be,,0,,1,HD 228256,7.09,1,0,Bpe,BeSS,1,,,,,,,1.0,1
57,11.68,12.47,10.99,10.42,10.39,9.337,9.091,8.81,0,35.88775,,8.534,57.0757194444444,0,Be,,0,,1,Cl* NGC 884 LAV 2425,8.311,1,0,Oe,BeSS,0,,,,,,,1.0,0
59,11.52,11.95,11.85,10.36,10.21,7.927,7.024,6.707,0,40.6798333333333,,6.436,61.2660055555556,0,B[e],,0,,1,EM* MWC 56,6.384,0,1,BI[e],BeSS,1,2,,5,,,,1.0,1
60,11.29,12.32,11.72,10.84,10.34,10.455,10.062,9.059,0,89.7324583333333,,7.346,16.6659361111111,0,Herbig,,1,,1,HD 249879,6.346,0,1,B8e,BeSS,1,2,,6,,,,1.0,1
61,10.79,12.21,12.06,10.38,10.48,8.475,7.528,6.635,0,90.4999583333333,,5.649,16.5157583333333,0,Herbig,,1,,1,V1307 Ori,4.809,0,1,B9e,BeSS,1,2,,7,,,,1.0,1
62,11.63,12.54,10.82,10.31,10.41,8.947,8.752,8.55,0,83.652625,,7.307,27.5926611111111,0,Be,,0,,0,HD 244894,7.032,0,0,B1IIIpe-B0.5Ve,BeSS-Chen2019,1,,,,,,,1.0,1
63,10.32,10.99,12.12,10.33,8.187000274658203,8.382,8.187,8.217,0,304.714791666667,,8.181,36.9613722222222,0,Be,,0,,1,HD 228860,8.21,1,0,B0.5IVe-B0IV,BeSS-Chen2019,1,,,,,,,1.0,1
64,11.08,12.24,11.91,11.0,10.33,8.03,7.839,7.652,0,97.5734583333333,,7.289,2.84789444444444,0,Be,,0,,1,V725 Mon,7.07,1,0,B0.5IVe-B1,BeSS-Chen2019,1,2,,1,,,,1.0,1
65,11.54,12.43,11.75,10.75,8.911999702453613,8.882,8.912,8.912,0,102.284416666667,,8.427,0.089463888888889,0,Be,,0,,1,HD 49585,8.408,1,0,B0.5IVe-B1,BeSS-Chen2019,1,,,,,,,1.0,1
66,11.53,12.32,12.16,10.48,10.6,7.777,7.68,7.571,0,48.7955416666667,,7.434,59.9118972222222,0,Be,,0,,1,V803 Cas,7.218,1,0,B0.5IVnne-B2III:,BeSS-Chen2019,1,,,,,,,1.0,1
67,11.39,12.46,11.84,10.29,10.29,8.791,8.706,8.653,0,345.903375,,8.6,58.30975,0,Be,,0,,1,BD+57 2678,8.613,1,0,B0.5Ve-B0.5V,BeSS-Chen2019,1,2,,3,,,,1.0,1
68,1.0,12.43,11.96,10.33,9.394000053405762,9.422,9.394,9.362,0,304.035666666667,,9.321,37.5564055555556,0,Be,,0,,1,HD 228658,9.372,1,0,B0.5Ve-B2II:,BeSS-Chen2019,1,,,,,,,1.0,1
69,11.31,12.27,11.63,10.15,10.0,7.954,7.779,7.554,0,98.3842916666667,,7.442,8.33557777777778,0,Be,,0,,1,HD 259597,7.187,1,0,B0.5Vnne-B0.5:V:nne shell,BeSS-Chen2019,1,,,,,,,1.0,1
70,11.34,12.23,12.14,10.47,10.51,8.841,8.556,8.221,0,341.939041666667,,7.779,57.2807722222222,0,Be,,0,,1,EM* MWC 659,7.431,1,0,B0IIIpe-B0.5Ve,BeSS-Chen2019,1,,,,,,,1.0,1
71,11.79,12.62,10.75,10.14,8.965999603271484,9.02,8.966,8.815,0,19.7255,,7.496,58.2019055555556,0,Be,,0,,1,BD+57 243,7.245,1,0,B0IVe-B2,BeSS-Chen2019,1,,,,,,,1.0,1
72,11.64,12.43,11.01,10.57,9.595999717712402,9.674,9.596,9.643,0,27.7888333333333,,9.609,60.4363444444445,0,Be,,0,,1,BD+59 334,9.657,1,0,B0Ve-B2,BeSS-Chen2019,1,,,,,,,1.0,1
73,11.29,12.21,11.99,10.37,8.685999870300293,8.882,8.686,8.471,0,7.45520833333333,,8.223,63.0677805555556,0,Be,,0,,1,BD+62 89,8.084,1,0,B0Vpe-B0V:e:p,BeSS-Chen2019,1,,,,,,,1.0,1
74,1.0,10.91,10.69,10.07,10.2,7.64,7.39,6.966,0,98.246875,,6.554,5.80032777777778,0,Be,,0,,1,HD 259440,6.125,1,0,B0pe-B0e pec,BeSS-Chen2019,1,,,,,,,1.0,1
