,_RAJ2000_1,_DEJ2000_1,umag,gmag,rmag,Hamag,imag,Jmag,Hmag,Kmag
2,99.902057,-0.22962,13.01,13.13,12.82,12.69,12.54,12.258,12.128,12.118
5,102.5108178,1.0860464,12.78,13.24,12.81,12.74,12.59,12.158,12.09,12.001
12,103.81214399999999,-1.574704,13.13,13.48,13.27,13.04,13.04,12.822000000000001,12.772,12.741
13,99.941622,0.048306,13.03,13.53,13.03,12.84,12.75,12.347000000000001,12.248,12.225
14,100.984503,0.08631799999999999,13.18,13.53,13.16,13.01,12.86,12.587,12.491,12.421
19,100.66550500000001,1.8557029999999999,13.63,13.64,13.23,13.16,12.99,12.552999999999999,12.475,12.455
20,100.4314667,-0.22881079999999998,13.59,13.65,13.29,13.16,13.04,12.663,12.57,12.452
24,101.1796922,2.4776942,13.32,13.8,13.4,13.23,13.11,12.807,12.722999999999999,12.64
28,101.474594,1.615269,13.99,14.06,13.69,13.54,13.38,12.908,12.872,12.754000000000001
32,100.639451,-0.210988,13.94,14.3,13.89,13.66,13.6,13.225999999999999,13.127,13.03
33,103.1209017,-1.5406803,14.06,14.36,13.94,13.7,13.59,13.282,13.14,13.113
34,102.33848470000001,-1.8297925,13.97,14.36,13.87,13.66,13.57,13.126,13.044,12.946
36,101.140212,0.73674,14.01,14.41,13.97,13.77,13.59,13.222000000000001,13.112,13.139000000000001
37,100.608559,-0.8845790000000001,13.75,14.43,14.0,13.81,13.72,13.376,13.270999999999999,13.239
39,103.690714,-1.306535,14.18,14.43,13.85,13.7,13.47,13.015999999999998,12.842,12.743
40,100.36673,-0.8980889999999999,14.09,14.47,14.12,13.91,13.83,13.530999999999999,13.409,13.356
41,102.293774,-0.625492,14.13,14.5,13.93,13.73,13.54,13.088,12.975,12.925
42,101.7197875,-1.1805828,14.2,14.54,13.92,13.67,13.39,12.84,12.686,12.583
43,100.723989,0.594011,14.2,14.54,14.03,13.78,13.56,13.110999999999999,12.992,12.935
45,100.7387642,-1.1076408000000002,14.26,14.68,14.26,14.04,13.9,13.595999999999998,13.445,13.37
46,101.63294499999999,-0.8988799999999999,14.69,14.69,14.14,13.91,13.76,13.196,13.042,12.943
47,99.984346,-0.44319899999999995,14.31,14.7,14.19,13.88,13.78,13.308,13.171,13.062000000000001
48,102.22168719999999,-0.9281644,14.46,14.73,14.11,13.94,13.73,13.189,13.047,12.978
49,101.43816890000001,-0.4078372,14.62,14.74,13.92,13.65,13.4,12.647,12.435,12.304
52,103.6083247,-1.8114103,14.63,14.81,14.31,14.14,13.93,13.62,13.431,13.36
55,100.5158778,-1.0835794,14.67,14.87,14.41,14.19,14.02,13.67,13.537,13.48
57,99.8996825,-0.5719061,14.82,14.9,14.33,14.09,13.93,13.318,13.149000000000001,13.1
58,101.3382978,0.09817719999999999,14.53,14.91,14.38,14.14,14.01,13.485999999999999,13.235999999999999,13.214
59,103.507374,-1.812613,14.77,14.91,14.44,14.17,14.05,13.488,13.395,13.273
61,101.301951,0.219338,14.63,14.95,14.36,14.15,14.0,13.503,13.364,13.308
62,99.961694,-0.48838100000000007,15.1,14.95,14.31,14.05,13.83,13.179,13.017000000000001,12.937999999999999
63,100.4744628,-0.9093694,14.65,14.97,14.54,14.33,14.2,13.835,13.755,13.661
64,100.181657,-1.033052,15.07,14.97,14.35,14.12,13.88,13.402999999999999,13.259,13.145999999999999
65,103.5536236,-1.9656425,14.8,14.98,14.59,14.36,14.25,13.763,13.65,13.573
67,100.93004300000001,1.138822,14.97,15.02,14.54,14.35,14.12,13.620999999999999,13.41,13.425
68,100.194429,-1.3373680000000001,14.94,15.06,14.34,14.03,13.82,13.157,13.039000000000001,12.894
70,101.43432920000001,-1.164965,15.31,15.15,14.13,13.84,13.42,12.389000000000001,12.043,11.854000000000001
71,100.0560464,-1.2182669,15.36,15.19,14.62,14.28,14.24,13.620999999999999,13.417,13.275
72,100.844972,0.762649,15.39,15.33,14.66,14.44,14.21,13.399000000000001,13.222000000000001,13.073
73,100.597123,0.5218109999999999,15.25,15.39,14.71,14.49,14.28,13.637,13.515999999999998,13.366
74,101.1599471,-0.33259340000000004,15.4,15.41,14.81,14.61,14.4,13.806,13.573,13.512
