,a,b,f1
73,umag_gmag_imag,umag_Hmag_Kmag,0.7161016949152542
22,umag_gmag_rmag,gmag_rmag_Jmag,0.7157464212678937
54,umag_gmag_rmag,Jmag_Hmag_Kmag,0.7155172413793104
307,umag_gmag_Kmag,imag_Hamag_Kmag,0.7155172413793104
234,umag_gmag_Hmag,gmag_rmag_Kmag,0.7145877378435519
157,umag_gmag_Hamag,imag_Hmag_Kmag,0.7136752136752137
44,umag_gmag_rmag,rmag_Hmag_Kmag,0.7136752136752137
86,umag_gmag_imag,gmag_Jmag_Hmag,0.7124999999999999
238,umag_gmag_Hmag,gmag_imag_Kmag,0.711864406779661
50,umag_gmag_rmag,imag_Hmag_Kmag,0.7112068965517241
403,umag_rmag_Hamag,imag_Hamag_Hmag,0.7106796116504854
11,umag_gmag_rmag,umag_imag_Jmag,0.7103174603174602
151,umag_gmag_Hamag,rmag_Hmag_Kmag,0.7094017094017094
257,umag_gmag_Hmag,imag_Hamag_Kmag,0.7094017094017094
34,umag_gmag_rmag,gmag_Hmag_Kmag,0.7091295116772824
133,umag_gmag_Hamag,gmag_imag_Jmag,0.7067961165048543
36,umag_gmag_rmag,rmag_imag_Jmag,0.706611570247934
370,umag_rmag_Hamag,umag_imag_Kmag,0.703125
248,umag_gmag_Hmag,rmag_imag_Kmag,0.7010752688172043
907,umag_Jmag_Kmag,Hamag_Jmag_Kmag,0.7005444646098005
394,umag_rmag_Hamag,rmag_imag_Hmag,0.698989898989899
402,umag_rmag_Hamag,imag_Hamag_Jmag,0.6984126984126985
19,umag_gmag_rmag,umag_Hmag_Kmag,0.6980728051391863
53,umag_gmag_rmag,Hamag_Hmag_Kmag,0.697872340425532
239,umag_gmag_Hmag,gmag_Hamag_Jmag,0.6972111553784861
768,umag_Hamag_Hmag,gmag_rmag_Kmag,0.6970802919708028
395,umag_rmag_Hamag,rmag_imag_Kmag,0.6958250497017893
158,umag_gmag_Hamag,Hamag_Jmag_Hmag,0.6947368421052633
622,umag_imag_Jmag,rmag_Hamag_Hmag,0.693798449612403
283,umag_gmag_Kmag,gmag_rmag_Hmag,0.693446088794926
404,umag_rmag_Hamag,imag_Hamag_Kmag,0.6927592954990215
369,umag_rmag_Hamag,umag_imag_Hmag,0.6924643584521385
525,umag_rmag_Kmag,gmag_Hamag_Hmag,0.6921606118546846
365,umag_rmag_Hamag,umag_rmag_Hmag,0.692
445,umag_rmag_Jmag,rmag_Hamag_Kmag,0.69140625
235,umag_gmag_Hmag,gmag_imag_Hamag,0.69140625
255,umag_gmag_Hmag,imag_Hamag_Jmag,0.69140625
219,umag_gmag_Hmag,umag_rmag_Kmag,0.6908315565031983
479,umag_rmag_Hmag,gmag_Hamag_Jmag,0.6906187624750499
149,umag_gmag_Hamag,rmag_Jmag_Hmag,0.6905263157894737
460,umag_rmag_Hmag,umag_imag_Hamag,0.6904761904761905
366,umag_rmag_Hamag,umag_rmag_Kmag,0.6904761904761905
430,umag_rmag_Jmag,gmag_imag_Jmag,0.6884531590413944
185,umag_gmag_Jmag,gmag_imag_Jmag,0.6878980891719746
155,umag_gmag_Hamag,imag_Jmag_Hmag,0.6873706004140787
226,umag_gmag_Hmag,umag_Hamag_Kmag,0.6859504132231405
171,umag_gmag_Jmag,umag_imag_Hmag,0.6858407079646018
474,umag_rmag_Hmag,gmag_rmag_Kmag,0.6851063829787235
472,umag_rmag_Hmag,gmag_rmag_Jmag,0.6849894291754758
505,umag_rmag_Kmag,umag_imag_Hamag,0.684931506849315
449,umag_rmag_Jmag,imag_Hamag_Jmag,0.6848816029143897
