,a,b,f1
649,umag_gmag_Hamag_Hmag,umag_rmag_imag_Hamag,0.8832116788321168
14,umag_gmag_rmag_imag,umag_rmag_imag_Hamag,0.8819188191881919
215,umag_gmag_rmag_Hmag,umag_rmag_imag_Hamag,0.8786764705882354
75,umag_gmag_rmag_Hamag,umag_gmag_imag_Kmag,0.8777777777777778
550,umag_gmag_imag_Kmag,gmag_rmag_imag_Hamag,0.8761552680221812
280,umag_gmag_rmag_Kmag,umag_rmag_imag_Hamag,0.8761552680221812
74,umag_gmag_rmag_Hamag,umag_gmag_imag_Hmag,0.8756957328385899
235,umag_gmag_rmag_Hmag,gmag_rmag_imag_Hamag,0.8745387453874539
469,umag_gmag_imag_Hmag,umag_rmag_imag_Hamag,0.87292817679558
727,umag_gmag_Hamag_Kmag,gmag_rmag_imag_Hamag,0.8719851576994435
300,umag_gmag_rmag_Kmag,gmag_rmag_imag_Hamag,0.8715083798882682
530,umag_gmag_imag_Kmag,umag_rmag_imag_Hamag,0.8713235294117647
707,umag_gmag_Hamag_Kmag,umag_rmag_imag_Hamag,0.8703703703703703
80,umag_gmag_rmag_Hamag,umag_gmag_Jmag_Kmag,0.8703703703703703
489,umag_gmag_imag_Hmag,gmag_rmag_imag_Hamag,0.8692449355432782
71,umag_gmag_rmag_Hamag,umag_gmag_rmag_Kmag,0.8686131386861313
78,umag_gmag_rmag_Hamag,umag_gmag_Hamag_Kmag,0.8686131386861313
867,umag_gmag_Jmag_Kmag,rmag_Hamag_Jmag_Kmag,0.8682745825602968
34,umag_gmag_rmag_imag,gmag_rmag_imag_Hamag,0.8682745825602968
669,umag_gmag_Hamag_Hmag,gmag_rmag_imag_Hamag,0.8681318681318682
1204,umag_rmag_Hamag_Hmag,gmag_rmag_imag_Hamag,0.8671586715867159
129,umag_gmag_rmag_Hamag,rmag_Hamag_Jmag_Kmag,0.8661710037174721
169,umag_gmag_rmag_Jmag,gmag_rmag_imag_Hamag,0.8661710037174721
210,umag_gmag_rmag_Hmag,umag_gmag_Hamag_Hmag,0.8638838475499092
480,umag_gmag_imag_Hmag,umag_imag_Hamag_Hmag,0.8634686346863469
339,umag_gmag_imag_Hamag,umag_gmag_Hamag_Hmag,0.862453531598513
149,umag_gmag_rmag_Jmag,umag_rmag_imag_Hamag,0.8623188405797101
949,umag_rmag_imag_Hamag,gmag_rmag_imag_Hamag,0.8602941176470588
70,umag_gmag_rmag_Hamag,umag_gmag_rmag_Hmag,0.8592592592592593
77,umag_gmag_rmag_Hamag,umag_gmag_Hamag_Hmag,0.8592592592592593
590,umag_gmag_Hamag_Jmag,umag_rmag_imag_Hamag,0.8592057761732852
417,umag_gmag_imag_Jmag,umag_imag_Hamag_Jmag,0.8587570621468927
427,umag_gmag_imag_Jmag,gmag_rmag_imag_Hamag,0.858736059479554
516,umag_gmag_imag_Hmag,rmag_Hamag_Jmag_Kmag,0.8582089552238806
577,umag_gmag_imag_Kmag,rmag_Hamag_Jmag_Kmag,0.8582089552238806
1155,umag_rmag_Hamag_Jmag,gmag_rmag_imag_Hamag,0.8566037735849057
1477,umag_imag_Hamag_Hmag,gmag_rmag_imag_Hamag,0.8561020036429874
327,umag_gmag_rmag_Kmag,rmag_Hamag_Jmag_Kmag,0.8560885608856088
73,umag_gmag_rmag_Hamag,umag_gmag_imag_Jmag,0.8560885608856088
205,umag_gmag_rmag_Hmag,umag_gmag_imag_Hamag,0.8560747663551402
0,umag_gmag_rmag_imag,umag_gmag_rmag_Hamag,0.8550724637681159
542,umag_gmag_imag_Kmag,umag_imag_Hamag_Kmag,0.8550185873605948
336,umag_gmag_imag_Hamag,umag_gmag_imag_Hmag,0.85451197053407
1252,umag_rmag_Hamag_Kmag,gmag_rmag_imag_Hamag,0.85451197053407
69,umag_gmag_rmag_Hamag,umag_gmag_rmag_Jmag,0.8534798534798536
76,umag_gmag_rmag_Hamag,umag_gmag_Hamag_Jmag,0.8534798534798536
344,umag_gmag_imag_Hamag,umag_rmag_imag_Hamag,0.8530465949820789
139,umag_gmag_rmag_Jmag,umag_gmag_imag_Hamag,0.8529945553539019
474,umag_gmag_imag_Hmag,umag_rmag_Hamag_Hmag,0.8528864059590316
364,umag_gmag_imag_Hamag,gmag_rmag_imag_Hamag,0.8524590163934426
79,umag_gmag_rmag_Hamag,umag_gmag_Jmag_Hmag,0.8523364485981308
340,umag_gmag_imag_Hamag,umag_gmag_Hamag_Kmag,0.8523364485981308
262,umag_gmag_rmag_Hmag,rmag_Hamag_Jmag_Kmag,0.8518518518518517
407,umag_gmag_imag_Jmag,umag_rmag_imag_Hamag,0.8514492753623188
276,umag_gmag_rmag_Kmag,umag_gmag_Hamag_Kmag,0.8513761467889909
4,umag_gmag_rmag_imag,umag_gmag_imag_Hamag,0.8513761467889909
72,umag_gmag_rmag_Hamag,umag_gmag_imag_Hamag,0.850828729281768
159,umag_gmag_rmag_Jmag,umag_imag_Hamag_Jmag,0.8505747126436781
610,umag_gmag_Hamag_Jmag,gmag_rmag_imag_Hamag,0.8502772643253235
326,umag_gmag_rmag_Kmag,rmag_Hamag_Jmag_Hmag,0.8501872659176031
128,umag_gmag_rmag_Hamag,rmag_Hamag_Jmag_Hmag,0.8501872659176031
261,umag_gmag_rmag_Hmag,rmag_Hamag_Jmag_Hmag,0.8501872659176031
515,umag_gmag_imag_Hmag,rmag_Hamag_Jmag_Hmag,0.8501872659176031
220,umag_gmag_rmag_Hmag,umag_rmag_Hamag_Hmag,0.849721706864564
754,umag_gmag_Hamag_Kmag,rmag_Hamag_Jmag_Kmag,0.8492647058823529
576,umag_gmag_imag_Kmag,rmag_Hamag_Jmag_Hmag,0.8491620111731844
153,umag_gmag_rmag_Jmag,umag_rmag_Hamag_Jmag,0.8490566037735849
143,umag_gmag_rmag_Jmag,umag_gmag_Hamag_Jmag,0.8489208633093526
82,umag_gmag_rmag_Hamag,umag_rmag_imag_Hamag,0.8488160291438979
337,umag_gmag_imag_Hamag,umag_gmag_imag_Kmag,0.8485981308411215
86,umag_gmag_rmag_Hamag,umag_rmag_Hamag_Jmag,0.8481481481481482
871,umag_gmag_Jmag_Kmag,imag_Hamag_Jmag_Kmag,0.8480300187617261
536,umag_gmag_imag_Kmag,umag_rmag_Hamag_Kmag,0.8468809073724007
540,umag_gmag_imag_Kmag,umag_imag_Hamag_Jmag,0.8462998102466792
810,umag_gmag_Jmag_Hmag,rmag_Hamag_Jmag_Hmag,0.8460111317254174
1617,umag_imag_Jmag_Kmag,gmag_Hamag_Jmag_Kmag,0.8458646616541353
1006,umag_rmag_imag_Jmag,gmag_rmag_Hamag_Jmag,0.8457142857142856
