VPHAS-OB1,RAJ2000,DEJ2000,Rv,goodOB,EM,SUB,LUM,umag,gmag,rmag,Hamag,imag,Jmag,Hmag,Kmag,W1mag,W2mag,u-g,u-r,u-i,g-r,g-i,r-Ha,r-i,J-H,J-K,H-K,W1-W2
2301,156.736162,-59.133838,3.769,1,0,0,0,15.231,15.381,14.329,14.034,13.73,12.66,12.315,12.225,12.014,12.078,-0.15,0.902,1.501,1.052,1.651,0.295,0.599,0.345,0.435,0.09,-0.064
2306,158.392101,-57.700216,3.723,1,0,0,1,13.645,13.626,12.521,12.207,11.886,10.747,10.453,10.261,10.153,10.155,0.019,1.124,1.759,1.105,1.74,0.314,0.635,0.294,0.486,0.192,-0.002
2307,157.156,-58.794364,3.79,1,0,0,0,15.255,15.417,14.554,14.321,14.057,13.173,12.958,12.776,12.686,12.798,-0.162,0.701,1.198,0.863,1.36,0.233,0.497,0.215,0.397,0.182,-0.112
2312,158.872167,-57.260652,3.755,1,0,0,0,16.877,16.375,14.812,14.462,13.925,12.235,11.776,11.576,11.268,11.142,0.502,2.065,2.952,1.563,2.45,0.35,0.887,0.459,0.659,0.2,0.126
2316,157.485748,-58.518281,3.884,1,0,0,0,18.61,18.005,16.305,15.91,15.305,13.376,12.838,12.555,12.372,12.377,0.605,2.305,3.305,1.7,2.7,0.395,1.0,0.538,0.821,0.283,-0.005
2331,156.859884,-59.072004,3.883,1,0,0,0,15.391,15.615,14.715,14.441,14.182,13.244,12.988,12.804,12.819,12.938,-0.224,0.676,1.209,0.9,1.433,0.274,0.533,0.256,0.44,0.184,-0.119
2333,157.695872,-58.359636,3.791,1,0,0,0,14.979,15.161,14.162,13.883,13.601,12.542,12.306,12.138,12.069,12.127,-0.182,0.817,1.378,0.999,1.56,0.279,0.561,0.236,0.404,0.168,-0.058
2340,158.551012,-57.600966,3.885,1,0,0,1,16.237,15.725,13.981,13.575,13.047,11.145,10.562,10.291,10.051,9.994,0.512,2.256,3.19,1.744,2.678,0.406,0.934,0.583,0.854,0.271,0.057
2342,157.425028,-58.611855,3.608,1,0,0,1,16.359,15.883,14.291,13.93,13.409,11.739,11.35,11.105,10.849,10.832,0.476,2.068,2.95,1.592,2.474,0.361,0.882,0.389,0.634,0.245,0.017
2347,157.536742,-58.522352,3.85,1,0,0,0,16.939,16.794,15.61,15.333,14.935,13.649,13.294,13.101,12.828,12.874,0.145,1.329,2.004,1.184,1.859,0.277,0.675,0.355,0.548,0.193,-0.046
2351,157.804732,-58.294408,3.96,1,0,0,0,17.481,17.058,15.366,14.989,14.449,12.509,11.977,11.704,11.519,11.483,0.423,2.115,3.032,1.692,2.609,0.377,0.917,0.532,0.805,0.273,0.036
2354,157.037797,-58.968554,3.585,1,0,0,0,13.899,14.352,13.698,13.46,13.312,12.713,12.541,12.522,12.403,12.472,-0.453,0.201,0.587,0.654,1.04,0.238,0.386,0.172,0.191,0.019,-0.069
2357,157.114036,-58.906454,3.734,1,0,0,0,15.416,15.371,14.316,14.032,13.702,12.596,12.323,12.135,11.98,11.983,0.045,1.1,1.714,1.055,1.669,0.284,0.614,0.273,0.461,0.188,-0.003
2360,158.300754,-57.86955,3.672,1,0,0,1,17.25,16.096,13.887,13.452,12.674,10.373,9.705,9.303,9.055,8.97,1.154,3.363,4.576,2.209,3.422,0.435,1.213,0.668,1.07,0.402,0.085
2362,156.797647,-59.180659,3.768,1,0,0,0,14.164,14.604,14.008,13.782,13.653,13.151,12.915,12.87,12.771,12.769,-0.44,0.156,0.511,0.596,0.951,0.226,0.355,0.236,0.281,0.045,0.002
2368,157.592463,-58.518793,3.745,1,0,0,1,15.426,15.204,13.942,13.641,13.243,11.923,11.572,11.348,11.091,11.089,0.222,1.484,2.183,1.262,1.961,0.301,0.699,0.351,0.575,0.224,0.002
2369,157.013468,-59.018182,3.889,1,0,0,0,17.79,17.611,16.303,15.975,15.554,14.129,13.711,13.513,13.457,13.613,0.179,1.487,2.236,1.308,2.057,0.328,0.749,0.418,0.616,0.198,-0.156
2376,157.180097,-58.890854,3.808,1,0,0,0,15.234,15.352,14.453,14.201,13.929,13.009,12.736,12.6,12.649,12.765,-0.118,0.781,1.305,0.899,1.423,0.252,0.524,0.273,0.409,0.136,-0.116
2378,156.653544,-59.332658,3.534,1,0,0,0,14.497,14.855,14.119,13.877,13.713,13.047,12.923,12.801,12.381,12.539,-0.358,0.378,0.784,0.736,1.142,0.242,0.406,0.124,0.246,0.122,-0.158
2379,157.931869,-58.239397,4.008,1,0,0,0,14.284,14.345,13.305,12.997,12.724,11.591,11.252,11.057,10.799,10.816,-0.061,0.979,1.56,1.04,1.621,0.308,0.581,0.339,0.534,0.195,-0.017
2384,157.145168,-58.934806,3.519,1,0,0,0,14.753,14.977,14.187,13.934,13.723,12.94,12.755,12.724,12.58,12.671,-0.224,0.566,1.03,0.79,1.254,0.253,0.464,0.185,0.216,0.031,-0.091
2387,156.814791,-59.214591,3.755,1,0,0,0,14.195,14.689,14.123,13.905,13.78,13.296,13.087,13.058,12.774,12.897,-0.494,0.072,0.415,0.566,0.909,0.218,0.343,0.209,0.238,0.029,-0.123
2390,157.072795,-58.999345,4.21,1,0,0,0,12.704,13.199,12.645,12.367,12.236,11.586,11.446,11.289,11.052,11.151,-0.495,0.059,0.468,0.554,0.963,0.278,0.409,0.14,0.297,0.157,-0.099
2426,156.946313,-59.162122,4.82,1,0,0,0,13.586,14.075,13.473,13.227,13.076,12.125,11.964,11.836,11.591,11.616,-0.489,0.113,0.51,0.602,0.999,0.246,0.397,0.161,0.289,0.128,-0.025
2427,157.900382,-58.342629,3.971,1,0,0,0,20.898,19.895,17.776,17.369,16.632,14.173,13.491,13.136,13.001,12.996,1.003,3.122,4.266,2.119,3.263,0.407,1.144,0.682,1.037,0.355,0.005
2433,158.629969,-57.694451,3.849,1,0,0,0,17.326,17.038,15.563,15.209,14.744,13.145,12.711,12.441,12.119,12.132,0.288,1.763,2.582,1.475,2.294,0.354,0.819,0.434,0.704,0.27,-0.013
2458,157.443046,-58.784324,3.599,1,0,0,0,14.769,14.703,13.648,13.381,13.044,11.99,11.718,11.57,10.989,10.867,0.066,1.121,1.725,1.055,1.659,0.267,0.604,0.272,0.42,0.148,0.122
2463,158.149246,-58.166724,3.821,1,0,0,0,16.918,16.382,14.692,14.326,13.74,11.891,11.367,11.085,10.866,10.816,0.536,2.226,3.178,1.69,2.642,0.366,0.952,0.524,0.806,0.282,0.05
2464,157.305677,-58.906222,3.597,1,0,0,0,14.935,15.042,14.002,13.729,13.405,12.378,12.126,11.99,11.919,11.993,-0.107,0.933,1.53,1.04,1.637,0.273,0.597,0.252,0.388,0.136,-0.074
2467,157.920544,-58.377183,4.138,1,0,0,0,13.955,14.306,13.523,13.264,13.067,12.126,11.889,11.804,11.597,11.629,-0.351,0.432,0.888,0.783,1.239,0.259,0.456,0.237,0.322,0.085,-0.032
2471,157.597367,-58.666469,3.633,1,0,0,1,14.683,14.234,12.803,12.403,11.926,10.464,10.067,9.789,9.5,9.547,0.449,1.88,2.757,1.431,2.308,0.4,0.877,0.397,0.675,0.278,-0.047
2481,157.257702,-58.974367,3.593,1,0,0,0,15.67,15.715,14.769,14.515,14.221,13.289,13.012,12.973,12.829,12.956,-0.045,0.901,1.449,0.946,1.494,0.254,0.548,0.277,0.316,0.039,-0.127
2489,158.052189,-58.298041,3.899,1,0,0,0,17.633,17.42,16.128,15.818,15.427,13.98,13.623,13.39,13.106,13.158,0.213,1.505,2.206,1.292,1.993,0.31,0.701,0.357,0.59,0.233,-0.052
2494,157.031663,-59.191055,3.798,1,0,0,0,14.312,14.67,14.043,13.814,13.664,13.043,12.868,12.786,12.595,12.675,-0.358,0.269,0.648,0.627,1.006,0.229,0.379,0.175,0.257,0.082,-0.08
2500,156.986051,-59.235348,4.061,1,0,0,0,12.612,13.129,12.617,12.376,12.261,11.712,11.572,11.461,11.4,11.461,-0.517,-0.005,0.351,0.512,0.868,0.241,0.356,0.14,0.251,0.111,-0.061
2501,157.556044,-58.750924,4.248,1,1,0,0,17.695,17.308,15.703,15.087,14.712,12.798,12.216,11.784,11.373,11.037,0.387,1.992,2.983,1.605,2.596,0.616,0.991,0.582,1.014,0.432,0.336
2507,158.632906,-57.800421,3.684,1,0,0,1,16.941,15.89,13.742,13.258,12.505,10.222,9.593,9.2,8.98,8.894,1.051,3.199,4.436,2.148,3.385,0.484,1.237,0.629,1.022,0.393,0.086
2508,158.998567,-57.461241,3.858,1,0,0,0,19.979,19.116,17.275,16.862,16.139,14.003,13.389,13.159,12.692,12.755,0.863,2.704,3.84,1.841,2.977,0.413,1.136,0.614,0.844,0.23,-0.063
2517,158.991026,-57.491321,3.653,1,0,0,0,13.04,13.308,12.524,12.303,12.08,11.292,11.124,11.023,10.901,10.955,-0.268,0.516,0.96,0.784,1.228,0.221,0.444,0.168,0.269,0.101,-0.054
2519,157.549938,-58.79976,3.632,1,0,0,0,15.957,15.881,14.743,14.448,14.111,12.945,12.656,12.515,12.469,12.488,0.076,1.214,1.846,1.138,1.77,0.295,0.632,0.289,0.43,0.141,-0.019
2522,157.376424,-58.954054,3.623,1,0,0,0,15.471,15.491,14.481,14.211,13.925,12.903,12.651,12.531,12.496,12.505,-0.02,0.99,1.546,1.01,1.566,0.27,0.556,0.252,0.372,0.12,-0.009
2533,158.504812,-57.976927,3.759,1,0,0,0,16.831,16.363,14.762,14.412,13.872,12.162,11.681,11.426,11.332,11.334,0.468,2.069,2.959,1.601,2.491,0.35,0.89,0.481,0.736,0.255,-0.002
2546,157.729422,-58.699431,3.9,1,0,0,0,20.925,19.939,17.897,17.505,16.699,14.371,13.73,13.327,13.188,13.288,0.986,3.028,4.226,2.042,3.24,0.392,1.198,0.641,1.044,0.403,-0.1
2550,158.249759,-58.245094,3.674,1,0,0,0,15.701,15.344,13.632,13.282,12.689,10.958,10.515,10.173,9.935,9.897,0.357,2.069,3.012,1.712,2.655,0.35,0.943,0.443,0.785,0.342,0.038
2553,157.27087,-59.10188,3.912,1,0,0,0,12.6,13.151,12.643,12.343,12.226,11.681,11.524,11.465,11.501,11.559,-0.551,-0.043,0.374,0.508,0.925,0.3,0.417,0.157,0.216,0.059,-0.058
2557,158.543799,-57.991605,3.798,1,0,0,0,16.934,16.337,14.522,14.169,13.543,11.58,11.032,10.735,10.527,10.475,0.597,2.412,3.391,1.815,2.794,0.353,0.979,0.548,0.845,0.297,0.052
2558,157.136111,-59.226339,3.833,1,0,0,0,14.01,14.398,13.807,13.598,13.446,12.861,12.693,12.606,12.547,12.608,-0.388,0.203,0.564,0.591,0.952,0.209,0.361,0.168,0.255,0.087,-0.061
2561,158.157101,-58.34976,3.743,1,0,0,0,14.866,15.206,14.496,14.301,14.076,13.358,13.184,13.108,13.151,13.421,-0.34,0.37,0.79,0.71,1.13,0.195,0.42,0.174,0.25,0.076,-0.27
2574,157.809158,-58.675648,3.58,1,0,0,0,20.851,19.308,16.628,16.117,15.085,12.288,11.503,11.102,10.77,10.673,1.543,4.223,5.766,2.68,4.223,0.511,1.543,0.785,1.186,0.401,0.097
2576,157.727673,-58.750173,3.768,1,0,0,0,15.322,15.476,14.445,14.136,13.846,12.808,12.525,12.338,12.213,12.224,-0.154,0.877,1.476,1.031,1.63,0.309,0.599,0.283,0.47,0.187,-0.011
2578,157.735528,-58.745289,3.722,1,0,0,0,15.382,15.405,14.249,13.925,13.576,12.366,12.073,11.886,11.748,11.749,-0.023,1.133,1.806,1.156,1.829,0.324,0.673,0.293,0.48,0.187,-0.001
2586,156.968047,-59.40708,3.855,1,0,0,0,13.833,14.112,13.211,12.98,12.749,11.887,11.586,11.449,11.197,11.113,-0.279,0.622,1.084,0.901,1.363,0.231,0.462,0.301,0.438,0.137,0.084
2593,157.541974,-58.928502,3.794,1,0,0,0,17.463,17.211,15.861,15.554,15.101,13.668,13.253,13.055,12.877,12.858,0.252,1.602,2.362,1.35,2.11,0.307,0.76,0.415,0.613,0.198,0.019
2615,157.119513,-59.317918,4.144,1,0,0,0,15.084,15.375,14.646,14.412,14.202,13.381,13.176,12.98,12.911,12.945,-0.291,0.438,0.882,0.729,1.173,0.234,0.444,0.205,0.401,0.196,-0.034
2617,158.092337,-58.482013,3.815,1,0,0,0,20.59,19.326,16.747,16.302,15.37,12.649,11.726,11.311,10.878,10.841,1.264,3.843,5.22,2.579,3.956,0.445,1.377,0.923,1.338,0.415,0.037
2624,157.790771,-58.755678,3.483,1,0,0,0,17.013,16.524,14.994,14.634,14.117,12.623,12.207,12.008,11.787,11.813,0.489,2.019,2.896,1.53,2.407,0.36,0.877,0.416,0.615,0.199,-0.026
2625,156.639064,-59.728843,3.61,1,0,0,0,15.269,15.532,14.8,14.658,14.379,13.618,13.502,13.42,13.03,13.152,-0.263,0.469,0.89,0.732,1.153,0.142,0.421,0.116,0.198,0.082,-0.122
2645,158.309619,-58.3225,3.837,1,1,0,0,16.042,15.933,14.752,14.219,13.998,12.827,12.358,12.163,11.372,11.079,0.109,1.29,2.044,1.181,1.935,0.533,0.754,0.469,0.664,0.195,0.293
2646,158.086873,-58.522434,4.103,1,0,0,0,20.549,19.953,18.141,17.726,17.094,14.965,14.379,13.934,13.655,14.052,0.596,2.408,3.455,1.812,2.859,0.415,1.047,0.586,1.031,0.445,-0.397
2660,157.639796,-58.929288,3.63,1,0,0,0,12.96,13.258,12.657,12.4,12.228,11.591,11.475,11.411,11.362,11.431,-0.298,0.303,0.732,0.601,1.03,0.257,0.429,0.116,0.18,0.064,-0.069
2662,157.764775,-58.82206,3.739,1,0,0,0,13.948,13.945,12.685,12.322,11.933,10.621,10.268,10.065,9.932,9.763,0.003,1.263,2.015,1.26,2.012,0.363,0.752,0.353,0.556,0.203,0.169
2666,156.997267,-59.4778,3.886,1,1,0,0,12.91,13.318,12.575,12.313,12.208,11.413,11.261,11.146,10.986,11.065,-0.408,0.335,0.702,0.743,1.11,0.262,0.367,0.152,0.267,0.115,-0.079
2670,156.913733,-59.552194,3.423,1,0,0,0,13.996,14.151,13.33,13.09,12.879,12.156,11.977,11.864,11.869,11.929,-0.155,0.666,1.117,0.821,1.272,0.24,0.451,0.179,0.292,0.113,-0.06
2671,157.4946,-59.065147,3.639,1,0,0,0,18.657,18.168,16.69,16.348,15.823,14.279,13.862,13.664,13.487,13.678,0.489,1.967,2.834,1.478,2.345,0.342,0.867,0.417,0.615,0.198,-0.191
2677,158.147634,-58.507988,3.635,1,0,0,0,13.029,13.573,13.033,12.824,12.707,12.219,12.063,12.067,12.002,12.094,-0.544,-0.004,0.322,0.54,0.866,0.209,0.326,0.156,0.152,-0.004,-0.092
2681,157.669466,-58.93079,3.815,1,0,0,0,12.842,13.255,12.74,12.513,12.377,11.838,11.7,11.645,11.662,11.802,-0.413,0.102,0.465,0.515,0.878,0.227,0.363,0.138,0.193,0.055,-0.14
2690,157.779159,-58.854743,3.675,1,0,0,0,12.887,13.275,12.577,12.258,12.082,11.378,11.228,11.115,11.075,11.125,-0.388,0.31,0.805,0.698,1.193,0.319,0.495,0.15,0.263,0.113,-0.05
2692,158.001783,-58.660458,3.697,1,0,0,0,19.847,19.048,17.044,16.632,15.899,13.747,13.142,12.886,12.62,12.742,0.799,2.803,3.948,2.004,3.149,0.412,1.145,0.605,0.861,0.256,-0.122
2693,158.226072,-58.462547,3.871,1,0,0,0,13.677,14.112,13.508,13.298,13.201,12.622,12.441,12.372,12.278,12.365,-0.435,0.169,0.476,0.604,0.911,0.21,0.307,0.181,0.25,0.069,-0.087
2698,157.040447,-59.493441,3.754,1,0,0,0,14.481,14.544,13.433,13.13,12.788,11.627,11.372,11.144,10.978,10.843,-0.063,1.048,1.693,1.111,1.756,0.303,0.645,0.255,0.483,0.228,0.135
2700,158.545821,-58.1863,3.592,1,0,0,1,14.719,14.53,13.332,13.011,12.68,11.447,11.143,11.01,10.774,10.775,0.189,1.387,2.039,1.198,1.85,0.321,0.652,0.304,0.437,0.133,-0.001
2701,157.26419,-59.308534,3.873,1,0,0,0,18.47,18.256,16.968,16.656,16.245,14.82,14.464,14.266,13.483,13.717,0.214,1.502,2.225,1.288,2.011,0.312,0.723,0.356,0.554,0.198,-0.234
2710,157.12271,-59.441641,3.628,1,0,0,0,14.009,14.302,13.487,13.243,13.045,12.27,12.052,11.999,11.594,11.652,-0.293,0.522,0.964,0.815,1.257,0.244,0.442,0.218,0.271,0.053,-0.058
2711,158.342814,-58.385966,3.654,1,0,0,0,14.185,14.509,13.828,13.606,13.422,12.75,12.641,12.495,12.382,12.504,-0.324,0.357,0.763,0.681,1.087,0.222,0.406,0.109,0.255,0.146,-0.122
2718,157.529721,-59.107405,3.656,1,0,0,0,13.995,14.094,13.196,12.932,12.667,11.748,11.486,11.431,11.315,11.332,-0.099,0.799,1.328,0.898,1.427,0.264,0.529,0.262,0.317,0.055,-0.017
2724,157.244274,-59.357342,3.651,1,0,0,0,13.179,13.694,13.149,12.954,12.826,12.323,12.197,12.167,12.138,12.23,-0.515,0.03,0.353,0.545,0.868,0.195,0.323,0.126,0.156,0.03,-0.092
2725,157.909466,-58.787752,3.503,1,0,0,1,14.965,14.805,13.598,13.29,12.898,11.695,11.389,11.278,11.167,11.2,0.16,1.367,2.067,1.207,1.907,0.308,0.7,0.306,0.417,0.111,-0.033
2735,160.191787,-56.671056,3.7,1,0,0,0,15.046,15.129,14.133,13.826,13.54,12.539,12.266,12.11,12.058,12.11,-0.083,0.913,1.506,0.996,1.589,0.307,0.593,0.273,0.429,0.156,-0.052
2744,158.992788,-57.842311,3.713,1,0,0,0,13.287,13.655,13.049,12.817,12.712,12.127,11.98,11.905,11.76,11.833,-0.368,0.238,0.575,0.606,0.943,0.232,0.337,0.147,0.222,0.075,-0.073
2745,156.975642,-59.617381,3.79,1,0,0,0,17.964,17.775,16.411,16.091,15.679,14.215,13.828,13.656,13.598,13.863,0.189,1.553,2.285,1.364,2.096,0.32,0.732,0.387,0.559,0.172,-0.265
2762,158.170925,-58.620508,3.699,1,0,0,0,16.258,15.902,14.537,14.175,13.722,12.272,11.899,11.661,11.389,11.287,0.356,1.721,2.536,1.365,2.18,0.362,0.815,0.373,0.611,0.238,0.102
2763,156.990915,-59.634088,3.939,1,0,0,0,18.975,18.394,16.677,16.283,15.699,13.874,13.225,12.898,12.71,12.849,0.581,2.298,3.276,1.717,2.695,0.394,0.978,0.649,0.976,0.327,-0.139
2765,157.577013,-59.145067,3.709,1,0,0,0,13.297,13.623,12.862,12.607,12.401,11.633,11.419,11.369,11.15,11.188,-0.326,0.435,0.896,0.761,1.222,0.255,0.461,0.214,0.264,0.05,-0.038
2766,157.605331,-59.122999,3.841,1,0,0,0,16.392,16.059,14.431,14.038,13.476,11.69,11.158,10.937,10.698,10.642,0.333,1.961,2.916,1.628,2.583,0.393,0.955,0.532,0.753,0.221,0.056
2767,157.759734,-58.99177,3.951,1,0,0,0,17.386,17.303,16.097,15.744,15.458,14.261,13.721,13.584,13.609,14.058,0.083,1.289,1.928,1.206,1.845,0.353,0.639,0.54,0.677,0.137,-0.449
2771,158.977817,-57.909322,3.757,1,0,0,0,14.569,14.941,13.908,13.645,13.471,12.49,12.247,12.074,11.986,12.038,-0.372,0.661,1.098,1.033,1.47,0.263,0.437,0.243,0.416,0.173,-0.052
2777,158.12769,-58.684316,3.467,1,0,0,0,17.849,17.292,15.716,15.35,14.804,13.262,12.828,12.654,12.586,12.632,0.557,2.133,3.045,1.576,2.488,0.366,0.912,0.434,0.608,0.174,-0.046
2778,158.14049,-58.675164,3.878,1,1,0,1,15.872,15.456,13.744,12.998,12.79,10.959,10.435,10.06,9.422,9.149,0.416,2.128,3.082,1.712,2.666,0.746,0.954,0.524,0.899,0.375,0.273
2812,158.263816,-58.61499,3.987,1,0,0,0,19.396,18.527,16.553,16.128,15.364,13.083,12.384,12.011,11.542,11.555,0.869,2.843,4.032,1.974,3.163,0.425,1.189,0.699,1.072,0.373,-0.013
2818,157.692976,-59.121844,3.688,1,0,0,0,13.968,14.311,13.558,13.302,13.116,12.359,12.162,12.112,11.797,11.698,-0.343,0.41,0.852,0.753,1.195,0.256,0.442,0.197,0.247,0.05,0.099
2824,159.242719,-57.734312,3.847,1,0,0,0,16.594,16.196,14.702,14.371,13.903,12.269,11.759,11.589,11.346,11.357,0.398,1.892,2.691,1.494,2.293,0.331,0.799,0.51,0.68,0.17,-0.011
2832,158.24211,-58.656141,4.369,1,1,0,0,13.956,14.022,12.83,12.16,12.19,10.812,10.402,10.038,9.567,9.262,-0.066,1.126,1.766,1.192,1.832,0.67,0.64,0.41,0.774,0.364,0.305
2833,159.476762,-57.518901,3.833,1,0,0,0,15.22,15.325,14.369,14.113,13.842,12.823,12.559,12.423,12.129,12.169,-0.105,0.851,1.378,0.956,1.483,0.256,0.527,0.264,0.4,0.136,-0.04
2838,159.635359,-57.37029,3.958,1,0,0,0,13.012,13.348,12.687,12.45,12.289,11.609,11.456,11.259,11.09,11.106,-0.336,0.325,0.723,0.661,1.059,0.237,0.398,0.153,0.35,0.197,-0.016
2842,156.715344,-59.958788,4.918,1,0,0,0,13.924,14.456,13.875,13.624,13.505,12.688,12.457,12.291,11.823,11.79,-0.532,0.049,0.419,0.581,0.951,0.251,0.37,0.231,0.397,0.166,0.033
2844,159.305789,-57.690523,3.892,1,0,0,0,18.179,17.786,16.286,15.959,15.488,13.797,13.352,13.126,13.007,13.115,0.393,1.893,2.691,1.5,2.298,0.327,0.798,0.445,0.671,0.226,-0.108
2858,158.216742,-58.712661,3.64,1,0,0,0,16.672,16.4,15.054,14.704,14.348,13.035,12.621,12.429,12.426,12.477,0.272,1.618,2.324,1.346,2.052,0.35,0.706,0.414,0.606,0.192,-0.051
2859,159.409457,-57.621989,3.597,1,1,0,0,16.415,16.234,14.837,14.287,14.033,12.757,12.342,12.055,11.183,10.941,0.181,1.578,2.382,1.397,2.201,0.55,0.804,0.415,0.702,0.287,0.242
2867,157.749571,-59.139965,3.934,1,0,0,0,15.91,15.815,14.67,14.366,13.99,12.681,12.319,12.177,11.999,12.039,0.095,1.24,1.92,1.145,1.825,0.304,0.68,0.362,0.504,0.142,-0.04
2868,157.589499,-59.277661,3.9,1,0,0,0,15.74,15.725,14.69,14.407,14.083,12.936,12.609,12.477,11.465,11.48,0.015,1.05,1.657,1.035,1.642,0.283,0.607,0.327,0.459,0.132,-0.015
2879,159.625196,-57.451699,3.831,1,0,0,0,15.667,15.728,14.685,14.406,14.076,12.95,12.653,12.498,12.401,12.517,-0.061,0.982,1.591,1.043,1.652,0.279,0.609,0.297,0.452,0.155,-0.116
2881,158.143987,-58.818031,3.785,1,1,0,1,14.979,14.243,12.437,11.68,11.366,9.488,8.925,8.498,8.02,7.739,0.736,2.542,3.613,1.806,2.877,0.757,1.071,0.563,0.99,0.427,0.281
2894,159.061063,-58.007895,3.878,1,0,0,0,16.866,16.453,14.849,14.471,13.916,12.111,11.596,11.362,11.135,11.186,0.413,2.017,2.95,1.604,2.537,0.378,0.933,0.515,0.749,0.234,-0.051
2896,157.182611,-59.662344,3.638,1,0,0,0,19.511,18.651,16.704,16.296,15.634,13.634,13.111,12.72,12.253,12.167,0.86,2.807,3.877,1.947,3.017,0.408,1.07,0.523,0.914,0.391,0.086
2901,159.644648,-57.464205,3.92,1,0,0,0,15.728,15.917,14.922,14.639,14.335,13.271,12.959,12.807,12.877,13.088,-0.189,0.806,1.393,0.995,1.582,0.283,0.587,0.312,0.464,0.152,-0.211
2903,159.578231,-57.532637,3.998,1,0,0,0,14.654,14.944,14.156,13.904,13.715,12.824,12.678,12.47,12.234,12.066,-0.29,0.498,0.939,0.788,1.229,0.252,0.441,0.146,0.354,0.208,0.168
2921,157.826697,-59.145142,3.832,1,0,0,0,16.267,15.942,14.268,13.887,13.277,11.418,10.89,10.673,10.345,10.383,0.325,1.999,2.99,1.674,2.665,0.381,0.991,0.528,0.745,0.217,-0.038
2923,157.915599,-59.070987,4.171,1,0,0,0,15.874,15.858,14.664,14.31,13.916,12.432,12.049,11.828,11.665,11.749,0.016,1.21,1.958,1.194,1.942,0.354,0.748,0.383,0.604,0.221,-0.084
2933,157.780157,-59.19436,3.93,1,0,0,0,15.178,15.43,14.646,14.392,14.178,13.304,13.07,13.007,12.975,13.143,-0.252,0.532,1.0,0.784,1.252,0.254,0.468,0.234,0.297,0.063,-0.168
2934,158.952026,-58.153187,3.834,1,0,0,0,13.926,14.152,13.104,12.841,12.496,11.4,11.12,10.927,10.623,10.692,-0.226,0.822,1.43,1.048,1.656,0.263,0.608,0.28,0.473,0.193,-0.069
2936,159.629212,-57.517528,3.931,1,0,0,0,15.812,15.969,15.028,14.773,14.46,13.408,13.128,13.0,12.788,12.819,-0.157,0.784,1.352,0.941,1.509,0.255,0.568,0.28,0.408,0.128,-0.031
2941,157.010025,-59.851049,3.898,1,0,0,0,17.503,17.474,16.219,15.876,15.512,14.129,13.755,13.594,13.114,12.956,0.029,1.284,1.991,1.255,1.962,0.343,0.707,0.374,0.535,0.161,0.158
2942,159.493564,-57.652609,3.995,1,0,0,1,13.573,13.636,12.401,12.084,11.74,10.375,9.965,9.784,9.608,9.584,-0.063,1.172,1.833,1.235,1.896,0.317,0.661,0.41,0.591,0.181,0.024
2944,159.132944,-57.99349,3.953,1,0,0,0,14.789,14.984,14.082,13.829,13.585,12.632,12.287,12.228,11.974,11.764,-0.195,0.707,1.204,0.902,1.399,0.253,0.497,0.345,0.404,0.059,0.21
2946,159.488455,-57.660211,3.955,1,0,0,0,17.095,16.837,15.493,15.131,14.773,13.28,12.818,12.624,12.275,12.249,0.258,1.602,2.322,1.344,2.064,0.362,0.72,0.462,0.656,0.194,0.026
2952,157.181941,-59.719711,3.696,1,0,0,0,16.556,16.497,15.201,14.871,14.484,13.191,12.786,12.634,12.039,12.026,0.059,1.355,2.072,1.296,2.013,0.33,0.717,0.405,0.557,0.152,0.013
2960,158.719772,-58.398466,3.669,1,0,0,0,16.211,15.999,14.773,14.47,14.065,12.794,12.432,12.283,12.208,12.222,0.212,1.438,2.146,1.226,1.934,0.303,0.708,0.362,0.511,0.149,-0.014
2961,158.232711,-58.835024,3.72,1,0,0,0,20.648,19.37,17.035,16.584,15.721,13.29,12.458,12.121,11.735,11.557,1.278,3.613,4.927,2.335,3.649,0.451,1.314,0.832,1.169,0.337,0.178
2968,159.444783,-57.727673,3.802,1,0,0,0,20.791,19.964,18.022,17.636,17.036,15.068,14.33,14.017,13.336,13.514,0.827,2.769,3.755,1.942,2.928,0.386,0.986,0.738,1.051,0.313,-0.178
2979,157.693837,-59.319121,3.82,1,0,0,0,14.569,14.931,14.313,14.092,13.927,13.294,13.097,13.073,12.854,12.991,-0.362,0.256,0.642,0.618,1.004,0.221,0.386,0.197,0.221,0.024,-0.137
2994,157.920039,-59.141153,4.121,1,0,0,0,14.633,14.76,13.577,13.245,12.832,11.455,11.054,10.806,10.643,10.622,-0.127,1.056,1.801,1.183,1.928,0.332,0.745,0.401,0.649,0.248,0.021
3000,157.954695,-59.121469,4.251,1,0,0,0,19.593,19.128,17.385,16.956,16.367,14.282,13.567,13.262,12.498,12.451,0.465,2.208,3.226,1.743,2.761,0.429,1.018,0.715,1.02,0.305,0.047
3010,159.675794,-57.560811,3.741,1,0,0,0,14.208,14.425,13.436,13.144,12.871,11.859,11.612,11.462,11.422,11.43,-0.217,0.772,1.337,0.989,1.554,0.292,0.565,0.247,0.397,0.15,-0.008
3015,157.655355,-59.403385,4.031,1,1,0,0,14.35,14.425,13.108,12.614,12.36,10.922,10.488,10.212,9.838,9.614,-0.075,1.242,1.99,1.317,2.065,0.494,0.748,0.434,0.71,0.276,0.224
